[137] ADD,hPnf9OsmbW,69908.07 
[184] QUOTE,hPnf9OsmbW,BEG 
[217] ADD,hPnf9OsmbW,79437.63 
[243] BUY,hPnf9OsmbW,OSC,699.15 
[331] BUY,hPnf9OsmbW,BPK,461.79 
[368] COMMIT_BUY,hPnf9OsmbW 
[395] DISPLAY_SUMMARY,hPnf9OsmbW 
[416] ADD,hPnf9OsmbW,74676.86 
[539] QUOTE,hPnf9OsmbW,PFK 
[593] SET_SELL_AMOUNT,hPnf9OsmbW,QJZ,312.25 
[624] SET_SELL_TRIGGER,hPnf9OsmbW,QJZ,249.79 
[978] ADD,hPnf9OsmbW,74482.07 
[1001] BUY,hPnf9OsmbW,EYY,561.25 
[1034] COMMIT_BUY,hPnf9OsmbW 
[1113] SET_BUY_TRIGGER,hPnf9OsmbW,SSW,108.93 
[1166] BUY,hPnf9OsmbW,PMG,94.19 
[1422] CANCEL_SET_BUY,hPnf9OsmbW,DBC 
[1826] CANCEL_SET_BUY,hPnf9OsmbW,ECL 
[1861] DISPLAY_SUMMARY,hPnf9OsmbW 
[2130] DISPLAY_SUMMARY,hPnf9OsmbW 
[2190] QUOTE,hPnf9OsmbW,VQA 
[2217] QUOTE,hPnf9OsmbW,ZYF 
[2313] BUY,hPnf9OsmbW,WKG,598.81 
[2359] COMMIT_BUY,hPnf9OsmbW 
[2422] BUY,hPnf9OsmbW,BWL,52.68 
[2425] COMMIT_SELL,hPnf9OsmbW 
[2550] SET_SELL_TRIGGER,hPnf9OsmbW,AJR,84.05 
[2612] DISPLAY_SUMMARY,hPnf9OsmbW 
[2710] ADD,hPnf9OsmbW,66190.03 
[2963] BUY,hPnf9OsmbW,JDO,340.57 
[2985] CANCEL_SELL,hPnf9OsmbW 
[2990] ADD,hPnf9OsmbW,69889.25 
[3059] QUOTE,hPnf9OsmbW,JIO 
[3114] SET_BUY_TRIGGER,hPnf9OsmbW,FOW,160.30 
[3349] QUOTE,hPnf9OsmbW,JDO 
[3589] SET_BUY_AMOUNT,hPnf9OsmbW,FQP,241.16 
[3730] SET_BUY_TRIGGER,hPnf9OsmbW,ULL,175.36 
[3759] ADD,hPnf9OsmbW,47898.86 
[3799] QUOTE,hPnf9OsmbW,CNN 
[4015] SET_BUY_AMOUNT,hPnf9OsmbW,FQP,205.88 
[4203] BUY,hPnf9OsmbW,OSC,180.07 
[4318] COMMIT_SELL,hPnf9OsmbW 
[4425] ADD,hPnf9OsmbW,74823.80 
[4535] BUY,hPnf9OsmbW,MRK,614.93 
[4855] QUOTE,hPnf9OsmbW,FQU 
[4950] SET_BUY_AMOUNT,hPnf9OsmbW,KDA,207.74 
[5117] SET_BUY_TRIGGER,hPnf9OsmbW,NNW,142.10 
[5138] SET_BUY_AMOUNT,hPnf9OsmbW,QJZ,268.70 
[5143] SET_BUY_TRIGGER,hPnf9OsmbW,LZV,83.45 
[5257] SET_BUY_AMOUNT,hPnf9OsmbW,FQP,425.71 
[5385] SET_BUY_TRIGGER,hPnf9OsmbW,FRB,421.66 
[5464] BUY,hPnf9OsmbW,JXR,687.50 
[5513] COMMIT_BUY,hPnf9OsmbW 
