[304] ADD,hQaIWhluU7,70082.66 
[332] BUY,hQaIWhluU7,FIW,29.63 
[408] SET_BUY_TRIGGER,hQaIWhluU7,JMX,10.88 
[509] SET_SELL_AMOUNT,hQaIWhluU7,LUD,93.67 
[521] QUOTE,hQaIWhluU7,DWC 
[592] SET_BUY_TRIGGER,hQaIWhluU7,BHQ,153.81 
[694] QUOTE,hQaIWhluU7,OEN 
[830] QUOTE,hQaIWhluU7,HQU 
[875] QUOTE,hQaIWhluU7,EOS 
[915] ADD,hQaIWhluU7,95940.06 
[1138] SET_BUY_TRIGGER,hQaIWhluU7,NXF,20.21 
[1148] SET_BUY_AMOUNT,hQaIWhluU7,IFQ,184.32 
[1190] SET_BUY_TRIGGER,hQaIWhluU7,IFQ,66.70 
[1210] ADD,hQaIWhluU7,96735.61 
[1279] QUOTE,hQaIWhluU7,PFN 
[1310] DISPLAY_SUMMARY,hQaIWhluU7 
[1483] COMMIT_BUY,hQaIWhluU7 
[1556] SET_BUY_TRIGGER,hQaIWhluU7,SPL,71.64 
[1605] DISPLAY_SUMMARY,hQaIWhluU7 
[1817] CANCEL_SET_SELL,hQaIWhluU7,LUD 
[1837] CANCEL_BUY,hQaIWhluU7 
[1876] SET_SELL_TRIGGER,hQaIWhluU7,ZAM,196.04 
[1895] ADD,hQaIWhluU7,65537.02 
[2065] QUOTE,hQaIWhluU7,URY 
[2132] BUY,hQaIWhluU7,SBT,239.27 
[2177] COMMIT_BUY,hQaIWhluU7 
[2357] SET_SELL_TRIGGER,hQaIWhluU7,RRT,59.20 
[2446] DISPLAY_SUMMARY,hQaIWhluU7 
[2561] SET_BUY_AMOUNT,hQaIWhluU7,FQP,279.54 
[2614] SET_BUY_TRIGGER,hQaIWhluU7,OHG,179.69 
[2756] ADD,hQaIWhluU7,59922.96 
[2980] SET_BUY_TRIGGER,hQaIWhluU7,IIX,59.41 
[3118] ADD,hQaIWhluU7,37231.77 
[3309] SELL,hQaIWhluU7,FQP,326.59 
[3320] CANCEL_SELL,hQaIWhluU7 
[3375] CANCEL_SET_SELL,hQaIWhluU7,QGN 
[3427] SET_SELL_TRIGGER,hQaIWhluU7,NHG,186.42 
[3466] ADD,hQaIWhluU7,56773.95 
[3467] BUY,hQaIWhluU7,XLV,45.58 
[3652] CANCEL_BUY,hQaIWhluU7 
[3727] DISPLAY_SUMMARY,hQaIWhluU7 
[3755] QUOTE,hQaIWhluU7,HRJ 
[3837] SET_BUY_TRIGGER,hQaIWhluU7,NJF,147.09 
[3862] QUOTE,hQaIWhluU7,OIY 
[3876] BUY,hQaIWhluU7,FCM,42.83 
[3913] CANCEL_BUY,hQaIWhluU7 
[4001] SET_BUY_TRIGGER,hQaIWhluU7,GLO,103.40 
[4031] SET_SELL_TRIGGER,hQaIWhluU7,RNK,97.86 
[4131] QUOTE,hQaIWhluU7,WCR 
[4315] BUY,hQaIWhluU7,VSE,112.23 
[4346] QUOTE,hQaIWhluU7,VEE 
[4407] BUY,hQaIWhluU7,TOZ,292.94 
[4504] SET_BUY_TRIGGER,hQaIWhluU7,AED,43.40 
[4506] SELL,hQaIWhluU7,QJZ,88.57 
[4568] CANCEL_SELL,hQaIWhluU7 
[4654] SET_BUY_AMOUNT,hQaIWhluU7,FQP,167.27 
[4672] SET_BUY_TRIGGER,hQaIWhluU7,BPK,131.65 
[4814] DISPLAY_SUMMARY,hQaIWhluU7 
[4818] ADD,hQaIWhluU7,81426.37 
[4925] SELL,hQaIWhluU7,FQP,733.69 
[5114] CANCEL_SELL,hQaIWhluU7 
[5203] ADD,hQaIWhluU7,98104.79 
[5220] BUY,hQaIWhluU7,ONI,156.11 
[5256] COMMIT_BUY,hQaIWhluU7 
[5485] DISPLAY_SUMMARY,hQaIWhluU7 
[5508] SELL,hQaIWhluU7,FQP,286.44 
