[52] ADD,hrINHOrbWw,100431.52 
[61] QUOTE,hrINHOrbWw,BBD 
[149] COMMIT_SELL,hrINHOrbWw 
[201] SET_SELL_TRIGGER,hrINHOrbWw,LLZ,180.41 
[350] QUOTE,hrINHOrbWw,YKB 
[453] SET_BUY_TRIGGER,hrINHOrbWw,FRB,190.36 
[531] SET_BUY_AMOUNT,hrINHOrbWw,KCT,670.92 
[609] SET_BUY_TRIGGER,hrINHOrbWw,KCT,151.99 
[639] BUY,hrINHOrbWw,ZPD,371.60 
[705] COMMIT_BUY,hrINHOrbWw 
[712] ADD,hrINHOrbWw,103052.93 
[796] BUY,hrINHOrbWw,CMD,214.77 
[848] SELL,hrINHOrbWw,QJZ,351.15 
[979] COMMIT_SELL,hrINHOrbWw 
[1116] ADD,hrINHOrbWw,74902.86 
[1221] QUOTE,hrINHOrbWw,KVK 
[1433] ADD,hrINHOrbWw,84613.69 
[1614] CANCEL_SELL,hrINHOrbWw 
[1674] DISPLAY_SUMMARY,hrINHOrbWw 
[1883] SELL,hrINHOrbWw,QJZ,198.39 
[1885] COMMIT_SELL,hrINHOrbWw 
[1948] ADD,hrINHOrbWw,82318.62 
[2102] SELL,hrINHOrbWw,QJZ,267.85 
[2106] COMMIT_SELL,hrINHOrbWw 
[2175] ADD,hrINHOrbWw,80609.48 
[2176] BUY,hrINHOrbWw,FRB,107.29 
[2402] COMMIT_SELL,hrINHOrbWw 
[2475] SELL,hrINHOrbWw,QJZ,538.18 
[2640] COMMIT_SELL,hrINHOrbWw 
[2725] SELL,hrINHOrbWw,QJZ,16.67 
[2789] COMMIT_SELL,hrINHOrbWw 
[2975] SET_SELL_AMOUNT,hrINHOrbWw,QJZ,637.14 
[3085] QUOTE,hrINHOrbWw,ZNL 
[3221] SET_SELL_TRIGGER,hrINHOrbWw,QJZ,610.07 
[3372] ADD,hrINHOrbWw,60294.75 
[3393] BUY,hrINHOrbWw,HWO,479.86 
[3441] BUY,hrINHOrbWw,JXW,694.95 
[3663] SET_BUY_TRIGGER,hrINHOrbWw,ZYF,189.00 
[3731] SET_BUY_AMOUNT,hrINHOrbWw,QJZ,723.25 
[3746] SET_BUY_TRIGGER,hrINHOrbWw,GYF,139.86 
[3785] ADD,hrINHOrbWw,57578.86 
[3856] BUY,hrINHOrbWw,JXW,638.46 
[3894] CANCEL_BUY,hrINHOrbWw 
[3991] ADD,hrINHOrbWw,88425.33 
[4112] QUOTE,hrINHOrbWw,MMF 
[4145] BUY,hrINHOrbWw,TOL,708.73 
[4307] CANCEL_SET_SELL,hrINHOrbWw,MIU 
[4531] ADD,hrINHOrbWw,88436.04 
[4571] BUY,hrINHOrbWw,APU,193.67 
[4683] COMMIT_BUY,hrINHOrbWw 
[4807] SET_BUY_TRIGGER,hrINHOrbWw,ZAM,134.52 
[4942] SET_SELL_AMOUNT,hrINHOrbWw,FQP,566.67 
[5039] BUY,hrINHOrbWw,QUT,376.38 
[5486] COMMIT_BUY,hrINHOrbWw 
[5635] DISPLAY_SUMMARY,hrINHOrbWw 
[5816] ADD,hrINHOrbWw,112184.52 
[5903] SET_BUY_TRIGGER,hrINHOrbWw,MIY,146.31 
[6039] DISPLAY_SUMMARY,hrINHOrbWw 
[6061] SET_BUY_TRIGGER,hrINHOrbWw,BBD,135.82 
[6104] ADD,hrINHOrbWw,98056.03 
[6123] QUOTE,hrINHOrbWw,OXV 
[6144] QUOTE,hrINHOrbWw,HQU 
[6195] SET_SELL_AMOUNT,hrINHOrbWw,QJZ,258.34 
[6502] SET_SELL_TRIGGER,hrINHOrbWw,QJZ,28.19 
[6561] SET_SELL_AMOUNT,hrINHOrbWw,FQP,443.00 
[6720] SET_SELL_TRIGGER,hrINHOrbWw,FQP,149.03 
[6767] COMMIT_BUY,hrINHOrbWw 
[6947] COMMIT_SELL,hrINHOrbWw 
[7162] SET_SELL_TRIGGER,hrINHOrbWw,SWD,63.83 
[7356] DISPLAY_SUMMARY,hrINHOrbWw 
