[295] ADD,k5RWRveCOY,68893.49 
[305] BUY,k5RWRveCOY,RJG,690.81 
[409] COMMIT_BUY,k5RWRveCOY 
[669] DISPLAY_SUMMARY,k5RWRveCOY 
[811] DISPLAY_SUMMARY,k5RWRveCOY 
[843] SELL,k5RWRveCOY,QJZ,201.26 
[867] COMMIT_SELL,k5RWRveCOY 
[905] DISPLAY_SUMMARY,k5RWRveCOY 
[1156] ADD,k5RWRveCOY,113928.52 
[1227] BUY,k5RWRveCOY,QOQ,460.79 
[1281] COMMIT_SELL,k5RWRveCOY 
[1741] DISPLAY_SUMMARY,k5RWRveCOY 
[1743] DISPLAY_SUMMARY,k5RWRveCOY 
[1757] ADD,k5RWRveCOY,80369.47 
[1950] BUY,k5RWRveCOY,MXN,419.12 
[2051] BUY,k5RWRveCOY,QPE,386.47 
[2064] COMMIT_SELL,k5RWRveCOY 
[2246] QUOTE,k5RWRveCOY,WSG 
[2791] SET_BUY_AMOUNT,k5RWRveCOY,QJZ,225.65 
[2818] SELL,k5RWRveCOY,QJZ,666.93 
[3068] COMMIT_SELL,k5RWRveCOY 
[3104] QUOTE,k5RWRveCOY,JQJ 
[3112] BUY,k5RWRveCOY,INB,84.55 
[3113] COMMIT_BUY,k5RWRveCOY 
[3205] DISPLAY_SUMMARY,k5RWRveCOY 
[3210] DISPLAY_SUMMARY,k5RWRveCOY 
[3267] DISPLAY_SUMMARY,k5RWRveCOY 
[3269] DISPLAY_SUMMARY,k5RWRveCOY 
[3294] ADD,k5RWRveCOY,59804.27 
[3365] BUY,k5RWRveCOY,OHG,403.21 
[3551] COMMIT_BUY,k5RWRveCOY 
[3574] SELL,k5RWRveCOY,KDA,295.53 
[3908] COMMIT_SELL,k5RWRveCOY 
[4005] ADD,k5RWRveCOY,58535.09 
[4107] QUOTE,k5RWRveCOY,WKT 
[4397] BUY,k5RWRveCOY,EGX,701.27 
[4484] COMMIT_BUY,k5RWRveCOY 
[4777] SELL,k5RWRveCOY,FQP,522.13 
[4800] SET_SELL_TRIGGER,k5RWRveCOY,QTH,184.02 
[4932] SET_SELL_AMOUNT,k5RWRveCOY,KDA,465.48 
[5082] SET_SELL_TRIGGER,k5RWRveCOY,KDA,63.01 
[5186] ADD,k5RWRveCOY,61623.92 
[5338] SELL,k5RWRveCOY,FQP,549.03 
[5406] COMMIT_SELL,k5RWRveCOY 
[5755] ADD,k5RWRveCOY,76324.16 
[5860] QUOTE,k5RWRveCOY,YUR 
[5948] SET_BUY_TRIGGER,k5RWRveCOY,KMV,203.01 
[6004] ADD,k5RWRveCOY,46479.51 
