[14] ADD,kESyNMCJeA,44598.11 
[42] BUY,kESyNMCJeA,HFS,196.84 
[145] QUOTE,kESyNMCJeA,ECI 
[154] QUOTE,kESyNMCJeA,SSF 
[166] DISPLAY_SUMMARY,kESyNMCJeA 
[176] BUY,kESyNMCJeA,WBL,707.71 
[467] CANCEL_SET_SELL,kESyNMCJeA,YTT 
[525] DISPLAY_SUMMARY,kESyNMCJeA 
[679] COMMIT_SELL,kESyNMCJeA 
[689] ADD,kESyNMCJeA,52237.66 
[961] QUOTE,kESyNMCJeA,PUN 
[995] QUOTE,kESyNMCJeA,KIP 
[1033] BUY,kESyNMCJeA,CMD,655.71 
[1055] COMMIT_BUY,kESyNMCJeA 
[1261] ADD,kESyNMCJeA,61113.54 
[1301] BUY,kESyNMCJeA,GTN,563.67 
[1343] CANCEL_SELL,kESyNMCJeA 
[1822] DISPLAY_SUMMARY,kESyNMCJeA 
[2063] ADD,kESyNMCJeA,59714.43 
[2162] BUY,kESyNMCJeA,FTJ,509.86 
[2292] COMMIT_BUY,kESyNMCJeA 
[2638] BUY,kESyNMCJeA,RQF,156.46 
[2672] SET_BUY_AMOUNT,kESyNMCJeA,QJZ,637.36 
[2673] DISPLAY_SUMMARY,kESyNMCJeA 
[2699] QUOTE,kESyNMCJeA,LJZ 
[2731] BUY,kESyNMCJeA,FQG,192.87 
[2792] COMMIT_BUY,kESyNMCJeA 
[3081] DISPLAY_SUMMARY,kESyNMCJeA 
[3152] DISPLAY_SUMMARY,kESyNMCJeA 
[3347] SELL,kESyNMCJeA,QJZ,652.63 
[3351] QUOTE,kESyNMCJeA,NDO 
[3383] QUOTE,kESyNMCJeA,PIE 
[3646] QUOTE,kESyNMCJeA,GSW 
[3679] SET_BUY_TRIGGER,kESyNMCJeA,XXP,504.55 
[3902] DISPLAY_SUMMARY,kESyNMCJeA 
[3997] ADD,kESyNMCJeA,65588.06 
[4173] QUOTE,kESyNMCJeA,EDW 
[4189] BUY,kESyNMCJeA,VCN,696.98 
[4198] SET_BUY_AMOUNT,kESyNMCJeA,FQP,747.01 
[4213] BUY,kESyNMCJeA,XOL,383.91 
[4261] COMMIT_BUY,kESyNMCJeA 
[4333] SET_BUY_TRIGGER,kESyNMCJeA,RKY,630.52 
[4551] CANCEL_SET_BUY,kESyNMCJeA,SSF 
[4609] QUOTE,kESyNMCJeA,LAM 
[4677] COMMIT_BUY,kESyNMCJeA 
[4805] SELL,kESyNMCJeA,FQP,710.45 
[4812] COMMIT_SELL,kESyNMCJeA 
[5170] ADD,kESyNMCJeA,99294.44 
[5180] BUY,kESyNMCJeA,DWC,357.19 
[5218] SET_BUY_TRIGGER,kESyNMCJeA,ALM,28.73 
[5228] SET_SELL_AMOUNT,kESyNMCJeA,QJZ,617.70 
[5358] SET_SELL_TRIGGER,kESyNMCJeA,QJZ,370.97 
[5440] DISPLAY_SUMMARY,kESyNMCJeA 
[5455] QUOTE,kESyNMCJeA,RUN 
[5550] BUY,kESyNMCJeA,WGP,65.71 
[5569] CANCEL_SET_SELL,kESyNMCJeA,CMD 
[5870] BUY,kESyNMCJeA,JQJ,559.81 
[6093] COMMIT_BUY,kESyNMCJeA 
[6243] SELL,kESyNMCJeA,FQP,404.68 
[6245] CANCEL_SELL,kESyNMCJeA 
[6285] BUY,kESyNMCJeA,OBO,484.89 
[6394] CANCEL_BUY,kESyNMCJeA 
[6438] SET_SELL_TRIGGER,kESyNMCJeA,YBB,126.53 
[6461] SET_SELL_AMOUNT,kESyNMCJeA,FQP,147.76 
[6541] CANCEL_SET_SELL,kESyNMCJeA,FQP 
