[135] ADD,kMcjEkmbDd,59125.79 
[374] BUY,kMcjEkmbDd,RQT,227.60 
[527] CANCEL_BUY,kMcjEkmbDd 
[652] BUY,kMcjEkmbDd,JQG,648.41 
[682] COMMIT_BUY,kMcjEkmbDd 
[1078] DISPLAY_SUMMARY,kMcjEkmbDd 
[1086] SET_SELL_TRIGGER,kMcjEkmbDd,GYF,3.59 
[1146] QUOTE,kMcjEkmbDd,OHG 
[1202] ADD,kMcjEkmbDd,61836.90 
[1496] QUOTE,kMcjEkmbDd,PVZ 
[2006] COMMIT_SELL,kMcjEkmbDd 
[2109] COMMIT_SELL,kMcjEkmbDd 
[2331] CANCEL_SELL,kMcjEkmbDd 
[2434] CANCEL_BUY,kMcjEkmbDd 
[2450] DISPLAY_SUMMARY,kMcjEkmbDd 
[2500] ADD,kMcjEkmbDd,59223.03 
[2535] SELL,kMcjEkmbDd,QJZ,400.19 
[2547] SELL,kMcjEkmbDd,QJZ,514.93 
[2662] CANCEL_SET_SELL,kMcjEkmbDd,JCL 
[2755] SET_SELL_TRIGGER,kMcjEkmbDd,XQG,192.12 
[2794] SET_SELL_TRIGGER,kMcjEkmbDd,LPS,27.94 
[2838] CANCEL_SET_BUY,kMcjEkmbDd,WTL 
[2895] ADD,kMcjEkmbDd,50903.70 
[2907] QUOTE,kMcjEkmbDd,GCW 
[3117] QUOTE,kMcjEkmbDd,GPL 
[3200] SET_BUY_AMOUNT,kMcjEkmbDd,QJZ,129.75 
[3331] SET_BUY_TRIGGER,kMcjEkmbDd,MVD,66.47 
[3342] ADD,kMcjEkmbDd,68690.78 
[3527] BUY,kMcjEkmbDd,ZWC,559.38 
[3694] COMMIT_BUY,kMcjEkmbDd 
[3716] SET_BUY_AMOUNT,kMcjEkmbDd,QJZ,635.23 
[3801] SET_BUY_TRIGGER,kMcjEkmbDd,RXB,58.80 
[4140] CANCEL_SET_BUY,kMcjEkmbDd,SKV 
[4269] DISPLAY_SUMMARY,kMcjEkmbDd 
[4302] ADD,kMcjEkmbDd,96032.25 
[4396] QUOTE,kMcjEkmbDd,BZX 
[4457] ADD,kMcjEkmbDd,51760.95 
[4492] QUOTE,kMcjEkmbDd,VIK 
[4575] QUOTE,kMcjEkmbDd,FQU 
[4623] SET_BUY_AMOUNT,kMcjEkmbDd,FQP,525.18 
[4709] CANCEL_SET_BUY,kMcjEkmbDd,NVX 
[4810] DISPLAY_SUMMARY,kMcjEkmbDd 
[4929] ADD,kMcjEkmbDd,60363.47 
[4982] SET_BUY_TRIGGER,kMcjEkmbDd,NFQ,43.19 
[5172] SET_BUY_TRIGGER,kMcjEkmbDd,UEC,161.15 
[5224] SET_SELL_AMOUNT,kMcjEkmbDd,FQP,54.45 
[5493] BUY,kMcjEkmbDd,AEM,128.63 
[5498] CANCEL_BUY,kMcjEkmbDd 
[5630] ADD,kMcjEkmbDd,46942.31 
[5666] CANCEL_SET_SELL,kMcjEkmbDd,FQP 
[5690] DISPLAY_SUMMARY,kMcjEkmbDd 
[5728] ADD,kMcjEkmbDd,65793.84 
[5798] BUY,kMcjEkmbDd,EIK,207.48 
[5832] COMMIT_BUY,kMcjEkmbDd 
[5875] DISPLAY_SUMMARY,kMcjEkmbDd 
[6013] DISPLAY_SUMMARY,kMcjEkmbDd 
[6047] ADD,kMcjEkmbDd,40583.88 
[6052] SET_SELL_AMOUNT,kMcjEkmbDd,QJZ,394.59 
[6065] SET_SELL_TRIGGER,kMcjEkmbDd,QJZ,21.65 
[6066] DISPLAY_SUMMARY,kMcjEkmbDd 
[6154] SET_SELL_AMOUNT,kMcjEkmbDd,KDA,509.71 
[6176] SET_SELL_TRIGGER,kMcjEkmbDd,KDA,69.54 
[6377] DISPLAY_SUMMARY,kMcjEkmbDd 
[6425] ADD,kMcjEkmbDd,65046.47 
[6572] BUY,kMcjEkmbDd,QNW,439.56 
[6643] COMMIT_BUY,kMcjEkmbDd 
[6788] QUOTE,kMcjEkmbDd,GIX 
[6839] ADD,kMcjEkmbDd,69489.91 
[6868] CANCEL_BUY,kMcjEkmbDd 
[6898] ADD,kMcjEkmbDd,69220.71 
[6910] CANCEL_SET_SELL,kMcjEkmbDd,LQN 
[6940] ADD,kMcjEkmbDd,64115.67 
[7024] QUOTE,kMcjEkmbDd,JVT 
[7129] ADD,kMcjEkmbDd,60283.34 
[7241] SET_SELL_TRIGGER,kMcjEkmbDd,DRO,151.49 
[7492] DISPLAY_SUMMARY,kMcjEkmbDd 
[7508] COMMIT_SELL,kMcjEkmbDd 
[7515] SET_BUY_TRIGGER,kMcjEkmbDd,SPL,11.89 
[7520] SET_BUY_TRIGGER,kMcjEkmbDd,GZU,106.24 
[7663] SELL,kMcjEkmbDd,FQP,640.00 
[7770] COMMIT_SELL,kMcjEkmbDd 
[7817] SET_BUY_TRIGGER,kMcjEkmbDd,FOW,88.48 
[7947] BUY,kMcjEkmbDd,PZE,443.48 
[7960] COMMIT_BUY,kMcjEkmbDd 
[8151] ADD,kMcjEkmbDd,56251.68 
[8279] BUY,kMcjEkmbDd,UIE,742.63 
[8324] CANCEL_BUY,kMcjEkmbDd 
[8404] BUY,kMcjEkmbDd,OEY,683.36 
[8552] DISPLAY_SUMMARY,kMcjEkmbDd 
[8595] CANCEL_SELL,kMcjEkmbDd 
[8675] BUY,kMcjEkmbDd,FPV,119.55 
[8857] COMMIT_BUY,kMcjEkmbDd 
[8865] DISPLAY_SUMMARY,kMcjEkmbDd 
[8916] BUY,kMcjEkmbDd,FLY,686.15 
[8974] CANCEL_BUY,kMcjEkmbDd 
[9010] ADD,kMcjEkmbDd,45503.87 
[9066] DISPLAY_SUMMARY,kMcjEkmbDd 
[9150] ADD,kMcjEkmbDd,74067.71 
[9300] QUOTE,kMcjEkmbDd,NAR 
[9308] BUY,kMcjEkmbDd,IHA,647.06 
[9569] COMMIT_BUY,kMcjEkmbDd 
[9638] ADD,kMcjEkmbDd,42762.04 
[9858] QUOTE,kMcjEkmbDd,GLO 
[9980] SET_BUY_AMOUNT,kMcjEkmbDd,JVT,646.08 
[10152] SET_BUY_TRIGGER,kMcjEkmbDd,CBK,284.47 
[10290] SET_BUY_AMOUNT,kMcjEkmbDd,KES,284.14 
[10298] SET_BUY_TRIGGER,kMcjEkmbDd,CBQ,14.23 
[10408] ADD,kMcjEkmbDd,87759.23 
[10577] QUOTE,kMcjEkmbDd,UBJ 
[10679] BUY,kMcjEkmbDd,CMA,526.43 
[10739] SET_SELL_AMOUNT,kMcjEkmbDd,OEY,600.21 
[10746] SET_SELL_TRIGGER,kMcjEkmbDd,OEY,335.17 
[10835] BUY,kMcjEkmbDd,SEI,196.21 
[10871] COMMIT_BUY,kMcjEkmbDd 
[10951] ADD,kMcjEkmbDd,90862.09 
