[90] ADD,kcrL7pVjFP,67187.33 
[362] QUOTE,kcrL7pVjFP,OAV 
[421] QUOTE,kcrL7pVjFP,PSJ 
[1072] QUOTE,kcrL7pVjFP,MVY 
[1074] BUY,kcrL7pVjFP,JQG,439.53 
[1098] COMMIT_BUY,kcrL7pVjFP 
[1106] COMMIT_SELL,kcrL7pVjFP 
[1135] SET_SELL_AMOUNT,kcrL7pVjFP,QJZ,58.37 
[1230] SET_SELL_TRIGGER,kcrL7pVjFP,QJZ,24.85 
[1329] DISPLAY_SUMMARY,kcrL7pVjFP 
[1458] SET_BUY_TRIGGER,kcrL7pVjFP,JUJ,172.22 
[1481] SET_SELL_AMOUNT,kcrL7pVjFP,QJZ,279.70 
[1572] SET_SELL_TRIGGER,kcrL7pVjFP,QJZ,248.25 
[1724] SELL,kcrL7pVjFP,QJZ,351.76 
[1767] SET_SELL_TRIGGER,kcrL7pVjFP,MXD,126.47 
[1836] DISPLAY_SUMMARY,kcrL7pVjFP 
[1887] SET_BUY_TRIGGER,kcrL7pVjFP,MAX,129.08 
[1917] SET_SELL_AMOUNT,kcrL7pVjFP,QJZ,177.75 
[1964] SET_SELL_TRIGGER,kcrL7pVjFP,QJZ,16.98 
[2087] SELL,kcrL7pVjFP,QJZ,518.00 
[2167] COMMIT_SELL,kcrL7pVjFP 
[2194] SET_SELL_TRIGGER,kcrL7pVjFP,UBJ,117.63 
[2278] QUOTE,kcrL7pVjFP,THH 
[2314] SELL,kcrL7pVjFP,QJZ,43.47 
[2511] COMMIT_SELL,kcrL7pVjFP 
[2546] SET_SELL_TRIGGER,kcrL7pVjFP,LVV,80.37 
[2617] COMMIT_BUY,kcrL7pVjFP 
[2622] BUY,kcrL7pVjFP,IGT,635.09 
[2777] CANCEL_BUY,kcrL7pVjFP 
[2786] SET_BUY_TRIGGER,kcrL7pVjFP,PRJ,85.07 
[2823] SET_BUY_TRIGGER,kcrL7pVjFP,UMV,31.49 
[2924] DISPLAY_SUMMARY,kcrL7pVjFP 
[2929] SET_SELL_AMOUNT,kcrL7pVjFP,QJZ,526.05 
[2982] QUOTE,kcrL7pVjFP,ZQW 
[2992] SET_BUY_AMOUNT,kcrL7pVjFP,QJZ,184.22 
[3001] SET_BUY_TRIGGER,kcrL7pVjFP,KES,36.81 
[3003] SELL,kcrL7pVjFP,QJZ,562.62 
[3077] CANCEL_SET_SELL,kcrL7pVjFP,QJZ 
[3260] SELL,kcrL7pVjFP,QJZ,269.59 
[3285] COMMIT_SELL,kcrL7pVjFP 
[3343] BUY,kcrL7pVjFP,DDA,490.05 
[3446] COMMIT_BUY,kcrL7pVjFP 
[3457] QUOTE,kcrL7pVjFP,SXB 
[3458] ADD,kcrL7pVjFP,86740.62 
[3631] CANCEL_SELL,kcrL7pVjFP 
[3662] SET_BUY_AMOUNT,kcrL7pVjFP,FQP,188.04 
[3879] SET_BUY_TRIGGER,kcrL7pVjFP,ZJB,169.73 
[4190] QUOTE,kcrL7pVjFP,WJS 
[4291] QUOTE,kcrL7pVjFP,CUZ 
[4297] ADD,kcrL7pVjFP,98345.88 
[4389] BUY,kcrL7pVjFP,PFN,569.57 
[4445] SET_SELL_TRIGGER,kcrL7pVjFP,SAN,96.13 
[4473] CANCEL_BUY,kcrL7pVjFP 
[4526] SET_BUY_TRIGGER,kcrL7pVjFP,QGN,134.74 
[4589] BUY,kcrL7pVjFP,ISQ,712.55 
[4732] COMMIT_BUY,kcrL7pVjFP 
[4744] QUOTE,kcrL7pVjFP,LKK 
[4748] QUOTE,kcrL7pVjFP,DKV 
[4790] BUY,kcrL7pVjFP,TKV,261.02 
[4804] COMMIT_BUY,kcrL7pVjFP 
[4963] ADD,kcrL7pVjFP,81451.45 
[4991] QUOTE,kcrL7pVjFP,RFI 
[5135] SET_BUY_TRIGGER,kcrL7pVjFP,UHO,5.23 
[5316] DISPLAY_SUMMARY,kcrL7pVjFP 
[5461] SET_SELL_AMOUNT,kcrL7pVjFP,QJZ,192.82 
[5544] CANCEL_SET_SELL,kcrL7pVjFP,QJZ 
[5731] QUOTE,kcrL7pVjFP,BJL 
[5784] BUY,kcrL7pVjFP,ZHB,233.85 
[6087] DISPLAY_SUMMARY,kcrL7pVjFP 
[6329] SET_BUY_AMOUNT,kcrL7pVjFP,KDA,71.82 
[6378] SET_BUY_TRIGGER,kcrL7pVjFP,WCR,23.58 
[6413] SET_SELL_TRIGGER,kcrL7pVjFP,GJR,10.54 
[6548] DISPLAY_SUMMARY,kcrL7pVjFP 
[6869] CANCEL_BUY,kcrL7pVjFP 
[6930] DISPLAY_SUMMARY,kcrL7pVjFP 
[7229] DISPLAY_SUMMARY,kcrL7pVjFP 
[7237] BUY,kcrL7pVjFP,BHP,369.79 
[7305] COMMIT_BUY,kcrL7pVjFP 
[7413] SET_SELL_TRIGGER,kcrL7pVjFP,WJP,116.13 
[7480] COMMIT_BUY,kcrL7pVjFP 
[7564] DISPLAY_SUMMARY,kcrL7pVjFP 
[7614] ADD,kcrL7pVjFP,29925.23 
[7776] QUOTE,kcrL7pVjFP,KAF 
[7845] BUY,kcrL7pVjFP,PWK,322.68 
[7920] DISPLAY_SUMMARY,kcrL7pVjFP 
[7945] SET_SELL_TRIGGER,kcrL7pVjFP,EEG,173.85 
[7993] ADD,kcrL7pVjFP,41591.23 
[8064] BUY,kcrL7pVjFP,CCH,123.15 
[8121] COMMIT_BUY,kcrL7pVjFP 
[8170] ADD,kcrL7pVjFP,44067.05 
[8306] QUOTE,kcrL7pVjFP,SYN 
[8397] BUY,kcrL7pVjFP,VDP,177.05 
[8402] CANCEL_BUY,kcrL7pVjFP 
[8451] SET_SELL_AMOUNT,kcrL7pVjFP,OEY,577.51 
[8467] SET_SELL_TRIGGER,kcrL7pVjFP,OEY,527.33 
[8477] ADD,kcrL7pVjFP,61579.39 
[8632] BUY,kcrL7pVjFP,TKM,494.25 
[8909] COMMIT_BUY,kcrL7pVjFP 
[8981] BUY,kcrL7pVjFP,RQT,696.71 
[9107] CANCEL_BUY,kcrL7pVjFP 
[9131] ADD,kcrL7pVjFP,80153.04 
[9594] BUY,kcrL7pVjFP,JUE,427.69 
[9629] COMMIT_BUY,kcrL7pVjFP 
[9719] SET_SELL_TRIGGER,kcrL7pVjFP,WUL,88.45 
[9781] BUY,kcrL7pVjFP,WFR,711.56 
[9785] COMMIT_BUY,kcrL7pVjFP 
[10042] SET_SELL_AMOUNT,kcrL7pVjFP,JCQ,307.40 
[10134] QUOTE,kcrL7pVjFP,MOF 
[10267] BUY,kcrL7pVjFP,MER,294.41 
[10311] CANCEL_BUY,kcrL7pVjFP 
[10363] DISPLAY_SUMMARY,kcrL7pVjFP 
[10409] BUY,kcrL7pVjFP,VMK,659.85 
[10426] SET_SELL_TRIGGER,kcrL7pVjFP,JCQ,218.34 
[10674] BUY,kcrL7pVjFP,YKB,32.76 
[10695] COMMIT_BUY,kcrL7pVjFP 
[10707] DISPLAY_SUMMARY,kcrL7pVjFP 
[10776] SELL,kcrL7pVjFP,KES,325.99 
[10808] CANCEL_SELL,kcrL7pVjFP 
[11009] DISPLAY_SUMMARY,kcrL7pVjFP 
[11108] ADD,kcrL7pVjFP,82989.51 
[11286] BUY,kcrL7pVjFP,KPP,396.80 
[11414] SELL,kcrL7pVjFP,FQP,379.47 
[11450] CANCEL_SELL,kcrL7pVjFP 
[11464] BUY,kcrL7pVjFP,IQZ,573.29 
[11494] COMMIT_BUY,kcrL7pVjFP 
[11499] ADD,kcrL7pVjFP,79875.82 
[11568] QUOTE,kcrL7pVjFP,EGX 
[11586] QUOTE,kcrL7pVjFP,MZT 
[11717] SET_BUY_TRIGGER,kcrL7pVjFP,FTP,129.51 
[11751] SELL,kcrL7pVjFP,QAX,139.44 
[11788] BUY,kcrL7pVjFP,UIE,691.05 
[11794] ADD,kcrL7pVjFP,66426.85 
[11898] QUOTE,kcrL7pVjFP,CUZ 
[12025] BUY,kcrL7pVjFP,ZUV,118.26 
[12102] COMMIT_BUY,kcrL7pVjFP 
[12123] QUOTE,kcrL7pVjFP,NFL 
[12202] CANCEL_SELL,kcrL7pVjFP 
[12264] SET_BUY_TRIGGER,kcrL7pVjFP,HTN,31.89 
[12416] SET_BUY_TRIGGER,kcrL7pVjFP,MLU,139.01 
[12444] QUOTE,kcrL7pVjFP,ZER 
[12760] BUY,kcrL7pVjFP,STQ,106.09 
[12801] SET_SELL_TRIGGER,kcrL7pVjFP,EIK,135.00 
[12886] ADD,kcrL7pVjFP,84003.47 
[12947] CANCEL_SET_SELL,kcrL7pVjFP,CWA 
[13554] QUOTE,kcrL7pVjFP,CBX 
[13630] BUY,kcrL7pVjFP,ETJ,590.61 
[13692] CANCEL_SET_BUY,kcrL7pVjFP,RQL 
[13700] BUY,kcrL7pVjFP,XFA,565.37 
[13780] CANCEL_BUY,kcrL7pVjFP 
[14293] DISPLAY_SUMMARY,kcrL7pVjFP 
[14316] ADD,kcrL7pVjFP,57498.27 
[14389] BUY,kcrL7pVjFP,KHY,522.34 
[14505] COMMIT_SELL,kcrL7pVjFP 
[14559] QUOTE,kcrL7pVjFP,OLI 
[14754] SET_BUY_TRIGGER,kcrL7pVjFP,TZJ,86.90 
[14761] ADD,kcrL7pVjFP,74533.62 
[14858] QUOTE,kcrL7pVjFP,JGG 
[14935] COMMIT_SELL,kcrL7pVjFP 
[14942] BUY,kcrL7pVjFP,PXS,671.78 
[15132] COMMIT_BUY,kcrL7pVjFP 
[15460] DISPLAY_SUMMARY,kcrL7pVjFP 
[15628] CANCEL_BUY,kcrL7pVjFP 
[15787] BUY,kcrL7pVjFP,TQX,654.08 
[15871] COMMIT_BUY,kcrL7pVjFP 
[15876] SELL,kcrL7pVjFP,QJZ,648.03 
[15897] CANCEL_BUY,kcrL7pVjFP 
[15939] BUY,kcrL7pVjFP,FIW,270.84 
[15953] COMMIT_BUY,kcrL7pVjFP 
[15954] BUY,kcrL7pVjFP,ZZD,7.25 
[15967] BUY,kcrL7pVjFP,WYR,32.21 
[16082] CANCEL_BUY,kcrL7pVjFP 
[16089] DISPLAY_SUMMARY,kcrL7pVjFP 
[16311] SET_SELL_TRIGGER,kcrL7pVjFP,GQV,197.84 
[16459] QUOTE,kcrL7pVjFP,GQV 
[16496] SET_SELL_AMOUNT,kcrL7pVjFP,LFU,53.72 
[16569] SET_SELL_TRIGGER,kcrL7pVjFP,LFU,19.10 
[17041] SET_BUY_TRIGGER,kcrL7pVjFP,ZNY,113.85 
[17303] DISPLAY_SUMMARY,kcrL7pVjFP 
[17319] ADD,kcrL7pVjFP,56645.78 
[17397] BUY,kcrL7pVjFP,QPZ,485.39 
[17407] COMMIT_BUY,kcrL7pVjFP 
[17447] BUY,kcrL7pVjFP,HCN,177.31 
[17548] CANCEL_BUY,kcrL7pVjFP 
[17559] BUY,kcrL7pVjFP,KPU,740.29 
[17593] COMMIT_BUY,kcrL7pVjFP 
[17689] SET_BUY_TRIGGER,kcrL7pVjFP,EHF,190.56 
[17704] SET_SELL_TRIGGER,kcrL7pVjFP,SCK,85.48 
[17727] DISPLAY_SUMMARY,kcrL7pVjFP 
[17949] COMMIT_SELL,kcrL7pVjFP 
[17990] SET_SELL_TRIGGER,kcrL7pVjFP,BMQ,104.98 
[18203] SET_SELL_AMOUNT,kcrL7pVjFP,GYF,237.15 
[18430] SELL,kcrL7pVjFP,QAX,22.35 
[18592] COMMIT_SELL,kcrL7pVjFP 
[18620] QUOTE,kcrL7pVjFP,EIH 
[18631] ADD,kcrL7pVjFP,69836.59 
[18757] QUOTE,kcrL7pVjFP,MOS 
[18831] BUY,kcrL7pVjFP,VVW,380.90 
[19009] BUY,kcrL7pVjFP,MQH,366.07 
[19115] CANCEL_SET_BUY,kcrL7pVjFP,FFI 
[19213] ADD,kcrL7pVjFP,101176.46 
[19273] QUOTE,kcrL7pVjFP,RJG 
[19391] BUY,kcrL7pVjFP,SON,548.95 
[19582] COMMIT_BUY,kcrL7pVjFP 
[19731] BUY,kcrL7pVjFP,PMG,368.07 
[19882] COMMIT_BUY,kcrL7pVjFP 
[19939] SET_SELL_TRIGGER,kcrL7pVjFP,GYF,129.58 
[20026] SET_SELL_AMOUNT,kcrL7pVjFP,JQO,482.95 
[20105] CANCEL_SET_SELL,kcrL7pVjFP,JQO 
[20195] SET_BUY_AMOUNT,kcrL7pVjFP,UTV,68.82 
[20398] CANCEL_SET_BUY,kcrL7pVjFP,SYN 
[20450] DISPLAY_SUMMARY,kcrL7pVjFP 
[20475] ADD,kcrL7pVjFP,86578.33 
[20488] QUOTE,kcrL7pVjFP,GZU 
[20562] QUOTE,kcrL7pVjFP,VJB 
[20791] QUOTE,kcrL7pVjFP,PJJ 
[20805] SELL,kcrL7pVjFP,QJZ,21.08 
[20925] COMMIT_SELL,kcrL7pVjFP 
[21346] SET_SELL_AMOUNT,kcrL7pVjFP,GYF,463.76 
[21605] SET_SELL_TRIGGER,kcrL7pVjFP,GYF,77.56 
[21722] SET_SELL_AMOUNT,kcrL7pVjFP,ZAN,263.16 
[21873] SELL,kcrL7pVjFP,KDA,397.45 
[22134] CANCEL_SELL,kcrL7pVjFP 
[22196] QUOTE,kcrL7pVjFP,FKZ 
[22212] QUOTE,kcrL7pVjFP,DRP 
[22266] ADD,kcrL7pVjFP,49906.46 
[22374] BUY,kcrL7pVjFP,NSN,626.64 
[22384] BUY,kcrL7pVjFP,KBP,215.75 
[22480] COMMIT_SELL,kcrL7pVjFP 
[22485] ADD,kcrL7pVjFP,87077.91 
[22509] SET_BUY_AMOUNT,kcrL7pVjFP,KDA,687.55 
[22561] SET_BUY_TRIGGER,kcrL7pVjFP,JXR,520.34 
