[49] ADD,km22Ao7dfo,69757.94 
[56] QUOTE,km22Ao7dfo,WZM 
[105] BUY,km22Ao7dfo,AXK,558.33 
[175] CANCEL_BUY,km22Ao7dfo 
[375] QUOTE,km22Ao7dfo,CTS 
[442] BUY,km22Ao7dfo,HDR,99.88 
[482] CANCEL_SELL,km22Ao7dfo 
[640] ADD,km22Ao7dfo,93782.46 
[818] BUY,km22Ao7dfo,FSD,617.18 
[851] COMMIT_BUY,km22Ao7dfo 
[923] DISPLAY_SUMMARY,km22Ao7dfo 
[937] SET_SELL_TRIGGER,km22Ao7dfo,OAV,0.14 
[942] DISPLAY_SUMMARY,km22Ao7dfo 
[1025] QUOTE,km22Ao7dfo,SYU 
[1064] COMMIT_SELL,km22Ao7dfo 
[1073] ADD,km22Ao7dfo,75117.99 
[1194] QUOTE,km22Ao7dfo,NSN 
[1257] COMMIT_BUY,km22Ao7dfo 
[1320] DISPLAY_SUMMARY,km22Ao7dfo 
[1370] BUY,km22Ao7dfo,GCW,469.60 
[1390] SELL,km22Ao7dfo,QJZ,146.25 
[1401] SET_SELL_AMOUNT,km22Ao7dfo,QJZ,46.76 
[1487] SET_SELL_TRIGGER,km22Ao7dfo,QJZ,12.80 
[1494] CANCEL_BUY,km22Ao7dfo 
[1562] ADD,km22Ao7dfo,84331.39 
[1568] BUY,km22Ao7dfo,INB,117.41 
[1648] COMMIT_BUY,km22Ao7dfo 
[1734] DISPLAY_SUMMARY,km22Ao7dfo 
[2121] ADD,km22Ao7dfo,91953.94 
[2367] BUY,km22Ao7dfo,XQC,586.07 
[2427] COMMIT_SELL,km22Ao7dfo 
[2443] SET_BUY_AMOUNT,km22Ao7dfo,FQP,670.33 
[2466] DISPLAY_SUMMARY,km22Ao7dfo 
[2506] DISPLAY_SUMMARY,km22Ao7dfo 
[2567] COMMIT_SELL,km22Ao7dfo 
[2570] SET_SELL_AMOUNT,km22Ao7dfo,QJZ,564.16 
[2840] SET_SELL_TRIGGER,km22Ao7dfo,QJZ,375.41 
[2911] ADD,km22Ao7dfo,85573.86 
[2941] QUOTE,km22Ao7dfo,IHA 
[3101] QUOTE,km22Ao7dfo,ZFV 
[3189] QUOTE,km22Ao7dfo,NXU 
[3304] COMMIT_BUY,km22Ao7dfo 
[3630] SET_BUY_AMOUNT,km22Ao7dfo,QJZ,32.09 
[3779] SET_BUY_TRIGGER,km22Ao7dfo,SYE,6.21 
