[65] ADD,kryOHlcACM,69868.50 
[159] SELL,kryOHlcACM,PCK,20.15 
[214] SET_SELL_AMOUNT,kryOHlcACM,LKK,225.05 
[225] SET_SELL_TRIGGER,kryOHlcACM,LKK,167.89 
[312] BUY,kryOHlcACM,OYX,695.61 
[318] COMMIT_BUY,kryOHlcACM 
[340] SET_BUY_AMOUNT,kryOHlcACM,QJZ,652.20 
[429] SET_BUY_TRIGGER,kryOHlcACM,XXN,263.37 
[457] BUY,kryOHlcACM,HNW,390.36 
[522] COMMIT_BUY,kryOHlcACM 
[754] ADD,kryOHlcACM,78318.39 
[775] QUOTE,kryOHlcACM,MOS 
[854] CANCEL_SET_SELL,kryOHlcACM,COE 
[938] SELL,kryOHlcACM,FQP,50.73 
[969] BUY,kryOHlcACM,CBK,441.01 
[1269] COMMIT_BUY,kryOHlcACM 
[1295] ADD,kryOHlcACM,84676.20 
[1416] BUY,kryOHlcACM,VVO,652.99 
[1450] COMMIT_BUY,kryOHlcACM 
[1466] CANCEL_BUY,kryOHlcACM 
[1503] SET_BUY_TRIGGER,kryOHlcACM,KZQ,11.17 
[1504] SELL,kryOHlcACM,KDA,712.18 
[1570] SELL,kryOHlcACM,FQP,197.23 
[1621] COMMIT_SELL,kryOHlcACM 
[1869] DISPLAY_SUMMARY,kryOHlcACM 
[1893] CANCEL_BUY,kryOHlcACM 
[2296] SELL,kryOHlcACM,FQP,326.60 
[2748] DISPLAY_SUMMARY,kryOHlcACM 
[2783] SET_BUY_TRIGGER,kryOHlcACM,VXY,88.92 
[2811] QUOTE,kryOHlcACM,UGT 
[2824] COMMIT_SELL,kryOHlcACM 
[2861] ADD,kryOHlcACM,78932.35 
[2882] BUY,kryOHlcACM,JLO,7.05 
[2953] SET_SELL_TRIGGER,kryOHlcACM,OYS,130.17 
[3032] QUOTE,kryOHlcACM,ZOW 
[3070] SET_BUY_TRIGGER,kryOHlcACM,UMN,187.26 
[3156] CANCEL_BUY,kryOHlcACM 
[3166] SET_SELL_AMOUNT,kryOHlcACM,KDA,482.76 
[3421] BUY,kryOHlcACM,YZC,172.16 
[3569] COMMIT_BUY,kryOHlcACM 
[3599] SET_BUY_AMOUNT,kryOHlcACM,KDA,251.38 
[3605] SET_BUY_TRIGGER,kryOHlcACM,CVV,66.14 
[3712] SET_SELL_AMOUNT,kryOHlcACM,KES,296.06 
[3817] SET_SELL_TRIGGER,kryOHlcACM,KES,11.08 
[3882] SET_SELL_AMOUNT,kryOHlcACM,JVT,124.99 
[4035] DISPLAY_SUMMARY,kryOHlcACM 
[4100] SET_SELL_AMOUNT,kryOHlcACM,KES,565.35 
[4194] CANCEL_SET_SELL,kryOHlcACM,KES 
[4224] SET_SELL_TRIGGER,kryOHlcACM,WAO,181.95 
[4264] DISPLAY_SUMMARY,kryOHlcACM 
[4300] ADD,kryOHlcACM,63622.69 
[4331] ADD,kryOHlcACM,58628.82 
[4660] BUY,kryOHlcACM,SAJ,411.39 
[4746] COMMIT_BUY,kryOHlcACM 
[4851] BUY,kryOHlcACM,IFU,251.02 
[4854] CANCEL_BUY,kryOHlcACM 
[4883] SET_SELL_TRIGGER,kryOHlcACM,VOU,156.47 
[4888] SET_BUY_AMOUNT,kryOHlcACM,KDA,498.28 
[4953] SET_BUY_TRIGGER,kryOHlcACM,BUL,372.33 
[4968] SET_BUY_TRIGGER,kryOHlcACM,ZMK,100.91 
[5034] QUOTE,kryOHlcACM,QHF 
[5051] CANCEL_SELL,kryOHlcACM 
[5054] QUOTE,kryOHlcACM,SFR 
[5055] BUY,kryOHlcACM,WKG,361.09 
[5185] COMMIT_BUY,kryOHlcACM 
[5212] SET_BUY_AMOUNT,kryOHlcACM,JVT,20.63 
[5217] SET_BUY_TRIGGER,kryOHlcACM,LAM,6.29 
[5219] DISPLAY_SUMMARY,kryOHlcACM 
[5240] CANCEL_SET_BUY,kryOHlcACM,CEC 
[5307] QUOTE,kryOHlcACM,JVE 
[5341] SET_SELL_AMOUNT,kryOHlcACM,FQP,272.54 
[5585] CANCEL_SET_SELL,kryOHlcACM,FQP 
[5632] SET_BUY_AMOUNT,kryOHlcACM,KDA,120.80 
[5646] SET_BUY_TRIGGER,kryOHlcACM,VYQ,48.52 
[5819] QUOTE,kryOHlcACM,JGY 
[5824] BUY,kryOHlcACM,PXY,594.78 
[5905] SET_SELL_TRIGGER,kryOHlcACM,GDF,86.87 
[6011] SET_SELL_AMOUNT,kryOHlcACM,KES,119.07 
[6058] SET_SELL_TRIGGER,kryOHlcACM,KES,3.41 
[6060] DISPLAY_SUMMARY,kryOHlcACM 
[6069] ADD,kryOHlcACM,81232.68 
[6310] BUY,kryOHlcACM,AIN,698.79 
[6542] SET_SELL_TRIGGER,kryOHlcACM,FTB,44.89 
[6627] SET_SELL_AMOUNT,kryOHlcACM,KES,692.92 
[6717] QUOTE,kryOHlcACM,FLY 
[6962] BUY,kryOHlcACM,RGH,472.59 
[7097] COMMIT_BUY,kryOHlcACM 
[7145] BUY,kryOHlcACM,NTT,42.62 
[7584] COMMIT_BUY,kryOHlcACM 
[7695] ADD,kryOHlcACM,76035.06 
[7740] QUOTE,kryOHlcACM,TKG 
[7963] COMMIT_BUY,kryOHlcACM 
[8045] BUY,kryOHlcACM,ZMS,275.61 
[8134] DISPLAY_SUMMARY,kryOHlcACM 
[8254] DISPLAY_SUMMARY,kryOHlcACM 
[8262] DISPLAY_SUMMARY,kryOHlcACM 
[8312] SET_SELL_TRIGGER,kryOHlcACM,KES,679.54 
[8433] ADD,kryOHlcACM,46930.95 
[8483] SELL,kryOHlcACM,FQP,580.70 
[8882] COMMIT_SELL,kryOHlcACM 
[9128] SET_BUY_AMOUNT,kryOHlcACM,JVT,225.79 
[9307] SET_BUY_TRIGGER,kryOHlcACM,VGW,42.48 
[9439] QUOTE,kryOHlcACM,VKB 
[9518] BUY,kryOHlcACM,BFU,190.58 
[9519] CANCEL_BUY,kryOHlcACM 
[9521] DISPLAY_SUMMARY,kryOHlcACM 
[9539] DISPLAY_SUMMARY,kryOHlcACM 
[9583] SET_BUY_AMOUNT,kryOHlcACM,GYF,187.05 
[9705] SET_BUY_TRIGGER,kryOHlcACM,GZQ,154.22 
[9762] ADD,kryOHlcACM,54495.22 
[9865] BUY,kryOHlcACM,GJQ,309.51 
[10016] QUOTE,kryOHlcACM,VMD 
[10266] QUOTE,kryOHlcACM,UGG 
[10335] SELL,kryOHlcACM,JCQ,458.99 
[10537] COMMIT_SELL,kryOHlcACM 
[10595] SET_BUY_AMOUNT,kryOHlcACM,JVT,719.45 
[10603] SET_BUY_TRIGGER,kryOHlcACM,MJU,23.87 
[10810] SET_SELL_AMOUNT,kryOHlcACM,GYF,576.87 
[10878] SET_SELL_TRIGGER,kryOHlcACM,GYF,128.74 
[10893] ADD,kryOHlcACM,61954.20 
[10937] QUOTE,kryOHlcACM,PUC 
[11128] QUOTE,kryOHlcACM,XUH 
[11648] ADD,kryOHlcACM,73413.38 
[11754] QUOTE,kryOHlcACM,GTX 
[11855] QUOTE,kryOHlcACM,KJD 
[12821] QUOTE,kryOHlcACM,LJM 
[12876] BUY,kryOHlcACM,QSS,403.96 
[12896] COMMIT_BUY,kryOHlcACM 
[13006] ADD,kryOHlcACM,53977.39 
[13081] QUOTE,kryOHlcACM,SAJ 
[13258] DISPLAY_SUMMARY,kryOHlcACM 
[13445] SELL,kryOHlcACM,KDA,234.34 
[13466] COMMIT_SELL,kryOHlcACM 
[13523] DISPLAY_SUMMARY,kryOHlcACM 
[13706] BUY,kryOHlcACM,XLV,189.70 
[13879] CANCEL_BUY,kryOHlcACM 
[13902] DISPLAY_SUMMARY,kryOHlcACM 
[13999] ADD,kryOHlcACM,79596.64 
[14181] CANCEL_SET_SELL,kryOHlcACM,ZWZ 
[14207] SET_SELL_TRIGGER,kryOHlcACM,TQE,113.37 
[14226] DISPLAY_SUMMARY,kryOHlcACM 
[14463] SET_SELL_AMOUNT,kryOHlcACM,JVT,242.95 
[14558] SET_SELL_TRIGGER,kryOHlcACM,JVT,36.94 
[14604] DISPLAY_SUMMARY,kryOHlcACM 
[14627] SET_SELL_TRIGGER,kryOHlcACM,WYD,35.66 
[14670] ADD,kryOHlcACM,62117.64 
[14730] BUY,kryOHlcACM,SON,178.37 
[15080] SELL,kryOHlcACM,JVT,215.07 
[15178] QUOTE,kryOHlcACM,YUR 
[15239] BUY,kryOHlcACM,CXN,720.34 
[15404] COMMIT_BUY,kryOHlcACM 
[15673] QUOTE,kryOHlcACM,SXB 
[15744] BUY,kryOHlcACM,BPK,263.78 
[15920] ADD,kryOHlcACM,91733.37 
[16003] COMMIT_BUY,kryOHlcACM 
[16107] ADD,kryOHlcACM,87103.46 
[16307] QUOTE,kryOHlcACM,CBX 
[16344] SET_SELL_AMOUNT,kryOHlcACM,KDA,376.84 
[16363] SET_SELL_TRIGGER,kryOHlcACM,KDA,303.23 
[16486] SET_BUY_AMOUNT,kryOHlcACM,JVT,371.43 
[16520] SET_BUY_TRIGGER,kryOHlcACM,XSS,248.42 
[16622] DISPLAY_SUMMARY,kryOHlcACM 
[16629] SELL,kryOHlcACM,FQP,92.60 
[16735] COMMIT_SELL,kryOHlcACM 
[16746] QUOTE,kryOHlcACM,LVT 
[16798] SET_BUY_TRIGGER,kryOHlcACM,KAH,130.00 
[16942] BUY,kryOHlcACM,LSM,596.52 
[16960] COMMIT_BUY,kryOHlcACM 
[17091] QUOTE,kryOHlcACM,GYT 
[17124] SET_BUY_TRIGGER,kryOHlcACM,YTT,87.41 
[17183] SET_BUY_TRIGGER,kryOHlcACM,AOU,141.70 
[17383] CANCEL_BUY,kryOHlcACM 
[17487] SET_BUY_AMOUNT,kryOHlcACM,FQP,495.36 
[17537] SET_BUY_TRIGGER,kryOHlcACM,EYY,441.90 
[17571] QUOTE,kryOHlcACM,APY 
[17766] BUY,kryOHlcACM,XBL,288.99 
[17768] SET_SELL_AMOUNT,kryOHlcACM,KES,64.92 
[17799] SET_SELL_TRIGGER,kryOHlcACM,KES,2.76 
[18029] QUOTE,kryOHlcACM,XFW 
[18084] BUY,kryOHlcACM,GZQ,24.66 
[18111] SET_BUY_AMOUNT,kryOHlcACM,QJZ,370.63 
[18125] BUY,kryOHlcACM,SCK,731.51 
[18283] COMMIT_BUY,kryOHlcACM 
[18287] DISPLAY_SUMMARY,kryOHlcACM 
[18314] SET_BUY_TRIGGER,kryOHlcACM,QZN,144.58 
[18327] DISPLAY_SUMMARY,kryOHlcACM 
[18391] DISPLAY_SUMMARY,kryOHlcACM 
[18420] SELL,kryOHlcACM,JRJ,9.28 
[18710] COMMIT_BUY,kryOHlcACM 
[18804] SELL,kryOHlcACM,FQP,93.36 
[18823] COMMIT_SELL,kryOHlcACM 
[18909] BUY,kryOHlcACM,PCK,328.25 
[19005] COMMIT_BUY,kryOHlcACM 
[19077] QUOTE,kryOHlcACM,SKV 
[19147] BUY,kryOHlcACM,RVZ,623.14 
[19286] CANCEL_SET_BUY,kryOHlcACM,CVV 
[19310] DISPLAY_SUMMARY,kryOHlcACM 
[19505] SET_SELL_TRIGGER,kryOHlcACM,VTY,115.60 
[19603] QUOTE,kryOHlcACM,PUO 
[19726] BUY,kryOHlcACM,EIH,641.40 
[19750] COMMIT_BUY,kryOHlcACM 
[19883] SET_SELL_TRIGGER,kryOHlcACM,OKK,170.52 
[19886] SET_SELL_AMOUNT,kryOHlcACM,JVT,408.38 
[19911] SET_SELL_TRIGGER,kryOHlcACM,JVT,273.88 
[19931] SET_SELL_AMOUNT,kryOHlcACM,EBS,481.27 
[20039] SET_SELL_TRIGGER,kryOHlcACM,EBS,74.91 
[20095] DISPLAY_SUMMARY,kryOHlcACM 
[20211] SET_BUY_AMOUNT,kryOHlcACM,JVT,340.92 
[20265] SET_BUY_TRIGGER,kryOHlcACM,IZJ,8.89 
[20478] SELL,kryOHlcACM,KDA,397.67 
[20556] SET_BUY_AMOUNT,kryOHlcACM,OEY,200.78 
[21018] SET_BUY_TRIGGER,kryOHlcACM,IAV,80.90 
[21063] QUOTE,kryOHlcACM,PGV 
[21083] QUOTE,kryOHlcACM,CBK 
[21272] BUY,kryOHlcACM,APY,219.13 
[21289] COMMIT_BUY,kryOHlcACM 
[21437] CANCEL_SET_SELL,kryOHlcACM,FQG 
[21558] ADD,kryOHlcACM,51624.16 
[21581] QUOTE,kryOHlcACM,MWM 
[21614] SET_SELL_AMOUNT,kryOHlcACM,QAX,701.43 
[21649] SET_SELL_TRIGGER,kryOHlcACM,QAX,440.05 
[21673] SET_BUY_AMOUNT,kryOHlcACM,QAX,695.13 
[21696] SET_BUY_TRIGGER,kryOHlcACM,HHG,310.15 
[21811] DISPLAY_SUMMARY,kryOHlcACM 
[22370] SELL,kryOHlcACM,JCQ,378.63 
[22375] COMMIT_SELL,kryOHlcACM 
[22533] CANCEL_SELL,kryOHlcACM 
[22593] SET_BUY_TRIGGER,kryOHlcACM,APU,189.54 
