[1] ADD,lLn3fa1FIk,75576.00 
[177] QUOTE,lLn3fa1FIk,YQC 
[185] CANCEL_BUY,lLn3fa1FIk 
[207] ADD,lLn3fa1FIk,58152.13 
[373] BUY,lLn3fa1FIk,GKD,446.15 
[478] COMMIT_BUY,lLn3fa1FIk 
[488] SET_BUY_AMOUNT,lLn3fa1FIk,QJZ,725.27 
[595] SET_BUY_TRIGGER,lLn3fa1FIk,JUG,123.15 
[719] ADD,lLn3fa1FIk,86353.79 
[726] BUY,lLn3fa1FIk,OOI,594.59 
[770] COMMIT_BUY,lLn3fa1FIk 
[853] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,92.01 
[906] CANCEL_SET_BUY,lLn3fa1FIk,BTP 
[977] SET_SELL_TRIGGER,lLn3fa1FIk,UTL,186.13 
[1150] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,660.59 
[1259] SELL,lLn3fa1FIk,FQP,95.32 
[1407] COMMIT_SELL,lLn3fa1FIk 
[1643] DISPLAY_SUMMARY,lLn3fa1FIk 
[1710] ADD,lLn3fa1FIk,82246.99 
[1804] QUOTE,lLn3fa1FIk,GPM 
[1838] ADD,lLn3fa1FIk,60866.12 
[1875] BUY,lLn3fa1FIk,PUC,72.47 
[1889] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,374.74 
[2128] BUY,lLn3fa1FIk,FXT,427.77 
[2183] COMMIT_BUY,lLn3fa1FIk 
[2488] SET_BUY_AMOUNT,lLn3fa1FIk,KDA,139.37 
[2647] DISPLAY_SUMMARY,lLn3fa1FIk 
[2845] SELL,lLn3fa1FIk,QJZ,513.99 
[2852] COMMIT_SELL,lLn3fa1FIk 
[2974] SET_BUY_TRIGGER,lLn3fa1FIk,MLT,46.47 
[3048] SET_SELL_TRIGGER,lLn3fa1FIk,OYX,163.77 
[3303] SET_SELL_AMOUNT,lLn3fa1FIk,QJZ,124.02 
[3961] CANCEL_SET_SELL,lLn3fa1FIk,QJZ 
[4002] SELL,lLn3fa1FIk,QJZ,705.61 
[4087] COMMIT_SELL,lLn3fa1FIk 
[4153] CANCEL_SET_BUY,lLn3fa1FIk,WYA 
[4160] SELL,lLn3fa1FIk,QJZ,663.45 
[4250] COMMIT_SELL,lLn3fa1FIk 
[4371] DISPLAY_SUMMARY,lLn3fa1FIk 
[4451] QUOTE,lLn3fa1FIk,OPN 
[4495] COMMIT_SELL,lLn3fa1FIk 
[4585] CANCEL_SET_SELL,lLn3fa1FIk,OBO 
[4829] ADD,lLn3fa1FIk,77923.13 
[4916] CANCEL_SELL,lLn3fa1FIk 
[5069] ADD,lLn3fa1FIk,63738.69 
[5252] QUOTE,lLn3fa1FIk,LAW 
[5329] ADD,lLn3fa1FIk,67525.01 
[5500] QUOTE,lLn3fa1FIk,DWK 
[5549] CANCEL_BUY,lLn3fa1FIk 
[5723] DISPLAY_SUMMARY,lLn3fa1FIk 
[5783] SELL,lLn3fa1FIk,KDA,454.20 
[5801] COMMIT_SELL,lLn3fa1FIk 
[6358] ADD,lLn3fa1FIk,48703.83 
[6390] QUOTE,lLn3fa1FIk,RFC 
[6468] CANCEL_SET_SELL,lLn3fa1FIk,MQF 
[6595] DISPLAY_SUMMARY,lLn3fa1FIk 
[6606] BUY,lLn3fa1FIk,FZB,163.92 
[6654] SET_BUY_AMOUNT,lLn3fa1FIk,FQP,625.41 
[6658] CANCEL_SET_BUY,lLn3fa1FIk,DMW 
[6702] DISPLAY_SUMMARY,lLn3fa1FIk 
[6959] CANCEL_SET_SELL,lLn3fa1FIk,ETJ 
[6986] BUY,lLn3fa1FIk,GRM,301.80 
[7019] COMMIT_BUY,lLn3fa1FIk 
[7029] ADD,lLn3fa1FIk,69496.04 
[7569] QUOTE,lLn3fa1FIk,HSH 
[7701] ADD,lLn3fa1FIk,60336.30 
[7804] QUOTE,lLn3fa1FIk,ATE 
[8201] QUOTE,lLn3fa1FIk,OHG 
[8418] DISPLAY_SUMMARY,lLn3fa1FIk 
[8422] SELL,lLn3fa1FIk,FQP,297.81 
[8431] COMMIT_BUY,lLn3fa1FIk 
[8497] SELL,lLn3fa1FIk,KDA,647.76 
[8759] COMMIT_SELL,lLn3fa1FIk 
[8763] SELL,lLn3fa1FIk,KES,480.30 
[8941] COMMIT_SELL,lLn3fa1FIk 
[8955] SET_SELL_TRIGGER,lLn3fa1FIk,VOY,30.08 
[9041] QUOTE,lLn3fa1FIk,ZRJ 
[9081] COMMIT_SELL,lLn3fa1FIk 
[9177] BUY,lLn3fa1FIk,GPC,335.54 
[9208] COMMIT_BUY,lLn3fa1FIk 
[9299] SET_SELL_AMOUNT,lLn3fa1FIk,KES,365.19 
[9343] CANCEL_SET_SELL,lLn3fa1FIk,KES 
[9379] ADD,lLn3fa1FIk,46418.30 
[9408] QUOTE,lLn3fa1FIk,TUO 
[9432] QUOTE,lLn3fa1FIk,HIW 
[9466] QUOTE,lLn3fa1FIk,ZAV 
[9674] DISPLAY_SUMMARY,lLn3fa1FIk 
[9779] DISPLAY_SUMMARY,lLn3fa1FIk 
[9924] BUY,lLn3fa1FIk,ZJQ,591.60 
[10432] CANCEL_BUY,lLn3fa1FIk 
[11086] SET_SELL_AMOUNT,lLn3fa1FIk,QJZ,16.15 
