[158] ADD,mR1GL8In4q,76336.49 
[171] QUOTE,mR1GL8In4q,JUG 
[213] COMMIT_SELL,mR1GL8In4q 
[239] CANCEL_SELL,mR1GL8In4q 
[250] ADD,mR1GL8In4q,50481.96 
[342] QUOTE,mR1GL8In4q,XOA 
[496] ADD,mR1GL8In4q,56098.84 
[544] QUOTE,mR1GL8In4q,DED 
[605] QUOTE,mR1GL8In4q,YCH 
[619] BUY,mR1GL8In4q,LLF,421.90 
[695] QUOTE,mR1GL8In4q,DBT 
[737] QUOTE,mR1GL8In4q,GTB 
[777] DISPLAY_SUMMARY,mR1GL8In4q 
[789] DISPLAY_SUMMARY,mR1GL8In4q 
[874] SELL,mR1GL8In4q,YVX,329.53 
[981] COMMIT_SELL,mR1GL8In4q 
[1026] SET_BUY_TRIGGER,mR1GL8In4q,DLQ,46.89 
[1032] SELL,mR1GL8In4q,DKV,342.63 
[1061] BUY,mR1GL8In4q,WKT,41.45 
[1162] COMMIT_BUY,mR1GL8In4q 
[1316] DISPLAY_SUMMARY,mR1GL8In4q 
[1386] BUY,mR1GL8In4q,SYT,603.18 
[1469] CANCEL_BUY,mR1GL8In4q 
[1542] SET_BUY_AMOUNT,mR1GL8In4q,QJZ,645.71 
[1618] SET_BUY_TRIGGER,mR1GL8In4q,PDX,538.45 
[1798] SELL,mR1GL8In4q,QJZ,663.38 
[1832] SET_BUY_TRIGGER,mR1GL8In4q,JMG,91.28 
[1854] SET_BUY_AMOUNT,mR1GL8In4q,QJZ,185.21 
[1935] SET_BUY_TRIGGER,mR1GL8In4q,WPG,64.75 
[1991] SELL,mR1GL8In4q,QJZ,428.38 
[2057] COMMIT_SELL,mR1GL8In4q 
[2126] QUOTE,mR1GL8In4q,NFQ 
[2165] BUY,mR1GL8In4q,HZE,213.93 
[2174] SET_BUY_AMOUNT,mR1GL8In4q,QJZ,430.18 
[2303] SELL,mR1GL8In4q,QJZ,468.86 
[2482] COMMIT_SELL,mR1GL8In4q 
[2513] ADD,mR1GL8In4q,71217.51 
[2573] BUY,mR1GL8In4q,SYL,252.80 
[2625] COMMIT_BUY,mR1GL8In4q 
[2643] CANCEL_SELL,mR1GL8In4q 
[2667] SET_BUY_TRIGGER,mR1GL8In4q,PVZ,92.43 
[2715] BUY,mR1GL8In4q,ROW,398.44 
[2738] SET_SELL_TRIGGER,mR1GL8In4q,FTB,164.86 
[2788] SET_BUY_AMOUNT,mR1GL8In4q,QJZ,714.04 
[2898] DISPLAY_SUMMARY,mR1GL8In4q 
[2987] SET_BUY_AMOUNT,mR1GL8In4q,QJZ,174.55 
[3054] SET_BUY_TRIGGER,mR1GL8In4q,FWW,6.48 
[3126] SET_BUY_TRIGGER,mR1GL8In4q,IHA,27.09 
[3253] ADD,mR1GL8In4q,62865.75 
[3297] QUOTE,mR1GL8In4q,HTD 
[3373] SET_BUY_TRIGGER,mR1GL8In4q,QGE,186.01 
[3499] ADD,mR1GL8In4q,73373.29 
[3896] BUY,mR1GL8In4q,KBP,180.16 
[4244] COMMIT_BUY,mR1GL8In4q 
[4319] DISPLAY_SUMMARY,mR1GL8In4q 
[4603] ADD,mR1GL8In4q,52558.09 
[4702] QUOTE,mR1GL8In4q,OYW 
[4870] ADD,mR1GL8In4q,76396.61 
[4923] QUOTE,mR1GL8In4q,SYN 
[5142] BUY,mR1GL8In4q,OEM,729.09 
[5155] DISPLAY_SUMMARY,mR1GL8In4q 
[5210] BUY,mR1GL8In4q,CXB,484.56 
[5271] COMMIT_BUY,mR1GL8In4q 
[5344] SET_SELL_TRIGGER,mR1GL8In4q,ETJ,112.90 
[5579] DISPLAY_SUMMARY,mR1GL8In4q 
[5656] CANCEL_SELL,mR1GL8In4q 
[5880] DISPLAY_SUMMARY,mR1GL8In4q 
[5913] ADD,mR1GL8In4q,30582.47 
[5991] BUY,mR1GL8In4q,GFN,321.82 
[6021] SET_SELL_AMOUNT,mR1GL8In4q,KDA,560.75 
[6174] SET_SELL_TRIGGER,mR1GL8In4q,KDA,497.00 
[6223] SET_SELL_AMOUNT,mR1GL8In4q,KES,250.73 
[6295] SET_SELL_TRIGGER,mR1GL8In4q,KES,194.86 
[6446] SELL,mR1GL8In4q,KDA,416.63 
[6574] COMMIT_SELL,mR1GL8In4q 
[6642] SELL,mR1GL8In4q,KDA,596.12 
[6665] SELL,mR1GL8In4q,KES,257.61 
[6858] SET_SELL_AMOUNT,mR1GL8In4q,KDA,547.64 
[6903] SET_SELL_TRIGGER,mR1GL8In4q,KDA,518.50 
[7314] ADD,mR1GL8In4q,86534.92 
[7517] QUOTE,mR1GL8In4q,XLK 
[7599] QUOTE,mR1GL8In4q,PXS 
[7653] COMMIT_BUY,mR1GL8In4q 
[7669] CANCEL_BUY,mR1GL8In4q 
[7991] QUOTE,mR1GL8In4q,PUO 
[8101] QUOTE,mR1GL8In4q,NGH 
[8166] BUY,mR1GL8In4q,SJZ,292.12 
[8208] COMMIT_BUY,mR1GL8In4q 
[8413] DISPLAY_SUMMARY,mR1GL8In4q 
[8519] SELL,mR1GL8In4q,FQP,736.64 
[8576] COMMIT_SELL,mR1GL8In4q 
[8599] SET_BUY_AMOUNT,mR1GL8In4q,FQP,568.13 
[8613] SELL,mR1GL8In4q,KDA,217.63 
[8627] COMMIT_SELL,mR1GL8In4q 
[8738] SET_BUY_AMOUNT,mR1GL8In4q,JVT,671.16 
[9008] SET_BUY_TRIGGER,mR1GL8In4q,JXR,468.02 
[9109] CANCEL_BUY,mR1GL8In4q 
[9174] ADD,mR1GL8In4q,67658.57 
[9326] QUOTE,mR1GL8In4q,RNE 
[9366] ADD,mR1GL8In4q,64596.04 
[9537] BUY,mR1GL8In4q,WNU,175.78 
[9541] COMMIT_BUY,mR1GL8In4q 
[9582] BUY,mR1GL8In4q,CTS,708.81 
[9756] ADD,mR1GL8In4q,58312.57 
[9932] QUOTE,mR1GL8In4q,LTB 
[9962] SELL,mR1GL8In4q,QJZ,468.66 
[10106] COMMIT_SELL,mR1GL8In4q 
[10422] ADD,mR1GL8In4q,45334.16 
[10427] QUOTE,mR1GL8In4q,NJF 
[10449] ADD,mR1GL8In4q,73144.53 
[10464] BUY,mR1GL8In4q,LSK,692.72 
[10485] COMMIT_BUY,mR1GL8In4q 
[10666] DISPLAY_SUMMARY,mR1GL8In4q 
[10767] SELL,mR1GL8In4q,KES,489.30 
[10773] ADD,mR1GL8In4q,65564.72 
[10851] QUOTE,mR1GL8In4q,SJG 
[11133] ADD,mR1GL8In4q,94750.24 
[11267] QUOTE,mR1GL8In4q,FFN 
[11480] ADD,mR1GL8In4q,90477.22 
[11611] CANCEL_SET_BUY,mR1GL8In4q,CXN 
[11681] QUOTE,mR1GL8In4q,NDO 
[11709] BUY,mR1GL8In4q,KWP,190.03 
[11736] COMMIT_BUY,mR1GL8In4q 
[11911] ADD,mR1GL8In4q,87960.55 
[12239] BUY,mR1GL8In4q,IEQ,525.79 
[12357] COMMIT_BUY,mR1GL8In4q 
[12388] ADD,mR1GL8In4q,41964.36 
[12406] CANCEL_SELL,mR1GL8In4q 
[12408] SELL,mR1GL8In4q,KDA,19.15 
[12438] COMMIT_SELL,mR1GL8In4q 
[12624] DISPLAY_SUMMARY,mR1GL8In4q 
[12915] BUY,mR1GL8In4q,AQO,61.16 
[12997] CANCEL_BUY,mR1GL8In4q 
[13004] QUOTE,mR1GL8In4q,FVS 
[13020] QUOTE,mR1GL8In4q,JPD 
[13193] BUY,mR1GL8In4q,BZX,379.49 
[13220] SET_BUY_AMOUNT,mR1GL8In4q,QJZ,310.60 
[13348] SET_BUY_TRIGGER,mR1GL8In4q,SQI,245.94 
[13472] ADD,mR1GL8In4q,53825.59 
[13511] BUY,mR1GL8In4q,DHA,600.56 
[13635] COMMIT_BUY,mR1GL8In4q 
[13745] SET_SELL_AMOUNT,mR1GL8In4q,OEY,69.52 
[13807] SET_SELL_TRIGGER,mR1GL8In4q,OEY,50.28 
[14127] SET_BUY_TRIGGER,mR1GL8In4q,ZCO,160.13 
[14289] ADD,mR1GL8In4q,82240.07 
[14312] BUY,mR1GL8In4q,JHY,318.80 
[14457] COMMIT_BUY,mR1GL8In4q 
[14502] ADD,mR1GL8In4q,73097.15 
[14512] SET_SELL_AMOUNT,mR1GL8In4q,FQP,49.13 
[14652] QUOTE,mR1GL8In4q,BYA 
[14691] BUY,mR1GL8In4q,ELQ,581.89 
[14874] COMMIT_BUY,mR1GL8In4q 
[14946] SET_SELL_AMOUNT,mR1GL8In4q,JQO,283.76 
[15025] SET_SELL_TRIGGER,mR1GL8In4q,JQO,52.49 
[15171] SET_BUY_TRIGGER,mR1GL8In4q,OYW,51.16 
[15293] QUOTE,mR1GL8In4q,MLU 
[15632] BUY,mR1GL8In4q,KZQ,254.24 
[15671] COMMIT_BUY,mR1GL8In4q 
[15786] DISPLAY_SUMMARY,mR1GL8In4q 
[15824] SELL,mR1GL8In4q,NHG,38.98 
[15914] COMMIT_SELL,mR1GL8In4q 
[16018] DISPLAY_SUMMARY,mR1GL8In4q 
[16122] SELL,mR1GL8In4q,FQP,337.05 
[16201] QUOTE,mR1GL8In4q,QVA 
[16354] SET_BUY_AMOUNT,mR1GL8In4q,UTV,376.53 
[16386] SET_BUY_TRIGGER,mR1GL8In4q,MRH,222.85 
[16414] SET_SELL_TRIGGER,mR1GL8In4q,WDC,144.94 
[16436] BUY,mR1GL8In4q,NSW,338.22 
[16453] SET_BUY_TRIGGER,mR1GL8In4q,IZU,88.21 
[16518] SET_BUY_AMOUNT,mR1GL8In4q,JRJ,608.53 
[16715] CANCEL_SET_BUY,mR1GL8In4q,TXB 
[16748] SET_BUY_AMOUNT,mR1GL8In4q,KDA,186.52 
[16819] SET_BUY_TRIGGER,mR1GL8In4q,BJL,73.37 
[16956] DISPLAY_SUMMARY,mR1GL8In4q 
[17061] QUOTE,mR1GL8In4q,VOU 
[17115] SET_BUY_TRIGGER,mR1GL8In4q,VJB,148.07 
[17286] ADD,mR1GL8In4q,75945.04 
[17387] COMMIT_BUY,mR1GL8In4q 
[17405] ADD,mR1GL8In4q,76573.66 
