[8] ADD,n4E566ZogW,74837.72 
[110] BUY,n4E566ZogW,IQJ,25.54 
[222] COMMIT_BUY,n4E566ZogW 
[230] COMMIT_SELL,n4E566ZogW 
[356] QUOTE,n4E566ZogW,PFN 
[378] DISPLAY_SUMMARY,n4E566ZogW 
[396] SET_BUY_AMOUNT,n4E566ZogW,QJZ,11.66 
[475] SET_BUY_TRIGGER,n4E566ZogW,ZWZ,10.87 
[479] ADD,n4E566ZogW,67530.00 
[1010] BUY,n4E566ZogW,ADY,481.70 
[1018] COMMIT_BUY,n4E566ZogW 
[1053] DISPLAY_SUMMARY,n4E566ZogW 
[1067] QUOTE,n4E566ZogW,MWV 
[1155] SET_BUY_TRIGGER,n4E566ZogW,CEC,193.42 
[1285] SELL,n4E566ZogW,QJZ,99.77 
[1322] COMMIT_SELL,n4E566ZogW 
[1372] ADD,n4E566ZogW,91435.73 
[1464] BUY,n4E566ZogW,CGW,593.16 
[1725] COMMIT_BUY,n4E566ZogW 
[1828] DISPLAY_SUMMARY,n4E566ZogW 
[2324] CANCEL_SELL,n4E566ZogW 
[2335] COMMIT_BUY,n4E566ZogW 
[2462] QUOTE,n4E566ZogW,URY 
[2571] ADD,n4E566ZogW,79690.21 
[2572] QUOTE,n4E566ZogW,JRY 
[2620] BUY,n4E566ZogW,NFO,697.10 
[2675] SET_BUY_TRIGGER,n4E566ZogW,BFU,106.65 
[3110] SET_SELL_TRIGGER,n4E566ZogW,PMG,126.13 
[3199] SELL,n4E566ZogW,FQP,506.47 
[3268] CANCEL_SELL,n4E566ZogW 
[3308] DISPLAY_SUMMARY,n4E566ZogW 
[3402] BUY,n4E566ZogW,ZYR,602.65 
[3461] CANCEL_BUY,n4E566ZogW 
[3555] CANCEL_SELL,n4E566ZogW 
[3634] ADD,n4E566ZogW,63487.46 
[3635] CANCEL_SELL,n4E566ZogW 
[3911] DISPLAY_SUMMARY,n4E566ZogW 
[4127] BUY,n4E566ZogW,ZAM,631.26 
[4200] SET_SELL_TRIGGER,n4E566ZogW,GPW,187.35 
[4310] DISPLAY_SUMMARY,n4E566ZogW 
[4429] QUOTE,n4E566ZogW,XQG 
[4435] COMMIT_BUY,n4E566ZogW 
[4511] QUOTE,n4E566ZogW,JUE 
[4583] QUOTE,n4E566ZogW,HHC 
[4694] CANCEL_BUY,n4E566ZogW 
[4869] CANCEL_SET_BUY,n4E566ZogW,VYQ 
[5012] SET_SELL_AMOUNT,n4E566ZogW,FQP,592.40 
[5066] SET_SELL_TRIGGER,n4E566ZogW,FQP,440.56 
[5165] DISPLAY_SUMMARY,n4E566ZogW 
[5211] DISPLAY_SUMMARY,n4E566ZogW 
[5628] ADD,n4E566ZogW,88588.91 
[5719] BUY,n4E566ZogW,SDL,498.74 
[5902] COMMIT_BUY,n4E566ZogW 
[5907] SELL,n4E566ZogW,JVT,503.59 
[5993] CANCEL_SET_SELL,n4E566ZogW,OZW 
[6241] SET_BUY_TRIGGER,n4E566ZogW,BSG,6.38 
[6270] BUY,n4E566ZogW,GAL,213.46 
[6532] COMMIT_BUY,n4E566ZogW 
[6693] ADD,n4E566ZogW,86744.00 
[6945] COMMIT_SELL,n4E566ZogW 
[7091] BUY,n4E566ZogW,VAT,408.71 
[7114] COMMIT_SELL,n4E566ZogW 
[7126] ADD,n4E566ZogW,84551.35 
[7127] BUY,n4E566ZogW,EAK,646.15 
[7367] COMMIT_BUY,n4E566ZogW 
[7421] ADD,n4E566ZogW,74391.43 
[7431] QUOTE,n4E566ZogW,WXV 
[7670] ADD,n4E566ZogW,97740.03 
[7686] SELL,n4E566ZogW,QJZ,741.59 
[7692] QUOTE,n4E566ZogW,DKV 
[7723] BUY,n4E566ZogW,HBF,120.63 
[7734] COMMIT_BUY,n4E566ZogW 
[7859] QUOTE,n4E566ZogW,GED 
[7910] BUY,n4E566ZogW,JFF,431.37 
[7958] QUOTE,n4E566ZogW,YQC 
[7986] QUOTE,n4E566ZogW,HEK 
[8275] BUY,n4E566ZogW,TKV,264.65 
[8396] SET_BUY_TRIGGER,n4E566ZogW,TTV,178.10 
[8526] COMMIT_BUY,n4E566ZogW 
[8602] ADD,n4E566ZogW,52439.57 
[8648] QUOTE,n4E566ZogW,JIO 
[8670] QUOTE,n4E566ZogW,EIH 
[8778] BUY,n4E566ZogW,HIW,468.88 
[8924] COMMIT_BUY,n4E566ZogW 
[9203] CANCEL_SET_SELL,n4E566ZogW,PXY 
[9209] QUOTE,n4E566ZogW,PVZ 
[9305] QUOTE,n4E566ZogW,ZAO 
[9478] BUY,n4E566ZogW,PNP,437.45 
[9525] SET_BUY_AMOUNT,n4E566ZogW,JCQ,412.27 
[9818] SET_BUY_TRIGGER,n4E566ZogW,LPW,241.19 
[9863] SET_BUY_AMOUNT,n4E566ZogW,FQP,41.34 
[9900] SET_BUY_TRIGGER,n4E566ZogW,AOH,1.68 
[10002] DISPLAY_SUMMARY,n4E566ZogW 
[10116] DISPLAY_SUMMARY,n4E566ZogW 
[10138] BUY,n4E566ZogW,LLZ,382.61 
[10150] COMMIT_BUY,n4E566ZogW 
[10154] DISPLAY_SUMMARY,n4E566ZogW 
[10238] SET_SELL_TRIGGER,n4E566ZogW,WYO,190.43 
[10593] SET_BUY_AMOUNT,n4E566ZogW,JVT,245.47 
[10737] SET_BUY_TRIGGER,n4E566ZogW,ZRJ,221.37 
[10787] BUY,n4E566ZogW,UTD,557.81 
[10797] COMMIT_BUY,n4E566ZogW 
[10917] DISPLAY_SUMMARY,n4E566ZogW 
[10962] ADD,n4E566ZogW,83343.63 
[11024] QUOTE,n4E566ZogW,KVK 
[11471] BUY,n4E566ZogW,RGM,456.94 
[11608] COMMIT_BUY,n4E566ZogW 
[11640] DISPLAY_SUMMARY,n4E566ZogW 
[11781] SET_BUY_TRIGGER,n4E566ZogW,PHZ,175.19 
[11787] DISPLAY_SUMMARY,n4E566ZogW 
[11823] SET_BUY_AMOUNT,n4E566ZogW,QAX,668.31 
[11838] SELL,n4E566ZogW,KDA,55.43 
[11867] COMMIT_BUY,n4E566ZogW 
[12037] ADD,n4E566ZogW,62395.83 
[12078] SET_SELL_AMOUNT,n4E566ZogW,EBS,511.41 
[12100] SET_SELL_TRIGGER,n4E566ZogW,EBS,477.93 
[12144] SET_BUY_TRIGGER,n4E566ZogW,AOU,282.01 
[12209] DISPLAY_SUMMARY,n4E566ZogW 
[12435] SET_SELL_TRIGGER,n4E566ZogW,PFN,90.04 
[12579] SET_SELL_AMOUNT,n4E566ZogW,OEY,298.08 
[12654] SET_SELL_TRIGGER,n4E566ZogW,OEY,275.89 
[12674] SET_BUY_AMOUNT,n4E566ZogW,QJZ,673.62 
[12698] CANCEL_SET_BUY,n4E566ZogW,IHA 
[12797] SET_SELL_TRIGGER,n4E566ZogW,TGY,1.30 
[12961] ADD,n4E566ZogW,59428.50 
[13404] BUY,n4E566ZogW,CBX,677.35 
[13414] COMMIT_SELL,n4E566ZogW 
[13505] COMMIT_BUY,n4E566ZogW 
[13584] ADD,n4E566ZogW,64105.99 
[13601] BUY,n4E566ZogW,JXR,649.76 
[13892] COMMIT_BUY,n4E566ZogW 
[13972] QUOTE,n4E566ZogW,TQX 
[14070] BUY,n4E566ZogW,HIW,572.79 
[14125] COMMIT_BUY,n4E566ZogW 
[14148] BUY,n4E566ZogW,DDA,26.43 
[14249] COMMIT_BUY,n4E566ZogW 
[14304] DISPLAY_SUMMARY,n4E566ZogW 
[14860] ADD,n4E566ZogW,70101.82 
[14887] QUOTE,n4E566ZogW,CWA 
[14947] BUY,n4E566ZogW,MER,577.35 
[15087] COMMIT_BUY,n4E566ZogW 
[15089] DISPLAY_SUMMARY,n4E566ZogW 
[15153] SET_SELL_TRIGGER,n4E566ZogW,CVK,122.06 
[15375] DISPLAY_SUMMARY,n4E566ZogW 
[15458] SELL,n4E566ZogW,ZAN,504.07 
[15578] QUOTE,n4E566ZogW,IDN 
[15606] BUY,n4E566ZogW,EOY,62.32 
[15668] COMMIT_BUY,n4E566ZogW 
[15670] SET_BUY_AMOUNT,n4E566ZogW,EBS,67.10 
[15739] SET_BUY_TRIGGER,n4E566ZogW,OSA,49.27 
[15748] SELL,n4E566ZogW,LFU,456.94 
[15798] ADD,n4E566ZogW,76139.03 
[15879] BUY,n4E566ZogW,LCP,307.52 
[16004] COMMIT_BUY,n4E566ZogW 
[16028] BUY,n4E566ZogW,BLC,504.86 
[16212] CANCEL_SELL,n4E566ZogW 
[16232] ADD,n4E566ZogW,46541.77 
[16302] QUOTE,n4E566ZogW,BRZ 
[16369] SET_SELL_TRIGGER,n4E566ZogW,BBD,189.07 
[16415] CANCEL_BUY,n4E566ZogW 
[16525] SET_BUY_AMOUNT,n4E566ZogW,OEY,558.36 
[16683] DISPLAY_SUMMARY,n4E566ZogW 
[16740] ADD,n4E566ZogW,78643.17 
[16749] QUOTE,n4E566ZogW,LBC 
[16845] COMMIT_SELL,n4E566ZogW 
[16860] DISPLAY_SUMMARY,n4E566ZogW 
[16936] QUOTE,n4E566ZogW,ECI 
[16993] BUY,n4E566ZogW,MMF,505.42 
[17132] CANCEL_SELL,n4E566ZogW 
[17153] COMMIT_BUY,n4E566ZogW 
[17511] DISPLAY_SUMMARY,n4E566ZogW 
[17553] ADD,n4E566ZogW,61507.38 
[17716] SET_SELL_TRIGGER,n4E566ZogW,EEG,2.23 
