[10] ADD,n9qniWnHrs,38784.26 
[37] QUOTE,n9qniWnHrs,YEH 
[203] CANCEL_SELL,n9qniWnHrs 
[504] BUY,n9qniWnHrs,IPH,609.61 
[528] BUY,n9qniWnHrs,GJQ,315.32 
[557] COMMIT_BUY,n9qniWnHrs 
[660] ADD,n9qniWnHrs,89193.90 
[738] BUY,n9qniWnHrs,MER,598.44 
[780] CANCEL_BUY,n9qniWnHrs 
[963] DISPLAY_SUMMARY,n9qniWnHrs 
[973] SET_BUY_TRIGGER,n9qniWnHrs,KLY,138.94 
[1019] SET_BUY_TRIGGER,n9qniWnHrs,NJB,28.45 
[1071] BUY,n9qniWnHrs,ULL,256.57 
[1153] QUOTE,n9qniWnHrs,FOW 
[1203] BUY,n9qniWnHrs,OYW,11.92 
[1357] SET_BUY_TRIGGER,n9qniWnHrs,JDW,54.63 
[1402] ADD,n9qniWnHrs,80305.35 
[1436] QUOTE,n9qniWnHrs,YRO 
[1500] SET_BUY_AMOUNT,n9qniWnHrs,QJZ,177.58 
[1514] CANCEL_SET_BUY,n9qniWnHrs,ROW 
[1592] BUY,n9qniWnHrs,OPN,719.07 
[1692] CANCEL_SET_BUY,n9qniWnHrs,DRO 
[1821] QUOTE,n9qniWnHrs,WSG 
[1881] ADD,n9qniWnHrs,77823.18 
[2031] QUOTE,n9qniWnHrs,DBT 
[2227] BUY,n9qniWnHrs,CBQ,101.99 
[2290] SET_BUY_AMOUNT,n9qniWnHrs,QJZ,316.26 
[2544] SET_BUY_TRIGGER,n9qniWnHrs,FQP,49.34 
[2545] DISPLAY_SUMMARY,n9qniWnHrs 
[2663] DISPLAY_SUMMARY,n9qniWnHrs 
[2778] DISPLAY_SUMMARY,n9qniWnHrs 
[2846] COMMIT_SELL,n9qniWnHrs 
[3036] CANCEL_BUY,n9qniWnHrs 
[3089] SET_SELL_TRIGGER,n9qniWnHrs,KVK,51.84 
[3144] CANCEL_BUY,n9qniWnHrs 
[3171] SET_BUY_TRIGGER,n9qniWnHrs,POI,178.00 
[3239] ADD,n9qniWnHrs,47456.31 
[3445] DISPLAY_SUMMARY,n9qniWnHrs 
[3478] DISPLAY_SUMMARY,n9qniWnHrs 
[3490] ADD,n9qniWnHrs,52303.93 
[3509] QUOTE,n9qniWnHrs,XVK 
[3596] ADD,n9qniWnHrs,73116.99 
[3674] BUY,n9qniWnHrs,TFZ,493.16 
[3677] SET_SELL_TRIGGER,n9qniWnHrs,WQC,92.65 
[3688] BUY,n9qniWnHrs,XLI,8.65 
[3774] COMMIT_BUY,n9qniWnHrs 
[3794] SET_BUY_TRIGGER,n9qniWnHrs,VEX,73.73 
[3884] DISPLAY_SUMMARY,n9qniWnHrs 
[3907] ADD,n9qniWnHrs,62593.29 
[3946] QUOTE,n9qniWnHrs,SSF 
[4033] QUOTE,n9qniWnHrs,POE 
[4113] QUOTE,n9qniWnHrs,WQE 
[4143] QUOTE,n9qniWnHrs,HZP 
[4223] QUOTE,n9qniWnHrs,AVX 
[4231] BUY,n9qniWnHrs,UCG,3.85 
[4237] COMMIT_BUY,n9qniWnHrs 
[4296] CANCEL_SELL,n9qniWnHrs 
[4309] BUY,n9qniWnHrs,HHC,306.25 
[4370] COMMIT_BUY,n9qniWnHrs 
[4532] QUOTE,n9qniWnHrs,BMW 
[4711] BUY,n9qniWnHrs,SUS,332.36 
[4944] COMMIT_BUY,n9qniWnHrs 
[5013] BUY,n9qniWnHrs,ZCO,478.10 
[5152] COMMIT_BUY,n9qniWnHrs 
[5160] SELL,n9qniWnHrs,OEY,295.31 
[5281] COMMIT_SELL,n9qniWnHrs 
[5397] ADD,n9qniWnHrs,53806.23 
[5639] QUOTE,n9qniWnHrs,FVA 
[5699] BUY,n9qniWnHrs,HYX,562.27 
[5756] COMMIT_BUY,n9qniWnHrs 
[5896] QUOTE,n9qniWnHrs,NGZ 
[5982] BUY,n9qniWnHrs,GAN,607.50 
[5987] ADD,n9qniWnHrs,87648.54 
[6018] QUOTE,n9qniWnHrs,UGG 
[6078] CANCEL_SET_BUY,n9qniWnHrs,VYQ 
[6114] SET_SELL_TRIGGER,n9qniWnHrs,UGT,13.01 
[6236] BUY,n9qniWnHrs,LFU,279.01 
[6364] COMMIT_BUY,n9qniWnHrs 
[6396] DISPLAY_SUMMARY,n9qniWnHrs 
[6450] SET_SELL_TRIGGER,n9qniWnHrs,YAZ,153.83 
[6801] SELL,n9qniWnHrs,JVT,351.36 
[6977] COMMIT_SELL,n9qniWnHrs 
[7165] SELL,n9qniWnHrs,KES,520.45 
[7291] SET_BUY_AMOUNT,n9qniWnHrs,KDA,192.69 
[7338] BUY,n9qniWnHrs,HSJ,99.17 
[7625] COMMIT_BUY,n9qniWnHrs 
[7714] BUY,n9qniWnHrs,MAX,199.36 
[7725] SET_SELL_AMOUNT,n9qniWnHrs,FQP,510.33 
[7792] QUOTE,n9qniWnHrs,AOU 
[7936] SET_BUY_AMOUNT,n9qniWnHrs,OEY,57.07 
[8049] SET_BUY_TRIGGER,n9qniWnHrs,XUH,47.42 
[8080] BUY,n9qniWnHrs,ZAM,360.56 
[8138] COMMIT_BUY,n9qniWnHrs 
[8182] SET_BUY_TRIGGER,n9qniWnHrs,KCA,137.86 
[8345] SET_BUY_TRIGGER,n9qniWnHrs,SJZ,113.69 
[8386] ADD,n9qniWnHrs,74837.63 
[8419] QUOTE,n9qniWnHrs,ZAN 
[8456] SET_SELL_AMOUNT,n9qniWnHrs,GYF,378.86 
[8532] QUOTE,n9qniWnHrs,WSG 
[8538] QUOTE,n9qniWnHrs,PXS 
[8809] BUY,n9qniWnHrs,JCQ,639.02 
[8894] CANCEL_SET_BUY,n9qniWnHrs,FCM 
[9039] DISPLAY_SUMMARY,n9qniWnHrs 
[9153] SET_SELL_AMOUNT,n9qniWnHrs,FQP,124.60 
[9243] SET_SELL_TRIGGER,n9qniWnHrs,FQP,70.90 
