[57] ADD,nV1jqGc3b6,70407.89 
[127] SET_SELL_AMOUNT,nV1jqGc3b6,XOL,427.31 
[168] BUY,nV1jqGc3b6,UUJ,380.09 
[323] COMMIT_BUY,nV1jqGc3b6 
[327] QUOTE,nV1jqGc3b6,PNP 
[489] SET_BUY_TRIGGER,nV1jqGc3b6,CAX,86.32 
[683] SET_BUY_TRIGGER,nV1jqGc3b6,NUL,8.59 
[763] ADD,nV1jqGc3b6,77392.41 
[831] BUY,nV1jqGc3b6,IWL,680.10 
[834] QUOTE,nV1jqGc3b6,MKE 
[865] BUY,nV1jqGc3b6,URD,299.67 
[955] CANCEL_BUY,nV1jqGc3b6 
[1091] COMMIT_BUY,nV1jqGc3b6 
[1172] BUY,nV1jqGc3b6,FVZ,706.55 
[1306] SET_SELL_AMOUNT,nV1jqGc3b6,FQP,735.72 
[1314] SET_SELL_TRIGGER,nV1jqGc3b6,FQP,430.89 
[1544] CANCEL_SET_BUY,nV1jqGc3b6,SON 
[1583] ADD,nV1jqGc3b6,97523.69 
[1663] CANCEL_SET_SELL,nV1jqGc3b6,IEQ 
[1722] ADD,nV1jqGc3b6,75041.79 
[1727] QUOTE,nV1jqGc3b6,PGV 
[1843] SET_SELL_TRIGGER,nV1jqGc3b6,EUC,146.80 
[1877] CANCEL_SET_SELL,nV1jqGc3b6,XLV 
[2000] DISPLAY_SUMMARY,nV1jqGc3b6 
[2062] QUOTE,nV1jqGc3b6,OBO 
[2193] BUY,nV1jqGc3b6,PXS,553.42 
[2275] COMMIT_BUY,nV1jqGc3b6 
[2599] SET_SELL_TRIGGER,nV1jqGc3b6,VEX,42.36 
[2676] ADD,nV1jqGc3b6,76525.37 
[2720] BUY,nV1jqGc3b6,GQV,448.18 
[2917] COMMIT_BUY,nV1jqGc3b6 
[3265] CANCEL_SET_SELL,nV1jqGc3b6,NKC 
[3312] CANCEL_SET_BUY,nV1jqGc3b6,LLE 
[3319] CANCEL_SET_BUY,nV1jqGc3b6,IOY 
[3358] SET_BUY_TRIGGER,nV1jqGc3b6,SBT,63.71 
[3460] ADD,nV1jqGc3b6,43481.46 
[3502] QUOTE,nV1jqGc3b6,XAB 
[3616] QUOTE,nV1jqGc3b6,JIC 
[3707] SET_BUY_TRIGGER,nV1jqGc3b6,DES,27.85 
[3808] SET_BUY_AMOUNT,nV1jqGc3b6,QJZ,739.30 
[3866] SET_BUY_TRIGGER,nV1jqGc3b6,ZFT,253.27 
[3897] DISPLAY_SUMMARY,nV1jqGc3b6 
[4090] ADD,nV1jqGc3b6,72799.68 
[4093] QUOTE,nV1jqGc3b6,TWJ 
[4123] SET_BUY_TRIGGER,nV1jqGc3b6,YTY,74.43 
[4126] ADD,nV1jqGc3b6,74106.27 
[4136] QUOTE,nV1jqGc3b6,ECX 
[4251] BUY,nV1jqGc3b6,PXF,485.52 
[4345] COMMIT_BUY,nV1jqGc3b6 
[4369] ADD,nV1jqGc3b6,63442.80 
[4542] BUY,nV1jqGc3b6,HQU,134.83 
[4565] SET_BUY_AMOUNT,nV1jqGc3b6,KES,200.92 
[4572] QUOTE,nV1jqGc3b6,TUO 
[4725] ADD,nV1jqGc3b6,65772.94 
[4731] BUY,nV1jqGc3b6,SDW,373.04 
[4764] COMMIT_BUY,nV1jqGc3b6 
[4826] QUOTE,nV1jqGc3b6,CDF 
[5000] SET_BUY_AMOUNT,nV1jqGc3b6,JVT,45.45 
[5097] SET_BUY_TRIGGER,nV1jqGc3b6,RDK,36.82 
[5323] SET_SELL_TRIGGER,nV1jqGc3b6,DBR,11.72 
[5445] ADD,nV1jqGc3b6,65670.94 
[5610] QUOTE,nV1jqGc3b6,OSC 
[5620] COMMIT_BUY,nV1jqGc3b6 
[5697] ADD,nV1jqGc3b6,74277.82 
[5776] BUY,nV1jqGc3b6,OLH,48.58 
[5978] COMMIT_BUY,nV1jqGc3b6 
[6203] SET_SELL_TRIGGER,nV1jqGc3b6,RXO,39.09 
[6267] SELL,nV1jqGc3b6,KES,65.25 
[6327] COMMIT_SELL,nV1jqGc3b6 
[6385] QUOTE,nV1jqGc3b6,PST 
[6451] ADD,nV1jqGc3b6,47199.80 
[6490] QUOTE,nV1jqGc3b6,YDD 
[6492] SET_SELL_AMOUNT,nV1jqGc3b6,GYF,428.93 
[6500] SET_SELL_TRIGGER,nV1jqGc3b6,GYF,35.29 
[6814] SET_BUY_TRIGGER,nV1jqGc3b6,HGG,197.36 
[7037] QUOTE,nV1jqGc3b6,CXN 
[7093] QUOTE,nV1jqGc3b6,XLI 
[7107] BUY,nV1jqGc3b6,NGH,220.17 
[7201] SET_BUY_AMOUNT,nV1jqGc3b6,KDA,659.21 
[7363] CANCEL_SET_BUY,nV1jqGc3b6,FTJ 
[7456] SET_BUY_AMOUNT,nV1jqGc3b6,KES,307.83 
[7522] SET_BUY_TRIGGER,nV1jqGc3b6,IFI,239.40 
[7924] SELL,nV1jqGc3b6,KDA,4.65 
[8014] COMMIT_SELL,nV1jqGc3b6 
[8056] CANCEL_SET_BUY,nV1jqGc3b6,WKD 
[8178] ADD,nV1jqGc3b6,85779.50 
[8195] BUY,nV1jqGc3b6,CIP,727.05 
[8198] SET_BUY_AMOUNT,nV1jqGc3b6,GYF,410.30 
[8225] SET_BUY_TRIGGER,nV1jqGc3b6,BEG,203.56 
[8256] ADD,nV1jqGc3b6,66010.08 
[8409] QUOTE,nV1jqGc3b6,RRT 
[8465] QUOTE,nV1jqGc3b6,IFN 
[8571] SET_SELL_TRIGGER,nV1jqGc3b6,SCK,99.46 
[8732] CANCEL_SET_BUY,nV1jqGc3b6,BBD 
[8822] SET_SELL_TRIGGER,nV1jqGc3b6,DBS,12.26 
[8937] DISPLAY_SUMMARY,nV1jqGc3b6 
[8982] SELL,nV1jqGc3b6,JVT,454.97 
[9028] SELL,nV1jqGc3b6,FQP,296.89 
[9158] CANCEL_SELL,nV1jqGc3b6 
[9195] QUOTE,nV1jqGc3b6,TOL 
[9292] QUOTE,nV1jqGc3b6,QOQ 
[9697] BUY,nV1jqGc3b6,YTO,577.81 
[9743] SET_SELL_TRIGGER,nV1jqGc3b6,JSM,158.65 
[9801] ADD,nV1jqGc3b6,55244.27 
[9815] QUOTE,nV1jqGc3b6,OFP 
[9840] BUY,nV1jqGc3b6,AVH,356.19 
[9894] COMMIT_BUY,nV1jqGc3b6 
[10126] ADD,nV1jqGc3b6,75419.94 
[10265] QUOTE,nV1jqGc3b6,IGI 
[10343] BUY,nV1jqGc3b6,NDJ,312.59 
[10360] COMMIT_BUY,nV1jqGc3b6 
[10481] SET_BUY_TRIGGER,nV1jqGc3b6,FQP,76.99 
[10725] SET_BUY_AMOUNT,nV1jqGc3b6,GYF,554.13 
[10830] SET_BUY_TRIGGER,nV1jqGc3b6,JZJ,107.25 
[10837] BUY,nV1jqGc3b6,BUL,137.12 
[11055] COMMIT_BUY,nV1jqGc3b6 
[11104] SELL,nV1jqGc3b6,OEY,140.26 
[11247] CANCEL_SELL,nV1jqGc3b6 
[11283] BUY,nV1jqGc3b6,QQW,149.53 
[11455] COMMIT_BUY,nV1jqGc3b6 
[11496] SET_SELL_AMOUNT,nV1jqGc3b6,QJZ,215.23 
