[55] ADD,oAd3QaqYgz,97860.18 
[68] COMMIT_BUY,oAd3QaqYgz 
[95] SELL,oAd3QaqYgz,PFN,424.31 
[223] COMMIT_SELL,oAd3QaqYgz 
[235] SET_BUY_AMOUNT,oAd3QaqYgz,WJS,185.08 
[309] DISPLAY_SUMMARY,oAd3QaqYgz 
[317] SET_SELL_TRIGGER,oAd3QaqYgz,BCQ,78.62 
[337] SET_BUY_AMOUNT,oAd3QaqYgz,URY,435.00 
[343] SET_BUY_TRIGGER,oAd3QaqYgz,URY,249.00 
[398] SET_BUY_TRIGGER,oAd3QaqYgz,LUD,22.81 
[446] ADD,oAd3QaqYgz,54817.78 
[454] QUOTE,oAd3QaqYgz,MXD 
[534] ADD,oAd3QaqYgz,87636.15 
[587] BUY,oAd3QaqYgz,SHP,413.12 
[610] SET_SELL_AMOUNT,oAd3QaqYgz,SCK,433.82 
[746] SELL,oAd3QaqYgz,ZUV,631.44 
[790] SET_SELL_AMOUNT,oAd3QaqYgz,BTA,55.39 
[807] SET_SELL_TRIGGER,oAd3QaqYgz,BTA,17.45 
[816] QUOTE,oAd3QaqYgz,MIU 
[829] BUY,oAd3QaqYgz,PCR,653.91 
[879] COMMIT_BUY,oAd3QaqYgz 
[894] SET_BUY_TRIGGER,oAd3QaqYgz,FKZ,88.27 
[948] DISPLAY_SUMMARY,oAd3QaqYgz 
[1017] BUY,oAd3QaqYgz,JTY,297.41 
[1058] COMMIT_BUY,oAd3QaqYgz 
[1081] ADD,oAd3QaqYgz,71656.68 
[1236] QUOTE,oAd3QaqYgz,ATE 
[1376] BUY,oAd3QaqYgz,PLB,426.16 
[1559] SET_BUY_TRIGGER,oAd3QaqYgz,TSF,181.71 
[1667] DISPLAY_SUMMARY,oAd3QaqYgz 
[1878] SET_SELL_TRIGGER,oAd3QaqYgz,GPC,172.64 
[1911] SET_SELL_TRIGGER,oAd3QaqYgz,BTA,143.85 
[2114] ADD,oAd3QaqYgz,81411.51 
[2155] SET_SELL_AMOUNT,oAd3QaqYgz,QJZ,565.30 
[2166] SET_SELL_TRIGGER,oAd3QaqYgz,QJZ,127.52 
[2211] ADD,oAd3QaqYgz,71229.45 
[2226] QUOTE,oAd3QaqYgz,DDA 
[2334] ADD,oAd3QaqYgz,79975.28 
[2580] QUOTE,oAd3QaqYgz,FKZ 
[2583] QUOTE,oAd3QaqYgz,KRX 
[2708] ADD,oAd3QaqYgz,71105.78 
[2757] BUY,oAd3QaqYgz,BHP,527.60 
[2816] SET_BUY_AMOUNT,oAd3QaqYgz,QJZ,536.23 
[2945] CANCEL_SET_BUY,oAd3QaqYgz,MQX 
[3073] COMMIT_BUY,oAd3QaqYgz 
[3202] SET_SELL_TRIGGER,oAd3QaqYgz,PCR,69.79 
[3327] CANCEL_SET_SELL,oAd3QaqYgz,JHY 
[3381] SET_BUY_AMOUNT,oAd3QaqYgz,FQP,205.55 
[3439] BUY,oAd3QaqYgz,OBR,455.25 
[3464] SET_BUY_AMOUNT,oAd3QaqYgz,KDA,332.62 
[3503] SET_BUY_TRIGGER,oAd3QaqYgz,PCK,143.82 
[3580] SET_SELL_TRIGGER,oAd3QaqYgz,SAN,14.05 
[3676] ADD,oAd3QaqYgz,58258.37 
[3771] BUY,oAd3QaqYgz,VYQ,290.02 
[3885] COMMIT_BUY,oAd3QaqYgz 
[3932] SELL,oAd3QaqYgz,KES,578.34 
[3943] CANCEL_SELL,oAd3QaqYgz 
[4141] ADD,oAd3QaqYgz,74264.60 
[4208] CANCEL_SET_SELL,oAd3QaqYgz,DTG 
[4267] SELL,oAd3QaqYgz,KDA,500.67 
[4351] CANCEL_SELL,oAd3QaqYgz 
[4416] DISPLAY_SUMMARY,oAd3QaqYgz 
[4561] SET_BUY_TRIGGER,oAd3QaqYgz,TKV,66.99 
[4655] ADD,oAd3QaqYgz,71385.62 
[4802] SELL,oAd3QaqYgz,KES,343.76 
[4815] COMMIT_SELL,oAd3QaqYgz 
[4881] DISPLAY_SUMMARY,oAd3QaqYgz 
[5081] SET_BUY_TRIGGER,oAd3QaqYgz,PFN,77.32 
[5193] QUOTE,oAd3QaqYgz,WUL 
[5204] BUY,oAd3QaqYgz,JNO,403.61 
[5247] SET_SELL_AMOUNT,oAd3QaqYgz,QJZ,673.15 
[5287] SET_SELL_TRIGGER,oAd3QaqYgz,QJZ,186.24 
[5328] DISPLAY_SUMMARY,oAd3QaqYgz 
[5462] BUY,oAd3QaqYgz,KAS,2.89 
[5488] COMMIT_BUY,oAd3QaqYgz 
[5532] SELL,oAd3QaqYgz,KES,730.00 
[5580] COMMIT_SELL,oAd3QaqYgz 
[5857] ADD,oAd3QaqYgz,52098.73 
[5901] SET_BUY_AMOUNT,oAd3QaqYgz,JVT,691.71 
[5931] CANCEL_SET_BUY,oAd3QaqYgz,YEW 
[5947] SET_SELL_TRIGGER,oAd3QaqYgz,KJD,158.96 
[6181] QUOTE,oAd3QaqYgz,PXS 
[6404] BUY,oAd3QaqYgz,WBX,576.76 
[6467] COMMIT_BUY,oAd3QaqYgz 
[6580] ADD,oAd3QaqYgz,40281.46 
[6601] BUY,oAd3QaqYgz,MWB,7.19 
[6741] COMMIT_BUY,oAd3QaqYgz 
[6769] ADD,oAd3QaqYgz,44686.80 
[6799] BUY,oAd3QaqYgz,BBC,488.54 
[6952] CANCEL_BUY,oAd3QaqYgz 
[7012] DISPLAY_SUMMARY,oAd3QaqYgz 
[7102] ADD,oAd3QaqYgz,67409.18 
[7160] BUY,oAd3QaqYgz,GZU,436.36 
[7211] QUOTE,oAd3QaqYgz,YVS 
[7268] ADD,oAd3QaqYgz,63089.54 
[7799] QUOTE,oAd3QaqYgz,URY 
[7957] ADD,oAd3QaqYgz,68465.11 
[8217] DISPLAY_SUMMARY,oAd3QaqYgz 
[8267] SELL,oAd3QaqYgz,KES,294.86 
[8302] SET_BUY_TRIGGER,oAd3QaqYgz,SAJ,187.47 
[8540] SET_BUY_AMOUNT,oAd3QaqYgz,KES,488.26 
[8550] DISPLAY_SUMMARY,oAd3QaqYgz 
[8565] SET_BUY_AMOUNT,oAd3QaqYgz,JVT,198.96 
[8685] SET_BUY_TRIGGER,oAd3QaqYgz,ZJQ,105.24 
[8718] QUOTE,oAd3QaqYgz,CVP 
[8931] SET_BUY_AMOUNT,oAd3QaqYgz,GYF,280.44 
[9049] CANCEL_SET_BUY,oAd3QaqYgz,XZN 
[9050] BUY,oAd3QaqYgz,RUN,719.22 
[9178] COMMIT_BUY,oAd3QaqYgz 
[9242] DISPLAY_SUMMARY,oAd3QaqYgz 
[9347] SET_BUY_AMOUNT,oAd3QaqYgz,KDA,622.85 
[9367] DISPLAY_SUMMARY,oAd3QaqYgz 
[9419] BUY,oAd3QaqYgz,DWX,171.16 
[9514] COMMIT_BUY,oAd3QaqYgz 
[9526] QUOTE,oAd3QaqYgz,AOC 
[9652] SET_BUY_AMOUNT,oAd3QaqYgz,GYF,115.13 
[9680] QUOTE,oAd3QaqYgz,KZC 
[9720] CANCEL_BUY,oAd3QaqYgz 
[9812] ADD,oAd3QaqYgz,83515.08 
[9935] CANCEL_SET_SELL,oAd3QaqYgz,LLD 
[10019] SET_SELL_AMOUNT,oAd3QaqYgz,FQP,695.21 
[10103] SET_SELL_TRIGGER,oAd3QaqYgz,FQP,30.36 
[10151] ADD,oAd3QaqYgz,72476.40 
[10160] QUOTE,oAd3QaqYgz,FIY 
[10231] ADD,oAd3QaqYgz,62992.88 
[10232] BUY,oAd3QaqYgz,WGP,497.86 
[10500] SET_SELL_TRIGGER,oAd3QaqYgz,FPP,95.19 
[10535] DISPLAY_SUMMARY,oAd3QaqYgz 
[10562] SELL,oAd3QaqYgz,KES,666.61 
[10563] CANCEL_SET_BUY,oAd3QaqYgz,ZQC 
[10619] DISPLAY_SUMMARY,oAd3QaqYgz 
[10697] ADD,oAd3QaqYgz,78051.90 
[10740] BUY,oAd3QaqYgz,BUL,288.50 
[10748] COMMIT_BUY,oAd3QaqYgz 
[10912] SET_SELL_TRIGGER,oAd3QaqYgz,WBL,191.10 
[11021] SET_SELL_TRIGGER,oAd3QaqYgz,OOI,46.06 
[11115] SET_SELL_TRIGGER,oAd3QaqYgz,HHG,53.27 
[11211] ADD,oAd3QaqYgz,82931.01 
[11233] QUOTE,oAd3QaqYgz,NTB 
[11264] QUOTE,oAd3QaqYgz,LCP 
[11322] CANCEL_BUY,oAd3QaqYgz 
[11325] BUY,oAd3QaqYgz,SFR,454.61 
[11359] COMMIT_BUY,oAd3QaqYgz 
[11469] DISPLAY_SUMMARY,oAd3QaqYgz 
[11507] SET_BUY_AMOUNT,oAd3QaqYgz,FQP,88.73 
[11616] SET_BUY_TRIGGER,oAd3QaqYgz,RJG,3.94 
[11636] SET_BUY_TRIGGER,oAd3QaqYgz,EDM,170.20 
[11805] ADD,oAd3QaqYgz,75086.16 
[11983] DISPLAY_SUMMARY,oAd3QaqYgz 
[12024] ADD,oAd3QaqYgz,66585.46 
[12066] BUY,oAd3QaqYgz,OIV,121.55 
[12106] SET_SELL_TRIGGER,oAd3QaqYgz,CXC,99.78 
[12196] SET_SELL_AMOUNT,oAd3QaqYgz,JRJ,70.59 
[12250] SET_SELL_TRIGGER,oAd3QaqYgz,JRJ,65.07 
[12476] SELL,oAd3QaqYgz,JVT,201.56 
[12483] CANCEL_SELL,oAd3QaqYgz 
[12501] SET_BUY_AMOUNT,oAd3QaqYgz,JVT,717.23 
[12581] SET_BUY_TRIGGER,oAd3QaqYgz,MHI,350.22 
[12644] DISPLAY_SUMMARY,oAd3QaqYgz 
[12646] ADD,oAd3QaqYgz,64418.50 
[12742] BUY,oAd3QaqYgz,FGF,589.97 
