[293] ADD,ooUBBK63Qe,53157.82 
[302] QUOTE,ooUBBK63Qe,VCN 
[477] BUY,ooUBBK63Qe,RLS,632.61 
[615] SET_BUY_TRIGGER,ooUBBK63Qe,RUN,40.42 
[725] ADD,ooUBBK63Qe,63279.77 
[1118] BUY,ooUBBK63Qe,LLE,556.69 
[1243] SET_SELL_AMOUNT,ooUBBK63Qe,RJG,150.93 
[1245] CANCEL_SET_SELL,ooUBBK63Qe,RJG 
[1258] COMMIT_BUY,ooUBBK63Qe 
[1342] SET_SELL_AMOUNT,ooUBBK63Qe,QJZ,584.54 
[1355] SET_SELL_TRIGGER,ooUBBK63Qe,QJZ,533.05 
[1424] CANCEL_SET_BUY,ooUBBK63Qe,IGI 
[1442] DISPLAY_SUMMARY,ooUBBK63Qe 
[1490] DISPLAY_SUMMARY,ooUBBK63Qe 
[1593] SET_SELL_AMOUNT,ooUBBK63Qe,QJZ,430.99 
[1615] SET_SELL_TRIGGER,ooUBBK63Qe,QJZ,408.09 
[1633] SELL,ooUBBK63Qe,QJZ,744.89 
[1642] COMMIT_SELL,ooUBBK63Qe 
[1728] BUY,ooUBBK63Qe,RQT,286.95 
[1739] COMMIT_BUY,ooUBBK63Qe 
[1847] SET_SELL_TRIGGER,ooUBBK63Qe,AJL,152.46 
[2186] ADD,ooUBBK63Qe,80575.60 
[2258] QUOTE,ooUBBK63Qe,TOL 
[2461] COMMIT_BUY,ooUBBK63Qe 
[2469] QUOTE,ooUBBK63Qe,SKV 
[2493] CANCEL_SET_BUY,ooUBBK63Qe,PPW 
[2531] SET_BUY_TRIGGER,ooUBBK63Qe,LMO,170.31 
[2597] ADD,ooUBBK63Qe,68060.36 
[2795] CANCEL_SELL,ooUBBK63Qe 
[2903] DISPLAY_SUMMARY,ooUBBK63Qe 
[2948] COMMIT_BUY,ooUBBK63Qe 
[3034] ADD,ooUBBK63Qe,62333.77 
[3378] QUOTE,ooUBBK63Qe,FYR 
[3568] ADD,ooUBBK63Qe,67584.38 
[3658] QUOTE,ooUBBK63Qe,FLD 
[3732] SET_SELL_TRIGGER,ooUBBK63Qe,UMN,127.46 
[3781] DISPLAY_SUMMARY,ooUBBK63Qe 
[3910] SET_BUY_TRIGGER,ooUBBK63Qe,ZNZ,141.55 
[4024] ADD,ooUBBK63Qe,56158.64 
[4121] BUY,ooUBBK63Qe,MWM,671.52 
[4257] COMMIT_BUY,ooUBBK63Qe 
[4328] SET_BUY_TRIGGER,ooUBBK63Qe,AQO,11.03 
[4363] COMMIT_SELL,ooUBBK63Qe 
[4402] DISPLAY_SUMMARY,ooUBBK63Qe 
[4522] SELL,ooUBBK63Qe,KDA,512.50 
[4703] COMMIT_SELL,ooUBBK63Qe 
[4895] DISPLAY_SUMMARY,ooUBBK63Qe 
[4927] SET_BUY_TRIGGER,ooUBBK63Qe,YQC,88.37 
[4933] ADD,ooUBBK63Qe,54159.44 
[5014] BUY,ooUBBK63Qe,ZFK,560.54 
[5350] SET_BUY_AMOUNT,ooUBBK63Qe,QJZ,669.99 
