[62] ADD,p876fU7BEx,69684.38 
[128] QUOTE,p876fU7BEx,WRN 
[234] CANCEL_BUY,p876fU7BEx 
[247] ADD,p876fU7BEx,61319.71 
[382] QUOTE,p876fU7BEx,RKQ 
[907] BUY,p876fU7BEx,DBS,683.64 
[999] COMMIT_BUY,p876fU7BEx 
[1095] SET_SELL_TRIGGER,p876fU7BEx,GPW,10.49 
[1414] ADD,p876fU7BEx,64072.30 
[1479] SET_SELL_TRIGGER,p876fU7BEx,NSW,78.05 
[1511] DISPLAY_SUMMARY,p876fU7BEx 
[1607] SET_BUY_TRIGGER,p876fU7BEx,YGK,191.64 
[1816] ADD,p876fU7BEx,56742.14 
[1853] BUY,p876fU7BEx,PFN,329.71 
[1902] COMMIT_BUY,p876fU7BEx 
[1909] QUOTE,p876fU7BEx,XOL 
[2288] SELL,p876fU7BEx,FQP,364.40 
[2398] COMMIT_SELL,p876fU7BEx 
[2407] QUOTE,p876fU7BEx,RRZ 
[2542] SET_SELL_AMOUNT,p876fU7BEx,QJZ,138.26 
[2677] SET_SELL_TRIGGER,p876fU7BEx,QJZ,41.71 
[2735] BUY,p876fU7BEx,XBL,311.82 
[2780] COMMIT_BUY,p876fU7BEx 
[2784] ADD,p876fU7BEx,51853.81 
[2806] DISPLAY_SUMMARY,p876fU7BEx 
[2860] DISPLAY_SUMMARY,p876fU7BEx 
[2949] ADD,p876fU7BEx,93707.97 
[3109] BUY,p876fU7BEx,SQS,718.13 
[3174] COMMIT_BUY,p876fU7BEx 
[3226] ADD,p876fU7BEx,41444.13 
[3426] QUOTE,p876fU7BEx,ZOW 
[3672] SET_SELL_AMOUNT,p876fU7BEx,FQP,385.69 
[3786] CANCEL_SET_SELL,p876fU7BEx,FQP 
[3825] ADD,p876fU7BEx,67910.47 
[3996] SET_BUY_TRIGGER,p876fU7BEx,PVH,41.16 
[4066] QUOTE,p876fU7BEx,TYV 
[4070] BUY,p876fU7BEx,ZWC,196.84 
[4148] CANCEL_BUY,p876fU7BEx 
[4161] SET_BUY_AMOUNT,p876fU7BEx,KDA,453.53 
[4212] CANCEL_SET_BUY,p876fU7BEx,NHB 
[4235] DISPLAY_SUMMARY,p876fU7BEx 
[4399] ADD,p876fU7BEx,42756.93 
[4608] QUOTE,p876fU7BEx,LQN 
[4749] ADD,p876fU7BEx,53778.75 
[4880] BUY,p876fU7BEx,KBN,254.23 
[4894] QUOTE,p876fU7BEx,CUZ 
[5091] DISPLAY_SUMMARY,p876fU7BEx 
[5148] DISPLAY_SUMMARY,p876fU7BEx 
[5345] QUOTE,p876fU7BEx,CBY 
[5362] COMMIT_BUY,p876fU7BEx 
[5399] ADD,p876fU7BEx,83702.21 
[5530] QUOTE,p876fU7BEx,MMY 
[5557] SET_BUY_AMOUNT,p876fU7BEx,QJZ,439.14 
[5573] SET_BUY_TRIGGER,p876fU7BEx,GGI,350.90 
[5789] SET_BUY_AMOUNT,p876fU7BEx,JVT,512.08 
[5856] SET_BUY_TRIGGER,p876fU7BEx,NTB,504.29 
[5878] COMMIT_BUY,p876fU7BEx 
[6048] SET_BUY_TRIGGER,p876fU7BEx,VFH,199.73 
[6161] SET_BUY_AMOUNT,p876fU7BEx,KES,164.76 
[6559] SET_BUY_TRIGGER,p876fU7BEx,HTN,13.15 
[6661] QUOTE,p876fU7BEx,OLH 
[6716] QUOTE,p876fU7BEx,DHA 
[7168] BUY,p876fU7BEx,FYR,87.09 
[7350] COMMIT_BUY,p876fU7BEx 
[7353] ADD,p876fU7BEx,85373.57 
[7527] BUY,p876fU7BEx,XII,161.73 
[7558] COMMIT_BUY,p876fU7BEx 
[7612] SELL,p876fU7BEx,QJZ,182.27 
[7620] COMMIT_SELL,p876fU7BEx 
[7767] SET_SELL_AMOUNT,p876fU7BEx,KDA,643.95 
[7828] SET_SELL_TRIGGER,p876fU7BEx,KDA,611.63 
[8076] DISPLAY_SUMMARY,p876fU7BEx 
[8494] SET_SELL_TRIGGER,p876fU7BEx,FTJ,103.47 
[8561] QUOTE,p876fU7BEx,VVO 
[8629] BUY,p876fU7BEx,SNU,44.98 
[8658] COMMIT_BUY,p876fU7BEx 
[8729] DISPLAY_SUMMARY,p876fU7BEx 
[8823] SELL,p876fU7BEx,QJZ,300.58 
[8862] SET_BUY_TRIGGER,p876fU7BEx,NHG,196.49 
[8871] SET_SELL_AMOUNT,p876fU7BEx,GYF,214.30 
[8917] SET_SELL_TRIGGER,p876fU7BEx,GYF,173.47 
[9026] SET_SELL_TRIGGER,p876fU7BEx,SOA,53.92 
[9124] QUOTE,p876fU7BEx,MVI 
[9175] BUY,p876fU7BEx,JUJ,60.86 
[9211] COMMIT_BUY,p876fU7BEx 
[9234] DISPLAY_SUMMARY,p876fU7BEx 
[9266] DISPLAY_SUMMARY,p876fU7BEx 
[9302] ADD,p876fU7BEx,79107.19 
