[147] ADD,pIkIgs3Y8E,65033.99 
[262] CANCEL_BUY,pIkIgs3Y8E 
[307] SET_SELL_AMOUNT,pIkIgs3Y8E,SYT,720.90 
[379] CANCEL_SET_SELL,pIkIgs3Y8E,SYT 
[556] SELL,pIkIgs3Y8E,LSM,716.58 
[671] CANCEL_BUY,pIkIgs3Y8E 
[700] SET_SELL_AMOUNT,pIkIgs3Y8E,GPM,685.49 
[744] SET_SELL_TRIGGER,pIkIgs3Y8E,GPM,107.89 
[855] ADD,pIkIgs3Y8E,83042.37 
[930] BUY,pIkIgs3Y8E,RRT,75.74 
[932] COMMIT_BUY,pIkIgs3Y8E 
[941] BUY,pIkIgs3Y8E,SBT,319.86 
[1410] CANCEL_BUY,pIkIgs3Y8E 
[1471] ADD,pIkIgs3Y8E,57316.25 
[1582] SET_SELL_AMOUNT,pIkIgs3Y8E,QJZ,702.72 
[1851] BUY,pIkIgs3Y8E,XQG,263.95 
[1961] QUOTE,pIkIgs3Y8E,CBX 
[2089] ADD,pIkIgs3Y8E,79086.26 
[2180] QUOTE,pIkIgs3Y8E,NBX 
[2205] BUY,pIkIgs3Y8E,WLT,179.19 
[2243] CANCEL_BUY,pIkIgs3Y8E 
[2283] ADD,pIkIgs3Y8E,93594.32 
[2289] QUOTE,pIkIgs3Y8E,OPN 
[2353] BUY,pIkIgs3Y8E,IQJ,700.21 
[2366] DISPLAY_SUMMARY,pIkIgs3Y8E 
[2368] QUOTE,pIkIgs3Y8E,LAM 
[2575] QUOTE,pIkIgs3Y8E,MGO 
[2684] BUY,pIkIgs3Y8E,NAW,86.52 
[2954] BUY,pIkIgs3Y8E,UTV,309.57 
[3127] SET_BUY_TRIGGER,pIkIgs3Y8E,KZZ,64.23 
[3184] SET_SELL_AMOUNT,pIkIgs3Y8E,QJZ,478.49 
[3217] SET_SELL_TRIGGER,pIkIgs3Y8E,QJZ,381.99 
[3264] DISPLAY_SUMMARY,pIkIgs3Y8E 
[3487] CANCEL_SET_BUY,pIkIgs3Y8E,QOQ 
[3510] SELL,pIkIgs3Y8E,QJZ,78.58 
[3530] COMMIT_SELL,pIkIgs3Y8E 
[3610] ADD,pIkIgs3Y8E,58260.50 
[3621] QUOTE,pIkIgs3Y8E,ECI 
[3682] BUY,pIkIgs3Y8E,PWK,681.84 
[3718] COMMIT_BUY,pIkIgs3Y8E 
[3949] ADD,pIkIgs3Y8E,66015.26 
[3979] QUOTE,pIkIgs3Y8E,NXF 
[4056] SET_BUY_AMOUNT,pIkIgs3Y8E,QJZ,101.71 
