[211] ADD,q0Qp5MF3CI,56949.71 
[292] SELL,q0Qp5MF3CI,OYW,219.01 
[306] BUY,q0Qp5MF3CI,GKD,577.16 
[458] COMMIT_BUY,q0Qp5MF3CI 
[656] BUY,q0Qp5MF3CI,ZEG,252.98 
[740] COMMIT_BUY,q0Qp5MF3CI 
[750] BUY,q0Qp5MF3CI,LLE,309.23 
[918] SET_BUY_AMOUNT,q0Qp5MF3CI,FQP,560.76 
[957] SET_BUY_TRIGGER,q0Qp5MF3CI,QGL,492.63 
[1048] QUOTE,q0Qp5MF3CI,QHF 
[1075] SET_BUY_TRIGGER,q0Qp5MF3CI,QXE,59.70 
[1105] ADD,q0Qp5MF3CI,50526.31 
[1233] SET_SELL_TRIGGER,q0Qp5MF3CI,GSW,124.85 
[1537] QUOTE,q0Qp5MF3CI,SYM 
[1652] BUY,q0Qp5MF3CI,IDX,132.76 
[1668] SET_BUY_AMOUNT,q0Qp5MF3CI,FQP,703.42 
[1690] SET_BUY_TRIGGER,q0Qp5MF3CI,FZU,301.24 
[1774] SET_BUY_AMOUNT,q0Qp5MF3CI,FQP,407.99 
[1946] SET_BUY_TRIGGER,q0Qp5MF3CI,PHE,43.07 
[1994] DISPLAY_SUMMARY,q0Qp5MF3CI 
[2011] BUY,q0Qp5MF3CI,LJM,369.32 
[2097] COMMIT_BUY,q0Qp5MF3CI 
[2210] ADD,q0Qp5MF3CI,67617.44 
[2341] BUY,q0Qp5MF3CI,JMX,122.93 
[2565] COMMIT_BUY,q0Qp5MF3CI 
[2836] COMMIT_BUY,q0Qp5MF3CI 
[2847] SET_BUY_TRIGGER,q0Qp5MF3CI,XYV,40.03 
[2892] ADD,q0Qp5MF3CI,113335.48 
[2923] SET_SELL_AMOUNT,q0Qp5MF3CI,KES,538.88 
[3150] SET_SELL_TRIGGER,q0Qp5MF3CI,KES,122.45 
[3180] SET_BUY_AMOUNT,q0Qp5MF3CI,KDA,344.24 
[3300] SET_BUY_TRIGGER,q0Qp5MF3CI,PXY,205.30 
[3410] DISPLAY_SUMMARY,q0Qp5MF3CI 
[3649] SELL,q0Qp5MF3CI,QJZ,732.36 
[3836] COMMIT_SELL,q0Qp5MF3CI 
[3877] DISPLAY_SUMMARY,q0Qp5MF3CI 
[3929] SET_BUY_AMOUNT,q0Qp5MF3CI,FQP,433.23 
[4022] SET_BUY_TRIGGER,q0Qp5MF3CI,KBI,121.47 
[4029] ADD,q0Qp5MF3CI,67817.88 
[4155] BUY,q0Qp5MF3CI,WYD,328.77 
[4281] COMMIT_BUY,q0Qp5MF3CI 
[4336] ADD,q0Qp5MF3CI,100210.59 
[4353] QUOTE,q0Qp5MF3CI,XNZ 
[4493] QUOTE,q0Qp5MF3CI,YDS 
[4546] SELL,q0Qp5MF3CI,KES,674.63 
[4605] CANCEL_SET_BUY,q0Qp5MF3CI,WRJ 
[4640] ADD,q0Qp5MF3CI,72130.41 
