[50] ADD,qE6dGnwk51,50924.98 
[156] QUOTE,qE6dGnwk51,WCY 
[248] ADD,qE6dGnwk51,62783.30 
[370] BUY,qE6dGnwk51,POI,525.66 
[481] COMMIT_BUY,qE6dGnwk51 
[650] DISPLAY_SUMMARY,qE6dGnwk51 
[769] SET_BUY_AMOUNT,qE6dGnwk51,QJZ,321.23 
[936] SET_BUY_TRIGGER,qE6dGnwk51,NBX,287.66 
[1035] SET_SELL_TRIGGER,qE6dGnwk51,RRZ,50.75 
[1038] DISPLAY_SUMMARY,qE6dGnwk51 
[1049] CANCEL_SET_SELL,qE6dGnwk51,UMN 
[1198] SET_BUY_AMOUNT,qE6dGnwk51,QJZ,357.89 
[1284] SET_BUY_TRIGGER,qE6dGnwk51,MHR,1.21 
[1312] DISPLAY_SUMMARY,qE6dGnwk51 
[1420] BUY,qE6dGnwk51,HTD,407.24 
[1628] CANCEL_SET_BUY,qE6dGnwk51,JGY 
[1680] SET_BUY_AMOUNT,qE6dGnwk51,QJZ,370.01 
[1784] SET_BUY_TRIGGER,qE6dGnwk51,WYA,43.43 
[1800] BUY,qE6dGnwk51,FQP,240.11 
[2058] COMMIT_BUY,qE6dGnwk51 
[2092] ADD,qE6dGnwk51,59380.64 
[2105] QUOTE,qE6dGnwk51,VNN 
[2118] QUOTE,qE6dGnwk51,WYA 
[2192] BUY,qE6dGnwk51,XUY,285.56 
[2311] COMMIT_BUY,qE6dGnwk51 
[2322] ADD,qE6dGnwk51,72585.28 
[2352] BUY,qE6dGnwk51,EOS,553.89 
[2637] COMMIT_SELL,qE6dGnwk51 
[2876] SET_SELL_TRIGGER,qE6dGnwk51,CDF,123.71 
[2988] SELL,qE6dGnwk51,QJZ,114.60 
[3095] COMMIT_SELL,qE6dGnwk51 
[3272] BUY,qE6dGnwk51,XOM,69.67 
[3315] COMMIT_BUY,qE6dGnwk51 
[3486] QUOTE,qE6dGnwk51,JEO 
[3622] BUY,qE6dGnwk51,OZO,430.78 
[3681] COMMIT_BUY,qE6dGnwk51 
[3816] BUY,qE6dGnwk51,MIU,65.68 
[3833] COMMIT_BUY,qE6dGnwk51 
[3838] DISPLAY_SUMMARY,qE6dGnwk51 
[3859] SET_BUY_TRIGGER,qE6dGnwk51,KGA,66.13 
[3950] QUOTE,qE6dGnwk51,NLP 
[3989] COMMIT_BUY,qE6dGnwk51 
[4006] COMMIT_BUY,qE6dGnwk51 
[4038] CANCEL_BUY,qE6dGnwk51 
[4075] BUY,qE6dGnwk51,RGM,543.36 
[4162] SELL,qE6dGnwk51,FQP,17.93 
[4247] COMMIT_SELL,qE6dGnwk51 
[4329] DISPLAY_SUMMARY,qE6dGnwk51 
[4456] SET_BUY_AMOUNT,qE6dGnwk51,KES,548.34 
[4541] SET_BUY_TRIGGER,qE6dGnwk51,WHR,120.15 
[4684] ADD,qE6dGnwk51,85512.51 
[4721] COMMIT_BUY,qE6dGnwk51 
[4736] ADD,qE6dGnwk51,74894.28 
[5021] COMMIT_BUY,qE6dGnwk51 
[5031] ADD,qE6dGnwk51,57949.02 
[5306] BUY,qE6dGnwk51,KAF,367.50 
[5327] CANCEL_SET_BUY,qE6dGnwk51,HTD 
[5502] SET_SELL_TRIGGER,qE6dGnwk51,TZJ,66.15 
[6005] SET_SELL_TRIGGER,qE6dGnwk51,XLI,192.24 
[6016] DISPLAY_SUMMARY,qE6dGnwk51 
[6132] DISPLAY_SUMMARY,qE6dGnwk51 
[6157] SET_SELL_AMOUNT,qE6dGnwk51,KDA,157.42 
[6208] SET_SELL_TRIGGER,qE6dGnwk51,KDA,26.23 
[6354] COMMIT_BUY,qE6dGnwk51 
[6370] BUY,qE6dGnwk51,KJH,709.36 
[6443] COMMIT_BUY,qE6dGnwk51 
[6527] ADD,qE6dGnwk51,62214.75 
[6841] BUY,qE6dGnwk51,CXB,356.50 
[6985] COMMIT_BUY,qE6dGnwk51 
[7070] SELL,qE6dGnwk51,JCQ,609.60 
[7334] COMMIT_SELL,qE6dGnwk51 
[7429] SET_SELL_AMOUNT,qE6dGnwk51,GYF,731.72 
[7464] SET_SELL_TRIGGER,qE6dGnwk51,GYF,17.67 
[7467] ADD,qE6dGnwk51,67623.53 
[7561] QUOTE,qE6dGnwk51,MLI 
[7583] ADD,qE6dGnwk51,88990.69 
[7590] QUOTE,qE6dGnwk51,OYX 
[7633] BUY,qE6dGnwk51,XER,695.38 
[7722] BUY,qE6dGnwk51,PLA,592.17 
[7756] COMMIT_BUY,qE6dGnwk51 
[7764] DISPLAY_SUMMARY,qE6dGnwk51 
[7829] ADD,qE6dGnwk51,90479.85 
[7937] SET_BUY_AMOUNT,qE6dGnwk51,JRJ,120.93 
[8082] SET_BUY_TRIGGER,qE6dGnwk51,YTO,32.12 
[8094] SET_SELL_TRIGGER,qE6dGnwk51,UMN,21.33 
[8521] CANCEL_SELL,qE6dGnwk51 
[8606] SET_SELL_TRIGGER,qE6dGnwk51,ECI,23.26 
[8665] DISPLAY_SUMMARY,qE6dGnwk51 
[8743] ADD,qE6dGnwk51,102300.02 
[8775] QUOTE,qE6dGnwk51,QSS 
[8803] SET_BUY_TRIGGER,qE6dGnwk51,PUN,177.79 
[8948] QUOTE,qE6dGnwk51,VBO 
[8995] QUOTE,qE6dGnwk51,GYF 
[9845] BUY,qE6dGnwk51,YVS,337.55 
[9950] COMMIT_BUY,qE6dGnwk51 
[9993] DISPLAY_SUMMARY,qE6dGnwk51 
[10041] SET_SELL_TRIGGER,qE6dGnwk51,SOT,119.96 
[10195] BUY,qE6dGnwk51,LLD,511.07 
[10201] COMMIT_SELL,qE6dGnwk51 
[10633] SELL,qE6dGnwk51,FQP,224.80 
[10689] CANCEL_SELL,qE6dGnwk51 
[10736] BUY,qE6dGnwk51,JYV,383.20 
[10738] COMMIT_BUY,qE6dGnwk51 
[10752] ADD,qE6dGnwk51,78273.21 
