[51] ADD,t56BLlGu3K,46692.99 
[146] BUY,t56BLlGu3K,WKE,373.40 
[193] COMMIT_BUY,t56BLlGu3K 
[253] SET_SELL_TRIGGER,t56BLlGu3K,ZKV,148.09 
[261] ADD,t56BLlGu3K,72565.07 
[275] ADD,t56BLlGu3K,76703.04 
[423] QUOTE,t56BLlGu3K,YUR 
[460] QUOTE,t56BLlGu3K,SSW 
[558] COMMIT_BUY,t56BLlGu3K 
[1008] CANCEL_SET_SELL,t56BLlGu3K,VMT 
[1045] SET_BUY_TRIGGER,t56BLlGu3K,VTY,33.60 
[1240] SET_SELL_TRIGGER,t56BLlGu3K,CUQ,55.81 
[1330] ADD,t56BLlGu3K,67772.77 
[1377] QUOTE,t56BLlGu3K,FYR 
[1392] BUY,t56BLlGu3K,KPE,297.79 
[1432] COMMIT_BUY,t56BLlGu3K 
[1558] DISPLAY_SUMMARY,t56BLlGu3K 
[1761] BUY,t56BLlGu3K,ZNY,295.44 
[1897] BUY,t56BLlGu3K,ZQW,556.08 
[1963] CANCEL_SELL,t56BLlGu3K 
[2027] ADD,t56BLlGu3K,82482.46 
[2115] QUOTE,t56BLlGu3K,PGV 
[2233] BUY,t56BLlGu3K,PTP,548.48 
[2298] QUOTE,t56BLlGu3K,NXF 
[2362] SET_SELL_AMOUNT,t56BLlGu3K,FQP,287.40 
[2382] SET_SELL_TRIGGER,t56BLlGu3K,FQP,255.86 
[2424] COMMIT_BUY,t56BLlGu3K 
[2522] CANCEL_SET_SELL,t56BLlGu3K,LRS 
[2692] CANCEL_SET_SELL,t56BLlGu3K,XMA 
[2733] DISPLAY_SUMMARY,t56BLlGu3K 
[2768] DISPLAY_SUMMARY,t56BLlGu3K 
[2833] BUY,t56BLlGu3K,LAM,570.05 
[2867] DISPLAY_SUMMARY,t56BLlGu3K 
[2921] DISPLAY_SUMMARY,t56BLlGu3K 
[3009] CANCEL_SET_SELL,t56BLlGu3K,JPD 
[3025] ADD,t56BLlGu3K,55240.04 
[3053] QUOTE,t56BLlGu3K,RRZ 
[3098] QUOTE,t56BLlGu3K,IQZ 
[3326] DISPLAY_SUMMARY,t56BLlGu3K 
[3462] SELL,t56BLlGu3K,QJZ,162.51 
[3558] COMMIT_SELL,t56BLlGu3K 
[3638] ADD,t56BLlGu3K,70481.86 
[3653] QUOTE,t56BLlGu3K,WYA 
[3753] ADD,t56BLlGu3K,63296.64 
[3937] QUOTE,t56BLlGu3K,PBX 
[4072] BUY,t56BLlGu3K,MOM,132.02 
[4243] COMMIT_BUY,t56BLlGu3K 
[4386] DISPLAY_SUMMARY,t56BLlGu3K 
[4400] ADD,t56BLlGu3K,77931.03 
[4486] SET_SELL_TRIGGER,t56BLlGu3K,MMF,165.72 
[4590] QUOTE,t56BLlGu3K,PPW 
[4645] BUY,t56BLlGu3K,LPW,583.37 
[4670] CANCEL_BUY,t56BLlGu3K 
[4928] QUOTE,t56BLlGu3K,KYX 
[4943] SELL,t56BLlGu3K,KDA,348.06 
[5018] QUOTE,t56BLlGu3K,MDZ 
[5125] SET_BUY_TRIGGER,t56BLlGu3K,VMT,42.33 
[5317] SET_SELL_TRIGGER,t56BLlGu3K,SXB,22.90 
[5425] ADD,t56BLlGu3K,54599.49 
[5426] CANCEL_SELL,t56BLlGu3K 
[5623] BUY,t56BLlGu3K,MIU,635.20 
[5740] COMMIT_SELL,t56BLlGu3K 
[5873] QUOTE,t56BLlGu3K,GFN 
[5914] BUY,t56BLlGu3K,KMV,509.05 
[5981] COMMIT_BUY,t56BLlGu3K 
[5994] DISPLAY_SUMMARY,t56BLlGu3K 
[6091] SELL,t56BLlGu3K,KDA,458.50 
[6299] COMMIT_SELL,t56BLlGu3K 
[6332] ADD,t56BLlGu3K,43627.39 
[6614] QUOTE,t56BLlGu3K,ZRH 
[6632] BUY,t56BLlGu3K,SFO,45.78 
[6714] CANCEL_BUY,t56BLlGu3K 
[6802] BUY,t56BLlGu3K,LPR,674.22 
[6851] SELL,t56BLlGu3K,KDA,683.40 
[6963] COMMIT_SELL,t56BLlGu3K 
