[188] ADD,uWX4TGhR6O,77184.30 
[445] BUY,uWX4TGhR6O,QBD,27.90 
[497] COMMIT_BUY,uWX4TGhR6O 
[547] SET_SELL_AMOUNT,uWX4TGhR6O,QJZ,46.61 
[564] SET_SELL_TRIGGER,uWX4TGhR6O,QJZ,22.86 
[582] DISPLAY_SUMMARY,uWX4TGhR6O 
[654] SET_SELL_TRIGGER,uWX4TGhR6O,OIV,34.72 
[765] QUOTE,uWX4TGhR6O,HGG 
[795] QUOTE,uWX4TGhR6O,WPG 
[1020] SET_BUY_TRIGGER,uWX4TGhR6O,LZV,91.21 
[1101] ADD,uWX4TGhR6O,60369.21 
[1209] QUOTE,uWX4TGhR6O,APY 
[1217] QUOTE,uWX4TGhR6O,XXP 
[1325] BUY,uWX4TGhR6O,WGV,120.40 
[1394] COMMIT_BUY,uWX4TGhR6O 
[1443] SET_BUY_AMOUNT,uWX4TGhR6O,QJZ,15.51 
[1579] SET_BUY_TRIGGER,uWX4TGhR6O,JRJ,2.37 
[1747] SELL,uWX4TGhR6O,FQP,382.62 
[1914] COMMIT_SELL,uWX4TGhR6O 
[2189] SELL,uWX4TGhR6O,QJZ,42.81 
[2263] COMMIT_BUY,uWX4TGhR6O 
[2356] SELL,uWX4TGhR6O,QJZ,445.16 
[2375] SET_SELL_AMOUNT,uWX4TGhR6O,FQP,42.34 
[2386] SET_SELL_TRIGGER,uWX4TGhR6O,FQP,25.30 
[2397] CANCEL_SET_BUY,uWX4TGhR6O,MQF 
[2438] CANCEL_SET_BUY,uWX4TGhR6O,ZDB 
[2456] SET_SELL_TRIGGER,uWX4TGhR6O,ECI,118.13 
[2560] BUY,uWX4TGhR6O,KVK,202.48 
[2603] COMMIT_BUY,uWX4TGhR6O 
[2737] COMMIT_BUY,uWX4TGhR6O 
[2760] DISPLAY_SUMMARY,uWX4TGhR6O 
[2809] SET_BUY_AMOUNT,uWX4TGhR6O,FQP,272.59 
[2873] SET_BUY_TRIGGER,uWX4TGhR6O,PPY,204.18 
[3008] ADD,uWX4TGhR6O,84465.31 
[3192] QUOTE,uWX4TGhR6O,XTH 
[3394] SET_BUY_AMOUNT,uWX4TGhR6O,FQP,444.03 
[3419] SET_BUY_TRIGGER,uWX4TGhR6O,SEI,198.68 
[3422] ADD,uWX4TGhR6O,97798.10 
[3518] QUOTE,uWX4TGhR6O,GSW 
[3644] DISPLAY_SUMMARY,uWX4TGhR6O 
[3669] ADD,uWX4TGhR6O,52741.25 
[3951] BUY,uWX4TGhR6O,WOJ,525.13 
[4279] COMMIT_BUY,uWX4TGhR6O 
[4324] SET_SELL_TRIGGER,uWX4TGhR6O,VTY,67.86 
[4360] ADD,uWX4TGhR6O,77935.12 
[4455] QUOTE,uWX4TGhR6O,FFZ 
[4596] DISPLAY_SUMMARY,uWX4TGhR6O 
[4646] CANCEL_SET_BUY,uWX4TGhR6O,GWF 
[4903] DISPLAY_SUMMARY,uWX4TGhR6O 
[5041] DISPLAY_SUMMARY,uWX4TGhR6O 
[5105] SET_BUY_TRIGGER,uWX4TGhR6O,ATE,153.17 
[5296] DISPLAY_SUMMARY,uWX4TGhR6O 
[5386] SET_SELL_AMOUNT,uWX4TGhR6O,KES,299.90 
[5414] SET_SELL_TRIGGER,uWX4TGhR6O,KES,38.04 
[5421] ADD,uWX4TGhR6O,86815.74 
[5447] COMMIT_SELL,uWX4TGhR6O 
[5463] SET_SELL_AMOUNT,uWX4TGhR6O,QJZ,286.10 
[5474] CANCEL_SET_SELL,uWX4TGhR6O,QJZ 
[5641] ADD,uWX4TGhR6O,51868.92 
[5674] BUY,uWX4TGhR6O,LPB,690.84 
