[66] ADD,ugupCCzmJf,71168.47 
[88] BUY,ugupCCzmJf,YDD,474.71 
[92] COMMIT_BUY,ugupCCzmJf 
[153] SET_SELL_TRIGGER,ugupCCzmJf,SYE,79.22 
[472] ADD,ugupCCzmJf,74927.40 
[577] BUY,ugupCCzmJf,YDS,320.00 
[647] COMMIT_BUY,ugupCCzmJf 
[697] SET_BUY_TRIGGER,ugupCCzmJf,ZWZ,153.46 
[833] CANCEL_SET_BUY,ugupCCzmJf,KAF 
[1068] BUY,ugupCCzmJf,PMG,437.90 
[1080] COMMIT_BUY,ugupCCzmJf 
[1246] CANCEL_SELL,ugupCCzmJf 
[1247] QUOTE,ugupCCzmJf,UUJ 
[1352] BUY,ugupCCzmJf,QTH,569.32 
[1480] COMMIT_BUY,ugupCCzmJf 
[1571] BUY,ugupCCzmJf,GUW,272.30 
[1617] SET_SELL_AMOUNT,ugupCCzmJf,FQP,569.37 
[1929] SET_SELL_TRIGGER,ugupCCzmJf,FQP,379.67 
[2013] QUOTE,ugupCCzmJf,XZO 
[2249] SET_BUY_AMOUNT,ugupCCzmJf,KES,696.89 
[2251] DISPLAY_SUMMARY,ugupCCzmJf 
[2276] QUOTE,ugupCCzmJf,IFC 
[2459] QUOTE,ugupCCzmJf,QNW 
[2753] BUY,ugupCCzmJf,BXH,440.52 
[3228] COMMIT_BUY,ugupCCzmJf 
[3261] SELL,ugupCCzmJf,FQP,541.06 
[3325] CANCEL_SET_BUY,ugupCCzmJf,EDW 
[3468] DISPLAY_SUMMARY,ugupCCzmJf 
[3508] SET_BUY_TRIGGER,ugupCCzmJf,OYS,54.72 
[3545] ADD,ugupCCzmJf,83721.99 
[3591] QUOTE,ugupCCzmJf,DMW 
[3609] BUY,ugupCCzmJf,ZFK,238.08 
[3757] CANCEL_SET_SELL,ugupCCzmJf,JGF 
[3773] QUOTE,ugupCCzmJf,VEN 
[3831] BUY,ugupCCzmJf,TVI,96.48 
[3846] CANCEL_BUY,ugupCCzmJf 
[3930] SET_BUY_TRIGGER,ugupCCzmJf,YNH,114.21 
[3958] QUOTE,ugupCCzmJf,ZZD 
[4099] QUOTE,ugupCCzmJf,UFX 
[4146] QUOTE,ugupCCzmJf,BOS 
[4192] SELL,ugupCCzmJf,KES,60.93 
[4417] CANCEL_SELL,ugupCCzmJf 
[4442] DISPLAY_SUMMARY,ugupCCzmJf 
[4458] SELL,ugupCCzmJf,KDA,258.56 
[4474] CANCEL_SELL,ugupCCzmJf 
[4875] SET_BUY_TRIGGER,ugupCCzmJf,DJD,176.65 
[5093] SET_BUY_TRIGGER,ugupCCzmJf,CBV,195.95 
[5149] ADD,ugupCCzmJf,55893.48 
[5250] QUOTE,ugupCCzmJf,SYU 
[5354] ADD,ugupCCzmJf,82152.71 
[5533] DISPLAY_SUMMARY,ugupCCzmJf 
[5745] BUY,ugupCCzmJf,GTB,50.60 
[5834] BUY,ugupCCzmJf,MFX,415.36 
[5835] COMMIT_BUY,ugupCCzmJf 
[5839] SELL,ugupCCzmJf,OEY,299.80 
[5927] COMMIT_SELL,ugupCCzmJf 
[6775] QUOTE,ugupCCzmJf,TKV 
[6887] SET_SELL_AMOUNT,ugupCCzmJf,OEY,87.78 
[6917] SET_SELL_TRIGGER,ugupCCzmJf,OEY,46.32 
[6979] DISPLAY_SUMMARY,ugupCCzmJf 
[7176] DISPLAY_SUMMARY,ugupCCzmJf 
[7398] SELL,ugupCCzmJf,KES,50.47 
[7524] COMMIT_SELL,ugupCCzmJf 
[7543] SELL,ugupCCzmJf,KES,272.69 
[7809] QUOTE,ugupCCzmJf,BSG 
[7870] BUY,ugupCCzmJf,PFK,717.77 
[7952] COMMIT_BUY,ugupCCzmJf 
[8175] ADD,ugupCCzmJf,74897.23 
[8249] BUY,ugupCCzmJf,GAL,224.15 
[8308] COMMIT_BUY,ugupCCzmJf 
[8412] ADD,ugupCCzmJf,61962.74 
[8420] SET_BUY_TRIGGER,ugupCCzmJf,OYX,122.18 
[8531] SET_BUY_AMOUNT,ugupCCzmJf,JVT,190.96 
[8667] SET_BUY_TRIGGER,ugupCCzmJf,RKY,96.69 
[8689] DISPLAY_SUMMARY,ugupCCzmJf 
[8762] SET_SELL_AMOUNT,ugupCCzmJf,FQP,81.53 
[8824] SET_SELL_TRIGGER,ugupCCzmJf,FQP,45.53 
[8827] ADD,ugupCCzmJf,91549.34 
[8907] CANCEL_SELL,ugupCCzmJf 
[8943] QUOTE,ugupCCzmJf,PUN 
[9040] BUY,ugupCCzmJf,VSE,615.35 
[9073] COMMIT_BUY,ugupCCzmJf 
[9087] SET_SELL_AMOUNT,ugupCCzmJf,KDA,588.12 
[9105] QUOTE,ugupCCzmJf,OLH 
[9598] BUY,ugupCCzmJf,FSD,291.94 
[9654] COMMIT_BUY,ugupCCzmJf 
[9792] BUY,ugupCCzmJf,VMD,33.26 
[9829] COMMIT_SELL,ugupCCzmJf 
[9870] BUY,ugupCCzmJf,XOL,746.33 
[9909] SET_BUY_AMOUNT,ugupCCzmJf,KDA,84.64 
[10060] SET_BUY_TRIGGER,ugupCCzmJf,EDW,39.69 
[10245] SET_BUY_TRIGGER,ugupCCzmJf,SFR,83.70 
[10614] SELL,ugupCCzmJf,QJZ,679.25 
[10775] COMMIT_SELL,ugupCCzmJf 
[10918] DISPLAY_SUMMARY,ugupCCzmJf 
[11143] SET_SELL_TRIGGER,ugupCCzmJf,KDA,550.35 
[11225] SET_SELL_TRIGGER,ugupCCzmJf,NJT,34.55 
[11385] DISPLAY_SUMMARY,ugupCCzmJf 
[11599] SET_SELL_TRIGGER,ugupCCzmJf,OBR,23.69 
[11706] ADD,ugupCCzmJf,55486.10 
[11850] COMMIT_BUY,ugupCCzmJf 
[12110] SET_BUY_TRIGGER,ugupCCzmJf,JQG,191.79 
[12168] QUOTE,ugupCCzmJf,OEN 
[12198] ADD,ugupCCzmJf,60917.10 
[12228] BUY,ugupCCzmJf,WZM,29.51 
[12249] CANCEL_BUY,ugupCCzmJf 
[12310] SELL,ugupCCzmJf,FQP,489.22 
[12425] COMMIT_SELL,ugupCCzmJf 
[12556] SET_BUY_AMOUNT,ugupCCzmJf,JCQ,470.50 
[12629] SET_BUY_TRIGGER,ugupCCzmJf,DVA,72.86 
[12632] SET_BUY_TRIGGER,ugupCCzmJf,BHJ,64.84 
[12736] ADD,ugupCCzmJf,53244.40 
[12814] BUY,ugupCCzmJf,OHG,215.90 
[12919] COMMIT_BUY,ugupCCzmJf 
[13015] SET_BUY_TRIGGER,ugupCCzmJf,TSU,160.94 
[13058] SELL,ugupCCzmJf,OEY,267.52 
[13159] SET_SELL_TRIGGER,ugupCCzmJf,ROW,72.50 
[13367] DISPLAY_SUMMARY,ugupCCzmJf 
[13387] SELL,ugupCCzmJf,JVT,737.47 
[13391] COMMIT_SELL,ugupCCzmJf 
[13423] ADD,ugupCCzmJf,58994.26 
[13488] BUY,ugupCCzmJf,EBS,118.88 
[13771] COMMIT_BUY,ugupCCzmJf 
[13829] ADD,ugupCCzmJf,71373.42 
[13979] QUOTE,ugupCCzmJf,GLJ 
[14119] BUY,ugupCCzmJf,GAN,439.17 
[14157] SET_SELL_AMOUNT,ugupCCzmJf,JCQ,558.47 
[14178] BUY,ugupCCzmJf,FMJ,80.67 
[14380] COMMIT_BUY,ugupCCzmJf 
[14451] ADD,ugupCCzmJf,58317.51 
[14577] BUY,ugupCCzmJf,DWX,448.16 
[14656] CANCEL_SELL,ugupCCzmJf 
[14719] SET_BUY_AMOUNT,ugupCCzmJf,QJZ,672.82 
[14768] SET_BUY_TRIGGER,ugupCCzmJf,BUL,141.08 
[14769] DISPLAY_SUMMARY,ugupCCzmJf 
[14959] SET_SELL_TRIGGER,ugupCCzmJf,JCQ,511.27 
[15203] ADD,ugupCCzmJf,43383.93 
[15258] QUOTE,ugupCCzmJf,KAF 
[15426] SET_SELL_AMOUNT,ugupCCzmJf,QAX,209.81 
[15434] SET_SELL_TRIGGER,ugupCCzmJf,QAX,184.94 
[15617] DISPLAY_SUMMARY,ugupCCzmJf 
