[47] ADD,unNg5XYq8A,55953.24 
[103] BUY,unNg5XYq8A,CBX,184.16 
[131] SELL,unNg5XYq8A,IBT,25.13 
[182] COMMIT_SELL,unNg5XYq8A 
[404] QUOTE,unNg5XYq8A,OSA 
[413] ADD,unNg5XYq8A,66763.12 
[500] BUY,unNg5XYq8A,DHA,561.76 
[599] QUOTE,unNg5XYq8A,HMR 
[819] QUOTE,unNg5XYq8A,ROW 
[964] QUOTE,unNg5XYq8A,GMS 
[1031] QUOTE,unNg5XYq8A,RNK 
[1383] SET_BUY_TRIGGER,unNg5XYq8A,CWA,9.10 
[1438] BUY,unNg5XYq8A,YIU,560.86 
[1491] COMMIT_BUY,unNg5XYq8A 
[1507] BUY,unNg5XYq8A,UTL,114.80 
[1596] COMMIT_BUY,unNg5XYq8A 
[1756] SET_SELL_AMOUNT,unNg5XYq8A,FQP,570.83 
[1835] SET_SELL_TRIGGER,unNg5XYq8A,FQP,469.84 
[1899] ADD,unNg5XYq8A,86975.31 
[1903] QUOTE,unNg5XYq8A,EDM 
[2043] DISPLAY_SUMMARY,unNg5XYq8A 
[2050] SET_SELL_TRIGGER,unNg5XYq8A,JII,79.46 
[2154] SET_SELL_AMOUNT,unNg5XYq8A,QJZ,447.19 
[2164] SET_SELL_TRIGGER,unNg5XYq8A,QJZ,411.39 
[2214] QUOTE,unNg5XYq8A,BFB 
[2378] QUOTE,unNg5XYq8A,UTL 
[2510] SET_SELL_AMOUNT,unNg5XYq8A,FQP,427.11 
[2566] SET_SELL_TRIGGER,unNg5XYq8A,FQP,83.97 
[2604] QUOTE,unNg5XYq8A,XQC 
[2695] ADD,unNg5XYq8A,82046.91 
[2739] BUY,unNg5XYq8A,WKL,139.27 
[2827] SET_SELL_TRIGGER,unNg5XYq8A,OEM,140.28 
[2830] SET_SELL_TRIGGER,unNg5XYq8A,GWS,23.72 
[2841] SET_SELL_TRIGGER,unNg5XYq8A,RGM,191.78 
[2913] SET_SELL_TRIGGER,unNg5XYq8A,IOM,182.57 
[2937] CANCEL_SET_SELL,unNg5XYq8A,RLS 
[3357] CANCEL_SET_BUY,unNg5XYq8A,MOM 
[3492] ADD,unNg5XYq8A,63780.41 
[3664] QUOTE,unNg5XYq8A,JUE 
[3680] SET_BUY_AMOUNT,unNg5XYq8A,QJZ,566.11 
[3696] SET_BUY_TRIGGER,unNg5XYq8A,POE,540.84 
[3697] SET_SELL_TRIGGER,unNg5XYq8A,OTQ,89.93 
[3867] SET_SELL_AMOUNT,unNg5XYq8A,QJZ,608.24 
[3888] BUY,unNg5XYq8A,XXT,642.16 
[3921] COMMIT_BUY,unNg5XYq8A 
[3948] SET_SELL_TRIGGER,unNg5XYq8A,QJZ,446.55 
[4092] DISPLAY_SUMMARY,unNg5XYq8A 
[4150] SET_BUY_TRIGGER,unNg5XYq8A,TSF,110.10 
[4177] ADD,unNg5XYq8A,51088.60 
[4184] BUY,unNg5XYq8A,FTJ,491.80 
[4187] COMMIT_BUY,unNg5XYq8A 
[4199] SELL,unNg5XYq8A,KES,113.45 
[4411] COMMIT_SELL,unNg5XYq8A 
[4418] ADD,unNg5XYq8A,72209.85 
[4431] BUY,unNg5XYq8A,WCY,435.89 
[4471] COMMIT_BUY,unNg5XYq8A 
[4518] QUOTE,unNg5XYq8A,LSG 
[4550] SET_BUY_TRIGGER,unNg5XYq8A,MOS,8.12 
[4625] SET_BUY_TRIGGER,unNg5XYq8A,ISQ,95.96 
[4760] CANCEL_BUY,unNg5XYq8A 
[4772] SET_SELL_AMOUNT,unNg5XYq8A,KES,251.21 
[4782] SET_SELL_TRIGGER,unNg5XYq8A,KES,54.24 
[4828] ADD,unNg5XYq8A,67523.58 
[4891] BUY,unNg5XYq8A,MDZ,412.38 
[4983] BUY,unNg5XYq8A,MWV,159.81 
[5071] COMMIT_BUY,unNg5XYq8A 
[5084] SET_BUY_AMOUNT,unNg5XYq8A,FQP,365.26 
[5195] SET_BUY_TRIGGER,unNg5XYq8A,JUN,289.87 
[5254] ADD,unNg5XYq8A,75869.38 
[5261] QUOTE,unNg5XYq8A,ARP 
[5262] BUY,unNg5XYq8A,PJW,538.54 
[5320] SET_BUY_AMOUNT,unNg5XYq8A,FQP,204.58 
[5538] SET_BUY_TRIGGER,unNg5XYq8A,VEN,176.83 
[5540] SET_BUY_AMOUNT,unNg5XYq8A,FQP,697.88 
[5589] QUOTE,unNg5XYq8A,DJD 
[5738] ADD,unNg5XYq8A,46764.16 
[5823] QUOTE,unNg5XYq8A,OZW 
[5836] DISPLAY_SUMMARY,unNg5XYq8A 
[5979] SELL,unNg5XYq8A,OEY,718.05 
[6034] COMMIT_SELL,unNg5XYq8A 
[6455] QUOTE,unNg5XYq8A,TGY 
[6723] BUY,unNg5XYq8A,FRB,254.93 
[6731] COMMIT_BUY,unNg5XYq8A 
[6735] SELL,unNg5XYq8A,GYF,749.96 
[6752] SET_BUY_TRIGGER,unNg5XYq8A,NIR,500.28 
[6837] SET_SELL_TRIGGER,unNg5XYq8A,JGF,154.06 
[6853] CANCEL_SELL,unNg5XYq8A 
[6867] BUY,unNg5XYq8A,OEN,436.16 
[6949] CANCEL_BUY,unNg5XYq8A 
[6976] ADD,unNg5XYq8A,67461.41 
[7027] QUOTE,unNg5XYq8A,RVU 
[7158] QUOTE,unNg5XYq8A,KPP 
[7364] BUY,unNg5XYq8A,APU,95.97 
[7391] COMMIT_BUY,unNg5XYq8A 
[7528] SET_BUY_TRIGGER,unNg5XYq8A,KIP,52.59 
[7689] QUOTE,unNg5XYq8A,IIX 
[7717] BUY,unNg5XYq8A,YBP,588.89 
[7921] CANCEL_SET_SELL,unNg5XYq8A,YWK 
[7948] ADD,unNg5XYq8A,61836.42 
[8000] CANCEL_SET_BUY,unNg5XYq8A,WKL 
[8062] DISPLAY_SUMMARY,unNg5XYq8A 
[8103] SET_SELL_TRIGGER,unNg5XYq8A,OEX,67.03 
[8200] SET_BUY_AMOUNT,unNg5XYq8A,JCQ,643.46 
[8232] SET_BUY_TRIGGER,unNg5XYq8A,PXS,609.27 
[8403] SET_SELL_AMOUNT,unNg5XYq8A,OEY,398.58 
[8410] CANCEL_SET_SELL,unNg5XYq8A,OEY 
[8443] ADD,unNg5XYq8A,58748.90 
[8515] CANCEL_SET_SELL,unNg5XYq8A,IPJ 
[8621] DISPLAY_SUMMARY,unNg5XYq8A 
[8622] SET_BUY_AMOUNT,unNg5XYq8A,GYF,381.85 
[8752] SET_BUY_TRIGGER,unNg5XYq8A,GAL,226.30 
[8873] SET_SELL_TRIGGER,unNg5XYq8A,WGV,0.20 
[8908] ADD,unNg5XYq8A,70038.04 
[8954] QUOTE,unNg5XYq8A,JRJ 
[9058] ADD,unNg5XYq8A,93992.46 
[9084] BUY,unNg5XYq8A,WJP,308.26 
[9147] SET_SELL_AMOUNT,unNg5XYq8A,KDA,464.18 
[9164] SET_SELL_TRIGGER,unNg5XYq8A,KDA,144.66 
[9440] SELL,unNg5XYq8A,GYF,482.15 
[9491] COMMIT_SELL,unNg5XYq8A 
[9506] DISPLAY_SUMMARY,unNg5XYq8A 
[9531] SET_BUY_AMOUNT,unNg5XYq8A,FQP,643.20 
[9567] SET_BUY_TRIGGER,unNg5XYq8A,GDF,343.10 
[9621] DISPLAY_SUMMARY,unNg5XYq8A 
[9772] ADD,unNg5XYq8A,60402.32 
