[93] ADD,uzApK6tlMI,71463.80 
[360] BUY,uzApK6tlMI,VUS,382.56 
[371] SET_BUY_AMOUNT,uzApK6tlMI,MLT,411.33 
[388] SET_BUY_TRIGGER,uzApK6tlMI,MLT,194.28 
[390] BUY,uzApK6tlMI,NNW,224.73 
[507] COMMIT_BUY,uzApK6tlMI 
[717] SELL,uzApK6tlMI,QJZ,571.80 
[718] CANCEL_SELL,uzApK6tlMI 
[767] SET_SELL_AMOUNT,uzApK6tlMI,QJZ,322.26 
[808] SET_SELL_TRIGGER,uzApK6tlMI,QJZ,17.30 
[896] BUY,uzApK6tlMI,JIO,525.91 
[934] CANCEL_SET_BUY,uzApK6tlMI,ZPD 
[950] SET_SELL_AMOUNT,uzApK6tlMI,QJZ,639.68 
[1016] CANCEL_SET_SELL,uzApK6tlMI,QJZ 
[1309] DISPLAY_SUMMARY,uzApK6tlMI 
[1426] SET_SELL_TRIGGER,uzApK6tlMI,XDN,72.81 
[1528] SELL,uzApK6tlMI,QJZ,60.43 
[1574] CANCEL_SET_BUY,uzApK6tlMI,IHW 
[1600] ADD,uzApK6tlMI,65366.71 
[1697] QUOTE,uzApK6tlMI,CBK 
[1802] CANCEL_SET_SELL,uzApK6tlMI,TKM 
[1858] SET_SELL_AMOUNT,uzApK6tlMI,QJZ,479.09 
[1871] DISPLAY_SUMMARY,uzApK6tlMI 
[1880] BUY,uzApK6tlMI,MZT,561.84 
[2042] QUOTE,uzApK6tlMI,CXC 
[2111] ADD,uzApK6tlMI,65953.52 
[2144] BUY,uzApK6tlMI,FFI,591.97 
[2206] COMMIT_BUY,uzApK6tlMI 
[2347] ADD,uzApK6tlMI,73838.63 
[2591] QUOTE,uzApK6tlMI,ZEU 
[2671] QUOTE,uzApK6tlMI,OBO 
[2800] QUOTE,uzApK6tlMI,GIK 
[2803] SET_BUY_AMOUNT,uzApK6tlMI,FQP,407.87 
[2855] SET_BUY_TRIGGER,uzApK6tlMI,XFW,311.41 
[3223] SELL,uzApK6tlMI,FQP,429.60 
[3224] COMMIT_BUY,uzApK6tlMI 
[3341] SELL,uzApK6tlMI,QJZ,596.26 
[3456] COMMIT_SELL,uzApK6tlMI 
[3557] QUOTE,uzApK6tlMI,LVT 
[3788] BUY,uzApK6tlMI,PCK,617.61 
[4124] COMMIT_BUY,uzApK6tlMI 
[4205] SET_SELL_TRIGGER,uzApK6tlMI,QJZ,433.25 
[4322] DISPLAY_SUMMARY,uzApK6tlMI 
[4362] DISPLAY_SUMMARY,uzApK6tlMI 
[4381] ADD,uzApK6tlMI,69549.20 
[4390] BUY,uzApK6tlMI,ZAV,525.05 
[4464] COMMIT_BUY,uzApK6tlMI 
[4520] SELL,uzApK6tlMI,KDA,688.12 
[4695] CANCEL_SELL,uzApK6tlMI 
[4899] ADD,uzApK6tlMI,72634.06 
[4922] COMMIT_BUY,uzApK6tlMI 
[5085] SELL,uzApK6tlMI,KDA,740.89 
[5265] COMMIT_SELL,uzApK6tlMI 
[5333] SET_SELL_TRIGGER,uzApK6tlMI,JUE,177.31 
