[265] ADD,v2iT5RAbiA,57923.86 
[359] BUY,v2iT5RAbiA,GED,88.16 
[406] COMMIT_BUY,v2iT5RAbiA 
[606] QUOTE,v2iT5RAbiA,FNY 
[747] DISPLAY_SUMMARY,v2iT5RAbiA 
[813] SET_SELL_AMOUNT,v2iT5RAbiA,QJZ,34.19 
[863] SET_SELL_TRIGGER,v2iT5RAbiA,QJZ,19.11 
[885] SET_BUY_TRIGGER,v2iT5RAbiA,ZWC,56.78 
[988] BUY,v2iT5RAbiA,NTB,597.01 
[1188] CANCEL_BUY,v2iT5RAbiA 
[1255] ADD,v2iT5RAbiA,71861.15 
[1385] SET_SELL_AMOUNT,v2iT5RAbiA,QJZ,67.73 
[1723] CANCEL_SET_SELL,v2iT5RAbiA,QJZ 
[1864] SET_SELL_AMOUNT,v2iT5RAbiA,QJZ,723.09 
[1970] SET_SELL_TRIGGER,v2iT5RAbiA,QJZ,710.11 
[2023] SET_BUY_TRIGGER,v2iT5RAbiA,FXT,90.98 
[2147] QUOTE,v2iT5RAbiA,CDF 
[2202] BUY,v2iT5RAbiA,AUT,564.86 
[2431] COMMIT_BUY,v2iT5RAbiA 
[2484] ADD,v2iT5RAbiA,59845.98 
[2516] QUOTE,v2iT5RAbiA,SBT 
[2681] COMMIT_SELL,v2iT5RAbiA 
[2727] SET_BUY_AMOUNT,v2iT5RAbiA,QJZ,417.73 
[2801] SET_BUY_TRIGGER,v2iT5RAbiA,CAX,391.34 
[2946] SET_BUY_TRIGGER,v2iT5RAbiA,KIP,143.20 
[3006] BUY,v2iT5RAbiA,HMR,205.57 
[3141] COMMIT_BUY,v2iT5RAbiA 
[3186] DISPLAY_SUMMARY,v2iT5RAbiA 
[3190] SET_SELL_TRIGGER,v2iT5RAbiA,OKK,29.07 
[3388] ADD,v2iT5RAbiA,65614.65 
[3432] QUOTE,v2iT5RAbiA,UTD 
[3437] BUY,v2iT5RAbiA,VCN,182.28 
[3516] CANCEL_BUY,v2iT5RAbiA 
[3613] ADD,v2iT5RAbiA,51148.68 
[3758] QUOTE,v2iT5RAbiA,NNW 
[3775] SET_BUY_AMOUNT,v2iT5RAbiA,KDA,156.11 
[3848] SET_BUY_TRIGGER,v2iT5RAbiA,DBC,142.68 
[4275] SET_SELL_TRIGGER,v2iT5RAbiA,NSN,164.94 
[4367] QUOTE,v2iT5RAbiA,KES 
[5058] QUOTE,v2iT5RAbiA,VNN 
[5118] BUY,v2iT5RAbiA,HGG,196.76 
[5231] COMMIT_BUY,v2iT5RAbiA 
[5235] SET_SELL_AMOUNT,v2iT5RAbiA,KDA,224.77 
[5324] DISPLAY_SUMMARY,v2iT5RAbiA 
[5357] DISPLAY_SUMMARY,v2iT5RAbiA 
[5411] DISPLAY_SUMMARY,v2iT5RAbiA 
[5431] SET_BUY_AMOUNT,v2iT5RAbiA,KDA,230.14 
[5560] SET_BUY_TRIGGER,v2iT5RAbiA,NAR,19.98 
[5761] QUOTE,v2iT5RAbiA,DXL 
[5817] SET_SELL_AMOUNT,v2iT5RAbiA,KDA,466.85 
[5852] SET_SELL_TRIGGER,v2iT5RAbiA,KDA,9.46 
[5898] SELL,v2iT5RAbiA,KES,393.34 
[5962] COMMIT_SELL,v2iT5RAbiA 
[6230] SET_BUY_TRIGGER,v2iT5RAbiA,MRK,187.05 
[6246] DISPLAY_SUMMARY,v2iT5RAbiA 
[6625] DISPLAY_SUMMARY,v2iT5RAbiA 
[6663] SET_SELL_AMOUNT,v2iT5RAbiA,FQP,242.41 
[6718] SET_SELL_TRIGGER,v2iT5RAbiA,FQP,61.89 
[6825] BUY,v2iT5RAbiA,PJW,634.83 
[6914] CANCEL_BUY,v2iT5RAbiA 
[6999] DISPLAY_SUMMARY,v2iT5RAbiA 
[7018] ADD,v2iT5RAbiA,69501.83 
[7138] CANCEL_SELL,v2iT5RAbiA 
[7139] ADD,v2iT5RAbiA,60434.80 
[7151] QUOTE,v2iT5RAbiA,UTV 
[7262] COMMIT_BUY,v2iT5RAbiA 
[7287] CANCEL_SELL,v2iT5RAbiA 
[7388] CANCEL_BUY,v2iT5RAbiA 
[7699] SET_SELL_AMOUNT,v2iT5RAbiA,FQP,343.40 
[7803] SET_SELL_TRIGGER,v2iT5RAbiA,FQP,205.87 
[8100] SET_BUY_TRIGGER,v2iT5RAbiA,VNN,37.01 
[8152] SET_SELL_AMOUNT,v2iT5RAbiA,JVT,447.44 
[8197] QUOTE,v2iT5RAbiA,VYQ 
[8411] ADD,v2iT5RAbiA,61597.95 
[8478] SET_SELL_TRIGGER,v2iT5RAbiA,JVT,230.16 
[8663] SET_SELL_TRIGGER,v2iT5RAbiA,DWC,67.97 
[9091] ADD,v2iT5RAbiA,74039.85 
[9112] BUY,v2iT5RAbiA,FCM,434.79 
[9133] SET_BUY_AMOUNT,v2iT5RAbiA,JVT,393.88 
[9156] SET_BUY_TRIGGER,v2iT5RAbiA,LKK,306.07 
[9268] DISPLAY_SUMMARY,v2iT5RAbiA 
[9278] BUY,v2iT5RAbiA,CBY,585.02 
[9336] COMMIT_BUY,v2iT5RAbiA 
[9357] SET_SELL_TRIGGER,v2iT5RAbiA,XNZ,65.70 
[9534] SET_SELL_AMOUNT,v2iT5RAbiA,KDA,300.45 
[9576] SET_SELL_TRIGGER,v2iT5RAbiA,KDA,270.58 
[9874] DISPLAY_SUMMARY,v2iT5RAbiA 
[10130] SET_BUY_TRIGGER,v2iT5RAbiA,JII,148.69 
[10137] SELL,v2iT5RAbiA,JVT,256.16 
[10146] CANCEL_SET_SELL,v2iT5RAbiA,CJV 
[10390] SELL,v2iT5RAbiA,KDA,626.51 
[10402] COMMIT_SELL,v2iT5RAbiA 
[10441] ADD,v2iT5RAbiA,36993.98 
[10552] QUOTE,v2iT5RAbiA,OQZ 
[10751] BUY,v2iT5RAbiA,DIX,642.60 
[10781] COMMIT_BUY,v2iT5RAbiA 
[10910] SET_BUY_AMOUNT,v2iT5RAbiA,KDA,261.68 
[11101] SET_BUY_TRIGGER,v2iT5RAbiA,DWX,76.66 
[11158] ADD,v2iT5RAbiA,54245.98 
[11196] BUY,v2iT5RAbiA,EBS,112.45 
[11373] COMMIT_BUY,v2iT5RAbiA 
[11561] BUY,v2iT5RAbiA,PFN,121.93 
[11716] COMMIT_BUY,v2iT5RAbiA 
[11773] DISPLAY_SUMMARY,v2iT5RAbiA 
[11792] DISPLAY_SUMMARY,v2iT5RAbiA 
[12035] SELL,v2iT5RAbiA,EBS,237.96 
[12323] COMMIT_SELL,v2iT5RAbiA 
[12368] QUOTE,v2iT5RAbiA,SUS 
[12373] QUOTE,v2iT5RAbiA,RGM 
[12538] CANCEL_SET_SELL,v2iT5RAbiA,CXC 
[12549] SELL,v2iT5RAbiA,GYF,231.09 
[12658] CANCEL_SELL,v2iT5RAbiA 
[13050] ADD,v2iT5RAbiA,93765.63 
[13104] QUOTE,v2iT5RAbiA,OBO 
[13165] CANCEL_SET_BUY,v2iT5RAbiA,KEV 
[13287] ADD,v2iT5RAbiA,73229.36 
[13310] COMMIT_SELL,v2iT5RAbiA 
[13655] CANCEL_SET_BUY,v2iT5RAbiA,WHR 
[13723] BUY,v2iT5RAbiA,JJW,43.57 
[13750] COMMIT_BUY,v2iT5RAbiA 
[13779] ADD,v2iT5RAbiA,78646.60 
[13814] QUOTE,v2iT5RAbiA,GWS 
[13862] BUY,v2iT5RAbiA,OIY,514.05 
[14032] SET_SELL_AMOUNT,v2iT5RAbiA,OEY,265.74 
[14080] SET_SELL_TRIGGER,v2iT5RAbiA,OEY,228.34 
[14154] ADD,v2iT5RAbiA,52207.07 
[14281] SET_BUY_TRIGGER,v2iT5RAbiA,WKE,155.66 
