[76] ADD,vRUafgIjuV,104692.95 
[204] CANCEL_SELL,vRUafgIjuV 
[322] DISPLAY_SUMMARY,vRUafgIjuV 
[486] BUY,vRUafgIjuV,VSE,689.68 
[666] CANCEL_BUY,vRUafgIjuV 
[756] SELL,vRUafgIjuV,BEC,171.85 
[823] CANCEL_SET_BUY,vRUafgIjuV,GED 
[1092] ADD,vRUafgIjuV,67351.63 
[1173] QUOTE,vRUafgIjuV,SZI 
[1196] BUY,vRUafgIjuV,FQU,231.44 
[1222] COMMIT_BUY,vRUafgIjuV 
[1251] SET_BUY_TRIGGER,vRUafgIjuV,MRH,105.93 
[1419] DISPLAY_SUMMARY,vRUafgIjuV 
[1584] SET_BUY_AMOUNT,vRUafgIjuV,QJZ,30.77 
[1590] SET_BUY_TRIGGER,vRUafgIjuV,ERF,23.11 
[1715] ADD,vRUafgIjuV,46018.31 
[1862] QUOTE,vRUafgIjuV,GCL 
[2135] CANCEL_BUY,vRUafgIjuV 
[2182] DISPLAY_SUMMARY,vRUafgIjuV 
[2266] BUY,vRUafgIjuV,WBL,294.20 
[2273] COMMIT_BUY,vRUafgIjuV 
[2467] BUY,vRUafgIjuV,VWU,420.06 
[2670] COMMIT_BUY,vRUafgIjuV 
[2730] COMMIT_BUY,vRUafgIjuV 
[2831] DISPLAY_SUMMARY,vRUafgIjuV 
[2866] SET_BUY_AMOUNT,vRUafgIjuV,KDA,674.34 
[2884] SET_BUY_TRIGGER,vRUafgIjuV,AJL,206.55 
[2965] DISPLAY_SUMMARY,vRUafgIjuV 
[3030] CANCEL_SET_SELL,vRUafgIjuV,WCR 
[3135] DISPLAY_SUMMARY,vRUafgIjuV 
[3146] ADD,vRUafgIjuV,85213.36 
[3451] BUY,vRUafgIjuV,RQT,98.06 
[3495] CANCEL_BUY,vRUafgIjuV 
[3620] SET_SELL_AMOUNT,vRUafgIjuV,QJZ,514.41 
[3752] SET_SELL_TRIGGER,vRUafgIjuV,QJZ,229.01 
[3814] ADD,vRUafgIjuV,58573.46 
[3828] BUY,vRUafgIjuV,WKL,523.10 
[3832] QUOTE,vRUafgIjuV,AVH 
[3935] QUOTE,vRUafgIjuV,AMI 
[4000] ADD,vRUafgIjuV,46939.26 
[4047] BUY,vRUafgIjuV,HPN,133.78 
[4095] COMMIT_BUY,vRUafgIjuV 
[4245] BUY,vRUafgIjuV,LPS,631.70 
[4313] COMMIT_SELL,vRUafgIjuV 
[4335] QUOTE,vRUafgIjuV,ATW 
[4347] QUOTE,vRUafgIjuV,LMO 
[4388] SET_BUY_TRIGGER,vRUafgIjuV,CAX,139.32 
[4405] ADD,vRUafgIjuV,56230.23 
[4513] SET_SELL_AMOUNT,vRUafgIjuV,FQP,252.55 
[4673] SELL,vRUafgIjuV,KES,221.35 
[4704] COMMIT_SELL,vRUafgIjuV 
[4755] ADD,vRUafgIjuV,79151.17 
[5192] BUY,vRUafgIjuV,MQP,403.38 
[5253] COMMIT_BUY,vRUafgIjuV 
[5268] BUY,vRUafgIjuV,LUD,244.43 
[5553] COMMIT_BUY,vRUafgIjuV 
[5759] SET_BUY_AMOUNT,vRUafgIjuV,KDA,6.52 
[5833] QUOTE,vRUafgIjuV,ATE 
[5925] DISPLAY_SUMMARY,vRUafgIjuV 
[5964] CANCEL_SET_SELL,vRUafgIjuV,FQP 
[6062] SELL,vRUafgIjuV,QJZ,335.90 
[6122] CANCEL_SET_SELL,vRUafgIjuV,AOH 
[6194] SET_SELL_TRIGGER,vRUafgIjuV,WCR,81.49 
[6237] SET_SELL_AMOUNT,vRUafgIjuV,FQP,459.35 
[6250] SET_SELL_TRIGGER,vRUafgIjuV,FQP,65.86 
[6276] SET_BUY_AMOUNT,vRUafgIjuV,FQP,264.46 
[6352] SET_BUY_TRIGGER,vRUafgIjuV,UTL,127.09 
[6445] SET_SELL_TRIGGER,vRUafgIjuV,JGG,77.63 
[6485] SET_BUY_AMOUNT,vRUafgIjuV,KDA,232.50 
[6605] DISPLAY_SUMMARY,vRUafgIjuV 
[6618] BUY,vRUafgIjuV,KNM,596.42 
[6683] COMMIT_BUY,vRUafgIjuV 
[6751] SET_BUY_AMOUNT,vRUafgIjuV,FQP,141.74 
[6768] CANCEL_SET_BUY,vRUafgIjuV,UCG 
[6815] BUY,vRUafgIjuV,TUO,536.49 
[6845] SET_BUY_AMOUNT,vRUafgIjuV,GYF,86.89 
[6848] SET_BUY_TRIGGER,vRUafgIjuV,VMT,78.60 
[6865] ADD,vRUafgIjuV,55072.18 
[6946] BUY,vRUafgIjuV,BEG,741.37 
[7064] COMMIT_BUY,vRUafgIjuV 
[7182] ADD,vRUafgIjuV,80371.97 
[7259] QUOTE,vRUafgIjuV,ZJB 
[7289] SELL,vRUafgIjuV,FQP,522.48 
[7351] COMMIT_SELL,vRUafgIjuV 
[7368] SELL,vRUafgIjuV,FQP,231.67 
[7370] COMMIT_SELL,vRUafgIjuV 
[7423] SELL,vRUafgIjuV,JVT,297.20 
[7446] CANCEL_SET_BUY,vRUafgIjuV,IZJ 
[7662] DISPLAY_SUMMARY,vRUafgIjuV 
[7720] SET_BUY_TRIGGER,vRUafgIjuV,BEC,132.54 
[7813] BUY,vRUafgIjuV,PUN,46.94 
[7863] COMMIT_BUY,vRUafgIjuV 
[8118] BUY,vRUafgIjuV,BLC,487.26 
[8273] CANCEL_BUY,vRUafgIjuV 
[8305] ADD,vRUafgIjuV,62957.78 
[8625] BUY,vRUafgIjuV,JFF,651.25 
[8821] CANCEL_BUY,vRUafgIjuV 
[8867] DISPLAY_SUMMARY,vRUafgIjuV 
[8884] QUOTE,vRUafgIjuV,OIY 
[9023] QUOTE,vRUafgIjuV,MXD 
[9207] SET_BUY_TRIGGER,vRUafgIjuV,VMD,194.01 
[9371] SET_SELL_TRIGGER,vRUafgIjuV,ZTI,116.21 
[9482] QUOTE,vRUafgIjuV,WKG 
[9633] CANCEL_SELL,vRUafgIjuV 
[9683] ADD,vRUafgIjuV,62167.00 
[9787] QUOTE,vRUafgIjuV,DWX 
[9938] BUY,vRUafgIjuV,JGF,653.26 
[10237] SET_BUY_AMOUNT,vRUafgIjuV,QJZ,156.55 
[10658] SET_BUY_TRIGGER,vRUafgIjuV,VEN,45.09 
[10726] SET_BUY_TRIGGER,vRUafgIjuV,DED,98.42 
[10757] BUY,vRUafgIjuV,ISQ,85.83 
[10983] SELL,vRUafgIjuV,KES,133.33 
[11008] QUOTE,vRUafgIjuV,LMB 
[11012] QUOTE,vRUafgIjuV,UMN 
[11229] QUOTE,vRUafgIjuV,AUT 
[11280] SET_BUY_AMOUNT,vRUafgIjuV,JCQ,649.95 
[11410] SET_BUY_TRIGGER,vRUafgIjuV,POI,550.43 
[11437] DISPLAY_SUMMARY,vRUafgIjuV 
[11578] SET_SELL_AMOUNT,vRUafgIjuV,OEY,290.16 
[11674] SELL,vRUafgIjuV,OEY,606.92 
[11735] QUOTE,vRUafgIjuV,FPP 
[11778] QUOTE,vRUafgIjuV,NJT 
[11888] ADD,vRUafgIjuV,29952.27 
[11891] BUY,vRUafgIjuV,OYX,617.46 
[11900] DISPLAY_SUMMARY,vRUafgIjuV 
[11976] SET_SELL_TRIGGER,vRUafgIjuV,OEY,65.89 
[12029] SET_BUY_AMOUNT,vRUafgIjuV,KDA,708.92 
[12107] SET_BUY_TRIGGER,vRUafgIjuV,BTD,249.42 
[12270] DISPLAY_SUMMARY,vRUafgIjuV 
[12333] SET_SELL_TRIGGER,vRUafgIjuV,HEJ,45.10 
[12364] SET_BUY_TRIGGER,vRUafgIjuV,UTD,94.09 
[12542] SELL,vRUafgIjuV,JCQ,436.23 
[12715] SET_BUY_AMOUNT,vRUafgIjuV,JCQ,444.23 
[12904] SET_BUY_TRIGGER,vRUafgIjuV,WKT,47.92 
[13214] SET_SELL_TRIGGER,vRUafgIjuV,PHJ,83.85 
[13319] QUOTE,vRUafgIjuV,MGK 
[13496] CANCEL_SELL,vRUafgIjuV 
[13770] SET_SELL_TRIGGER,vRUafgIjuV,RUN,15.10 
[13781] ADD,vRUafgIjuV,48064.78 
[13867] BUY,vRUafgIjuV,BRT,557.49 
[13895] BUY,vRUafgIjuV,GJQ,221.34 
[14071] COMMIT_BUY,vRUafgIjuV 
[14156] SELL,vRUafgIjuV,KES,580.00 
[14233] CANCEL_SET_BUY,vRUafgIjuV,RRE 
