[84] ADD,vmBnGlfW5S,37500.32 
[493] QUOTE,vmBnGlfW5S,WLT 
[503] BUY,vmBnGlfW5S,LPR,325.53 
[530] SET_SELL_AMOUNT,vmBnGlfW5S,XZO,452.73 
[563] SELL,vmBnGlfW5S,WYR,667.71 
[637] COMMIT_SELL,vmBnGlfW5S 
[691] SELL,vmBnGlfW5S,LPS,180.83 
[826] COMMIT_SELL,vmBnGlfW5S 
[828] DISPLAY_SUMMARY,vmBnGlfW5S 
[1515] DISPLAY_SUMMARY,vmBnGlfW5S 
[1687] SET_BUY_TRIGGER,vmBnGlfW5S,KQZ,96.25 
[1955] SELL,vmBnGlfW5S,FZB,239.28 
[1957] QUOTE,vmBnGlfW5S,KEV 
[2022] QUOTE,vmBnGlfW5S,UDN 
[2026] CANCEL_BUY,vmBnGlfW5S 
[2086] SET_SELL_AMOUNT,vmBnGlfW5S,WNU,442.03 
[2212] SET_SELL_TRIGGER,vmBnGlfW5S,WNU,149.41 
[2291] DISPLAY_SUMMARY,vmBnGlfW5S 
[2371] SET_SELL_TRIGGER,vmBnGlfW5S,KGA,124.80 
[2429] QUOTE,vmBnGlfW5S,SYU 
[2445] ADD,vmBnGlfW5S,91975.94 
[2719] QUOTE,vmBnGlfW5S,WZM 
[2875] SET_SELL_TRIGGER,vmBnGlfW5S,XBL,103.26 
[3028] SELL,vmBnGlfW5S,SYT,465.16 
[3051] CANCEL_SELL,vmBnGlfW5S 
[3128] CANCEL_SET_SELL,vmBnGlfW5S,IZJ 
[3271] SET_BUY_TRIGGER,vmBnGlfW5S,DTG,102.86 
[3395] SELL,vmBnGlfW5S,LKK,271.90 
[3689] COMMIT_SELL,vmBnGlfW5S 
[3706] SET_SELL_AMOUNT,vmBnGlfW5S,OIV,386.36 
[4062] SET_SELL_TRIGGER,vmBnGlfW5S,OIV,258.90 
[4271] SET_BUY_AMOUNT,vmBnGlfW5S,MQX,203.71 
[4354] SET_BUY_TRIGGER,vmBnGlfW5S,MQX,120.34 
[4355] DISPLAY_SUMMARY,vmBnGlfW5S 
[4413] DISPLAY_SUMMARY,vmBnGlfW5S 
[4449] SELL,vmBnGlfW5S,QBD,68.06 
[4466] COMMIT_SELL,vmBnGlfW5S 
[4616] SET_BUY_TRIGGER,vmBnGlfW5S,ARP,33.26 
[4624] SELL,vmBnGlfW5S,LZV,458.50 
[4674] COMMIT_SELL,vmBnGlfW5S 
[4692] ADD,vmBnGlfW5S,84683.05 
[4745] BUY,vmBnGlfW5S,PNP,170.48 
[4780] COMMIT_SELL,vmBnGlfW5S 
[5380] SET_BUY_TRIGGER,vmBnGlfW5S,HNO,145.69 
[5413] DISPLAY_SUMMARY,vmBnGlfW5S 
[5574] ADD,vmBnGlfW5S,42431.17 
[5619] BUY,vmBnGlfW5S,GIK,696.72 
[5660] QUOTE,vmBnGlfW5S,DBT 
[5775] CANCEL_SELL,vmBnGlfW5S 
[5818] ADD,vmBnGlfW5S,51112.22 
[5848] CANCEL_SET_SELL,vmBnGlfW5S,PLB 
[6019] ADD,vmBnGlfW5S,85910.07 
[6023] QUOTE,vmBnGlfW5S,NVX 
[6028] ADD,vmBnGlfW5S,90482.74 
[6117] QUOTE,vmBnGlfW5S,AAC 
[6118] DISPLAY_SUMMARY,vmBnGlfW5S 
[6324] SET_SELL_TRIGGER,vmBnGlfW5S,UMV,143.93 
[6398] BUY,vmBnGlfW5S,HSJ,410.84 
[6440] CANCEL_SELL,vmBnGlfW5S 
[6708] SET_SELL_AMOUNT,vmBnGlfW5S,JUV,548.07 
[6818] CANCEL_SET_SELL,vmBnGlfW5S,JUV 
[6878] SET_SELL_TRIGGER,vmBnGlfW5S,AXK,58.60 
[6886] BUY,vmBnGlfW5S,IDX,476.15 
[6987] COMMIT_BUY,vmBnGlfW5S 
[7087] ADD,vmBnGlfW5S,68817.66 
[7189] QUOTE,vmBnGlfW5S,UUJ 
[7327] SET_SELL_AMOUNT,vmBnGlfW5S,QJZ,533.95 
[7459] SET_SELL_TRIGGER,vmBnGlfW5S,QJZ,450.30 
[7626] ADD,vmBnGlfW5S,59036.89 
[7728] QUOTE,vmBnGlfW5S,YCH 
[7780] QUOTE,vmBnGlfW5S,QPR 
[7814] COMMIT_BUY,vmBnGlfW5S 
[7873] ADD,vmBnGlfW5S,59628.72 
[7904] QUOTE,vmBnGlfW5S,GIX 
[7907] QUOTE,vmBnGlfW5S,YBP 
[7977] BUY,vmBnGlfW5S,QEO,481.11 
[8050] COMMIT_BUY,vmBnGlfW5S 
[8287] ADD,vmBnGlfW5S,67617.55 
[8340] COMMIT_BUY,vmBnGlfW5S 
[8350] SET_SELL_TRIGGER,vmBnGlfW5S,TKM,74.70 
[8459] SELL,vmBnGlfW5S,QJZ,306.68 
[8476] COMMIT_SELL,vmBnGlfW5S 
[8553] DISPLAY_SUMMARY,vmBnGlfW5S 
[8638] QUOTE,vmBnGlfW5S,LPR 
[8766] SET_BUY_AMOUNT,vmBnGlfW5S,FQP,728.96 
[8774] SET_BUY_TRIGGER,vmBnGlfW5S,GNY,41.68 
[8831] BUY,vmBnGlfW5S,CVK,614.11 
[8832] COMMIT_BUY,vmBnGlfW5S 
[8912] BUY,vmBnGlfW5S,XXP,391.94 
[9045] BUY,vmBnGlfW5S,CUQ,728.18 
[9104] COMMIT_BUY,vmBnGlfW5S 
[9260] ADD,vmBnGlfW5S,63052.80 
[9325] QUOTE,vmBnGlfW5S,DWX 
[9427] ADD,vmBnGlfW5S,68531.61 
[10004] SET_SELL_TRIGGER,vmBnGlfW5S,KIP,41.63 
[10038] BUY,vmBnGlfW5S,CEC,117.86 
[10113] COMMIT_BUY,vmBnGlfW5S 
[10338] DISPLAY_SUMMARY,vmBnGlfW5S 
[10365] SET_BUY_AMOUNT,vmBnGlfW5S,KDA,708.78 
[10546] SET_BUY_TRIGGER,vmBnGlfW5S,FYA,567.43 
[10635] SELL,vmBnGlfW5S,KDA,261.62 
[10694] COMMIT_SELL,vmBnGlfW5S 
[10749] SELL,vmBnGlfW5S,KES,739.43 
[10897] COMMIT_SELL,vmBnGlfW5S 
[10990] ADD,vmBnGlfW5S,68795.82 
[11079] QUOTE,vmBnGlfW5S,MJU 
[11122] DISPLAY_SUMMARY,vmBnGlfW5S 
[11276] CANCEL_SET_SELL,vmBnGlfW5S,FLD 
[11288] SET_BUY_AMOUNT,vmBnGlfW5S,KES,740.43 
[11309] SET_BUY_TRIGGER,vmBnGlfW5S,KBP,210.22 
[11380] BUY,vmBnGlfW5S,VTY,114.90 
[11580] CANCEL_SET_BUY,vmBnGlfW5S,KLE 
[11738] DISPLAY_SUMMARY,vmBnGlfW5S 
[11809] SET_SELL_TRIGGER,vmBnGlfW5S,MHQ,151.45 
[12050] ADD,vmBnGlfW5S,47469.66 
[12075] BUY,vmBnGlfW5S,ZFK,105.69 
[12224] CANCEL_SELL,vmBnGlfW5S 
[12253] DISPLAY_SUMMARY,vmBnGlfW5S 
[12319] DISPLAY_SUMMARY,vmBnGlfW5S 
[12440] ADD,vmBnGlfW5S,85012.02 
[12482] BUY,vmBnGlfW5S,FTP,706.88 
[12536] SET_BUY_TRIGGER,vmBnGlfW5S,FFN,168.70 
[12643] SET_SELL_AMOUNT,vmBnGlfW5S,JVT,609.04 
[12676] SET_SELL_TRIGGER,vmBnGlfW5S,JVT,204.10 
[12678] SELL,vmBnGlfW5S,QJZ,162.73 
[12899] COMMIT_SELL,vmBnGlfW5S 
[12975] DISPLAY_SUMMARY,vmBnGlfW5S 
[12982] ADD,vmBnGlfW5S,62318.39 
[13007] QUOTE,vmBnGlfW5S,WKL 
[13148] ADD,vmBnGlfW5S,95113.58 
[13164] BUY,vmBnGlfW5S,QJZ,748.99 
[13208] SET_BUY_TRIGGER,vmBnGlfW5S,PIC,98.01 
[13291] SET_BUY_AMOUNT,vmBnGlfW5S,KDA,296.85 
[13332] SET_BUY_TRIGGER,vmBnGlfW5S,TYV,88.28 
[13344] SET_BUY_AMOUNT,vmBnGlfW5S,QJZ,670.13 
[13428] SET_BUY_TRIGGER,vmBnGlfW5S,UGG,88.98 
[13542] DISPLAY_SUMMARY,vmBnGlfW5S 
[13608] QUOTE,vmBnGlfW5S,QBD 
[13681] BUY,vmBnGlfW5S,ZNZ,479.86 
[13728] SET_SELL_TRIGGER,vmBnGlfW5S,FLD,84.01 
[13826] SET_BUY_TRIGGER,vmBnGlfW5S,TVP,124.26 
[13835] CANCEL_SET_SELL,vmBnGlfW5S,QAA 
[13923] ADD,vmBnGlfW5S,61708.28 
[13948] QUOTE,vmBnGlfW5S,PWK 
[14007] SET_BUY_AMOUNT,vmBnGlfW5S,KES,278.32 
[14142] SET_BUY_TRIGGER,vmBnGlfW5S,IDX,198.41 
[14298] SET_BUY_AMOUNT,vmBnGlfW5S,KES,729.11 
[14369] CANCEL_SET_BUY,vmBnGlfW5S,YEH 
[14397] ADD,vmBnGlfW5S,55356.32 
[14455] SELL,vmBnGlfW5S,KES,406.95 
[14495] SET_SELL_AMOUNT,vmBnGlfW5S,QJZ,551.90 
[14680] SET_SELL_TRIGGER,vmBnGlfW5S,QJZ,114.81 
[14734] CANCEL_SET_BUY,vmBnGlfW5S,KVK 
[14745] SET_SELL_TRIGGER,vmBnGlfW5S,QEO,122.57 
[14825] DISPLAY_SUMMARY,vmBnGlfW5S 
[14893] BUY,vmBnGlfW5S,YRO,422.71 
[15052] COMMIT_BUY,vmBnGlfW5S 
[15263] SET_BUY_TRIGGER,vmBnGlfW5S,WKL,65.46 
[15303] SET_BUY_TRIGGER,vmBnGlfW5S,MKE,54.50 
[15359] BUY,vmBnGlfW5S,JXR,117.76 
[15468] COMMIT_BUY,vmBnGlfW5S 
[15593] ADD,vmBnGlfW5S,63201.39 
[15608] QUOTE,vmBnGlfW5S,BLC 
[15656] BUY,vmBnGlfW5S,KBP,488.11 
[15690] COMMIT_BUY,vmBnGlfW5S 
[15725] SELL,vmBnGlfW5S,KES,639.85 
[15849] COMMIT_SELL,vmBnGlfW5S 
[15856] DISPLAY_SUMMARY,vmBnGlfW5S 
[15952] DISPLAY_SUMMARY,vmBnGlfW5S 
[16027] DISPLAY_SUMMARY,vmBnGlfW5S 
[16166] QUOTE,vmBnGlfW5S,JKX 
[16197] CANCEL_SET_SELL,vmBnGlfW5S,YBP 
[16255] SELL,vmBnGlfW5S,QJZ,388.40 
[16651] COMMIT_SELL,vmBnGlfW5S 
[16986] BUY,vmBnGlfW5S,SPP,369.13 
[17019] COMMIT_BUY,vmBnGlfW5S 
[17065] COMMIT_BUY,vmBnGlfW5S 
[17214] ADD,vmBnGlfW5S,100037.13 
