[22] ADD,wYQUhjq8PE,76865.00 
[82] CANCEL_SELL,wYQUhjq8PE 
[183] SET_BUY_TRIGGER,wYQUhjq8PE,MIR,115.14 
[189] DISPLAY_SUMMARY,wYQUhjq8PE 
[284] SET_SELL_AMOUNT,wYQUhjq8PE,HCN,43.59 
[346] SET_SELL_TRIGGER,wYQUhjq8PE,HCN,0.85 
[561] DISPLAY_SUMMARY,wYQUhjq8PE 
[674] ADD,wYQUhjq8PE,72191.63 
[678] BUY,wYQUhjq8PE,KXF,678.79 
[1276] COMMIT_BUY,wYQUhjq8PE 
[1477] BUY,wYQUhjq8PE,HPN,321.13 
[1589] CANCEL_BUY,wYQUhjq8PE 
[1755] QUOTE,wYQUhjq8PE,TAR 
[1795] DISPLAY_SUMMARY,wYQUhjq8PE 
[1870] ADD,wYQUhjq8PE,63637.41 
[1930] BUY,wYQUhjq8PE,SYM,438.75 
[2235] COMMIT_BUY,wYQUhjq8PE 
[2299] SET_BUY_TRIGGER,wYQUhjq8PE,VTY,34.88 
[2364] SET_BUY_TRIGGER,wYQUhjq8PE,VKB,135.66 
[2377] SET_SELL_AMOUNT,wYQUhjq8PE,QJZ,622.65 
[2395] SET_SELL_TRIGGER,wYQUhjq8PE,QJZ,256.52 
[2554] SELL,wYQUhjq8PE,QJZ,720.84 
[2610] COMMIT_SELL,wYQUhjq8PE 
[2627] QUOTE,wYQUhjq8PE,WXV 
[2674] BUY,wYQUhjq8PE,LUD,612.48 
[2771] ADD,wYQUhjq8PE,54970.40 
[2959] QUOTE,wYQUhjq8PE,NJB 
[3102] SET_SELL_AMOUNT,wYQUhjq8PE,QJZ,486.40 
[3106] SET_SELL_TRIGGER,wYQUhjq8PE,QJZ,163.50 
[3130] COMMIT_SELL,wYQUhjq8PE 
[3140] DISPLAY_SUMMARY,wYQUhjq8PE 
[3155] DISPLAY_SUMMARY,wYQUhjq8PE 
[3318] QUOTE,wYQUhjq8PE,NKC 
[3413] ADD,wYQUhjq8PE,71631.48 
[3488] BUY,wYQUhjq8PE,FKX,155.84 
[3695] SET_BUY_TRIGGER,wYQUhjq8PE,XEA,61.97 
[3740] SET_SELL_AMOUNT,wYQUhjq8PE,QJZ,26.61 
[3780] SET_SELL_TRIGGER,wYQUhjq8PE,QJZ,16.03 
[4028] CANCEL_SELL,wYQUhjq8PE 
[4053] BUY,wYQUhjq8PE,ULL,173.44 
[4069] COMMIT_BUY,wYQUhjq8PE 
[4204] QUOTE,wYQUhjq8PE,KZC 
[4227] DISPLAY_SUMMARY,wYQUhjq8PE 
[4278] DISPLAY_SUMMARY,wYQUhjq8PE 
[4287] DISPLAY_SUMMARY,wYQUhjq8PE 
[4294] QUOTE,wYQUhjq8PE,NFV 
[4299] ADD,wYQUhjq8PE,53687.73 
[4412] QUOTE,wYQUhjq8PE,JUE 
[4460] QUOTE,wYQUhjq8PE,ETJ 
[4588] BUY,wYQUhjq8PE,ZDB,7.18 
[4909] CANCEL_BUY,wYQUhjq8PE 
[4945] DISPLAY_SUMMARY,wYQUhjq8PE 
[4999] SET_BUY_AMOUNT,wYQUhjq8PE,FQP,352.57 
[5048] SET_BUY_TRIGGER,wYQUhjq8PE,JLK,187.47 
[5102] SET_SELL_TRIGGER,wYQUhjq8PE,JLK,115.02 
[5460] ADD,wYQUhjq8PE,89424.47 
[5578] BUY,wYQUhjq8PE,CUZ,405.34 
[5616] DISPLAY_SUMMARY,wYQUhjq8PE 
[5631] SET_SELL_TRIGGER,wYQUhjq8PE,ZHB,101.96 
[5721] SELL,wYQUhjq8PE,QJZ,62.40 
[5815] COMMIT_SELL,wYQUhjq8PE 
[5822] QUOTE,wYQUhjq8PE,EUM 
[5845] BUY,wYQUhjq8PE,IHW,10.68 
[5847] DISPLAY_SUMMARY,wYQUhjq8PE 
[5862] SET_BUY_TRIGGER,wYQUhjq8PE,GPW,130.32 
[5866] DISPLAY_SUMMARY,wYQUhjq8PE 
[5954] ADD,wYQUhjq8PE,66214.54 
[6209] QUOTE,wYQUhjq8PE,SMS 
[6337] BUY,wYQUhjq8PE,THH,308.51 
[6365] SET_SELL_AMOUNT,wYQUhjq8PE,QJZ,287.99 
[6406] CANCEL_SET_SELL,wYQUhjq8PE,QJZ 
[6565] SET_SELL_TRIGGER,wYQUhjq8PE,BMQ,89.42 
[6681] QUOTE,wYQUhjq8PE,GNY 
[6743] QUOTE,wYQUhjq8PE,OIY 
[6811] SET_SELL_AMOUNT,wYQUhjq8PE,FQP,599.29 
[6840] SET_SELL_TRIGGER,wYQUhjq8PE,FQP,341.25 
[6897] BUY,wYQUhjq8PE,PYB,191.49 
[7044] CANCEL_BUY,wYQUhjq8PE 
[7113] QUOTE,wYQUhjq8PE,EBS 
[7115] QUOTE,wYQUhjq8PE,PHE 
[7222] BUY,wYQUhjq8PE,KMV,68.08 
[7232] COMMIT_BUY,wYQUhjq8PE 
[7273] SET_SELL_AMOUNT,wYQUhjq8PE,KDA,233.95 
[7416] SET_SELL_TRIGGER,wYQUhjq8PE,KDA,118.21 
[7493] QUOTE,wYQUhjq8PE,NGZ 
[7500] BUY,wYQUhjq8PE,IFN,356.61 
[7539] CANCEL_BUY,wYQUhjq8PE 
[7657] SET_BUY_TRIGGER,wYQUhjq8PE,YRO,194.38 
[7785] CANCEL_SET_BUY,wYQUhjq8PE,EDV 
[7867] QUOTE,wYQUhjq8PE,PUO 
