[43] ADD,x8GMbOCXJX,63971.43 
[86] QUOTE,x8GMbOCXJX,WKL 
[150] BUY,x8GMbOCXJX,YBP,358.11 
[199] COMMIT_BUY,x8GMbOCXJX 
[249] SELL,x8GMbOCXJX,QJZ,613.77 
[274] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,142.40 
[358] SET_BUY_TRIGGER,x8GMbOCXJX,ZCO,46.62 
[517] SET_SELL_AMOUNT,x8GMbOCXJX,QJZ,584.86 
[538] CANCEL_SET_SELL,x8GMbOCXJX,QJZ 
[641] COMMIT_SELL,x8GMbOCXJX 
[648] BUY,x8GMbOCXJX,DVA,75.51 
[686] COMMIT_BUY,x8GMbOCXJX 
[741] ADD,x8GMbOCXJX,65893.38 
[742] BUY,x8GMbOCXJX,DTG,576.68 
[764] COMMIT_BUY,x8GMbOCXJX 
[814] SET_SELL_TRIGGER,x8GMbOCXJX,PDB,86.70 
[859] QUOTE,x8GMbOCXJX,OKK 
[866] BUY,x8GMbOCXJX,KES,237.82 
[916] CANCEL_SET_BUY,x8GMbOCXJX,PJW 
[1252] SET_SELL_TRIGGER,x8GMbOCXJX,FVS,97.07 
[1339] CANCEL_BUY,x8GMbOCXJX 
[1540] DISPLAY_SUMMARY,x8GMbOCXJX 
[1541] SET_BUY_AMOUNT,x8GMbOCXJX,FQP,377.76 
[1563] SET_BUY_TRIGGER,x8GMbOCXJX,WFR,339.78 
[1635] SET_BUY_TRIGGER,x8GMbOCXJX,TVP,187.64 
[1740] SET_SELL_AMOUNT,x8GMbOCXJX,QJZ,475.08 
[1777] SET_SELL_TRIGGER,x8GMbOCXJX,QJZ,49.15 
[1879] QUOTE,x8GMbOCXJX,ENQ 
[2001] BUY,x8GMbOCXJX,NFO,398.45 
[2024] SET_SELL_AMOUNT,x8GMbOCXJX,FQP,12.29 
[2041] SET_SELL_TRIGGER,x8GMbOCXJX,FQP,4.64 
[2124] SELL,x8GMbOCXJX,KDA,385.74 
[2133] COMMIT_SELL,x8GMbOCXJX 
[2156] QUOTE,x8GMbOCXJX,PUU 
[2169] BUY,x8GMbOCXJX,VEE,546.54 
[2181] QUOTE,x8GMbOCXJX,CVP 
[2234] ADD,x8GMbOCXJX,69929.08 
[2260] QUOTE,x8GMbOCXJX,TQX 
[2308] DISPLAY_SUMMARY,x8GMbOCXJX 
[2394] ADD,x8GMbOCXJX,31985.74 
[2623] BUY,x8GMbOCXJX,CXW,7.63 
[2713] COMMIT_BUY,x8GMbOCXJX 
[2726] SELL,x8GMbOCXJX,QJZ,520.18 
[2947] COMMIT_SELL,x8GMbOCXJX 
[3013] SET_SELL_TRIGGER,x8GMbOCXJX,ZMK,52.67 
[3021] ADD,x8GMbOCXJX,96433.17 
[3129] QUOTE,x8GMbOCXJX,FIC 
[3238] BUY,x8GMbOCXJX,WTL,686.73 
[3549] CANCEL_BUY,x8GMbOCXJX 
[3637] SET_BUY_AMOUNT,x8GMbOCXJX,FQP,609.09 
[3692] SET_BUY_TRIGGER,x8GMbOCXJX,WYD,172.11 
[3705] SET_BUY_TRIGGER,x8GMbOCXJX,YPL,66.37 
[3751] QUOTE,x8GMbOCXJX,TZJ 
[3807] BUY,x8GMbOCXJX,DRP,280.44 
[3933] COMMIT_BUY,x8GMbOCXJX 
[4175] SET_SELL_TRIGGER,x8GMbOCXJX,LSW,162.25 
[4246] SET_BUY_TRIGGER,x8GMbOCXJX,HDR,195.84 
[4277] DISPLAY_SUMMARY,x8GMbOCXJX 
[4337] ADD,x8GMbOCXJX,78536.83 
[4421] BUY,x8GMbOCXJX,RQS,569.33 
[4592] ADD,x8GMbOCXJX,61539.16 
[4728] BUY,x8GMbOCXJX,NGB,244.85 
[4844] CANCEL_BUY,x8GMbOCXJX 
[4951] SET_SELL_TRIGGER,x8GMbOCXJX,UZZ,15.54 
[5147] ADD,x8GMbOCXJX,61012.75 
[5479] BUY,x8GMbOCXJX,JRJ,353.82 
[5593] CANCEL_SET_SELL,x8GMbOCXJX,LSM 
[5703] ADD,x8GMbOCXJX,60373.96 
[5722] BUY,x8GMbOCXJX,GIX,98.72 
[5788] COMMIT_BUY,x8GMbOCXJX 
[5843] ADD,x8GMbOCXJX,72838.37 
[5910] DISPLAY_SUMMARY,x8GMbOCXJX 
[6162] CANCEL_SET_BUY,x8GMbOCXJX,ZER 
[6165] CANCEL_SELL,x8GMbOCXJX 
[6217] SET_BUY_AMOUNT,x8GMbOCXJX,KDA,161.20 
[6307] DISPLAY_SUMMARY,x8GMbOCXJX 
[6363] QUOTE,x8GMbOCXJX,EOY 
[6426] BUY,x8GMbOCXJX,FVZ,64.60 
[6522] SET_SELL_TRIGGER,x8GMbOCXJX,PIE,88.50 
[6538] SET_BUY_AMOUNT,x8GMbOCXJX,OEY,691.79 
[6539] SET_BUY_TRIGGER,x8GMbOCXJX,BRZ,438.28 
[6630] DISPLAY_SUMMARY,x8GMbOCXJX 
[7076] QUOTE,x8GMbOCXJX,BPK 
[7085] BUY,x8GMbOCXJX,WCR,415.46 
[7132] COMMIT_BUY,x8GMbOCXJX 
[7208] BUY,x8GMbOCXJX,GRD,18.74 
[7248] COMMIT_BUY,x8GMbOCXJX 
[7251] ADD,x8GMbOCXJX,61123.05 
[7324] QUOTE,x8GMbOCXJX,FQP 
[7381] BUY,x8GMbOCXJX,RWY,218.25 
[7542] COMMIT_BUY,x8GMbOCXJX 
[7597] ADD,x8GMbOCXJX,63865.76 
[7640] BUY,x8GMbOCXJX,RFC,495.07 
[7647] SELL,x8GMbOCXJX,JCQ,466.26 
[7659] SET_SELL_AMOUNT,x8GMbOCXJX,OEY,375.88 
[7892] SET_SELL_TRIGGER,x8GMbOCXJX,OEY,54.82 
[8205] ADD,x8GMbOCXJX,64047.07 
[8307] QUOTE,x8GMbOCXJX,SJG 
[8372] QUOTE,x8GMbOCXJX,VGW 
