[27] ADD,xETyPXWhj9,56850.01 
[144] BUY,xETyPXWhj9,MOM,642.08 
[523] COMMIT_BUY,xETyPXWhj9 
[677] DISPLAY_SUMMARY,xETyPXWhj9 
[797] COMMIT_SELL,xETyPXWhj9 
[1015] SET_BUY_TRIGGER,xETyPXWhj9,OOR,165.76 
[1090] SET_BUY_TRIGGER,xETyPXWhj9,XFH,53.81 
[1177] SET_SELL_AMOUNT,xETyPXWhj9,QJZ,511.28 
[1183] SET_SELL_TRIGGER,xETyPXWhj9,QJZ,267.67 
[1206] BUY,xETyPXWhj9,PTP,5.25 
[1305] CANCEL_BUY,xETyPXWhj9 
[1411] QUOTE,xETyPXWhj9,GMF 
[1641] ADD,xETyPXWhj9,82626.99 
[1945] BUY,xETyPXWhj9,OEM,617.18 
[1999] DISPLAY_SUMMARY,xETyPXWhj9 
[2035] SET_BUY_TRIGGER,xETyPXWhj9,TTY,21.07 
[2085] SET_BUY_AMOUNT,xETyPXWhj9,QJZ,132.13 
[2125] SET_BUY_TRIGGER,xETyPXWhj9,PUN,71.25 
[2146] SET_BUY_AMOUNT,xETyPXWhj9,QJZ,166.40 
[2316] SET_BUY_TRIGGER,xETyPXWhj9,NLT,19.26 
[2416] SET_BUY_TRIGGER,xETyPXWhj9,QAA,113.75 
[2509] SET_SELL_TRIGGER,xETyPXWhj9,EMN,104.60 
[2576] COMMIT_BUY,xETyPXWhj9 
[2651] QUOTE,xETyPXWhj9,AXK 
[2694] BUY,xETyPXWhj9,SMS,260.04 
[3168] BUY,xETyPXWhj9,YIQ,632.63 
[3179] COMMIT_BUY,xETyPXWhj9 
[3231] ADD,xETyPXWhj9,102075.49 
[3377] QUOTE,xETyPXWhj9,RNK 
[3392] BUY,xETyPXWhj9,BEG,206.72 
[3440] COMMIT_BUY,xETyPXWhj9 
[3449] QUOTE,xETyPXWhj9,FGI 
[3469] BUY,xETyPXWhj9,NBX,635.01 
[3572] SELL,xETyPXWhj9,QJZ,697.48 
[3581] CANCEL_SET_SELL,xETyPXWhj9,ZFT 
[3819] BUY,xETyPXWhj9,CMA,615.98 
[3899] COMMIT_BUY,xETyPXWhj9 
[3944] ADD,xETyPXWhj9,77285.56 
[3959] BUY,xETyPXWhj9,YWK,584.66 
[4003] COMMIT_BUY,xETyPXWhj9 
[4332] ADD,xETyPXWhj9,69753.27 
[4549] QUOTE,xETyPXWhj9,VOY 
[4698] COMMIT_SELL,xETyPXWhj9 
[4799] BUY,xETyPXWhj9,VMD,450.98 
[4905] COMMIT_BUY,xETyPXWhj9 
[4912] BUY,xETyPXWhj9,FKZ,135.70 
[4988] CANCEL_SET_SELL,xETyPXWhj9,MFY 
[5107] SET_SELL_TRIGGER,xETyPXWhj9,MJU,181.82 
[5131] BUY,xETyPXWhj9,PXS,289.49 
[5401] COMMIT_BUY,xETyPXWhj9 
[5409] CANCEL_SET_SELL,xETyPXWhj9,MLI 
[5415] ADD,xETyPXWhj9,52385.19 
[5519] BUY,xETyPXWhj9,JVE,245.77 
[5563] COMMIT_BUY,xETyPXWhj9 
[5615] ADD,xETyPXWhj9,45830.05 
[5853] BUY,xETyPXWhj9,JMG,494.23 
[5882] COMMIT_BUY,xETyPXWhj9 
[6067] ADD,xETyPXWhj9,76764.57 
[6120] QUOTE,xETyPXWhj9,XPX 
[6128] CANCEL_SELL,xETyPXWhj9 
[6298] QUOTE,xETyPXWhj9,FQU 
[6546] QUOTE,xETyPXWhj9,JHY 
[6666] BUY,xETyPXWhj9,KJD,311.59 
[6691] CANCEL_SET_BUY,xETyPXWhj9,AJX 
[7052] SET_BUY_TRIGGER,xETyPXWhj9,CMD,106.37 
[7130] SET_BUY_TRIGGER,xETyPXWhj9,ZTI,182.61 
[7244] SET_BUY_TRIGGER,xETyPXWhj9,FXT,110.74 
[7293] DISPLAY_SUMMARY,xETyPXWhj9 
[7355] QUOTE,xETyPXWhj9,ZFK 
[7469] SELL,xETyPXWhj9,JRJ,284.26 
[7535] CANCEL_BUY,xETyPXWhj9 
[7576] BUY,xETyPXWhj9,JPD,550.92 
[7616] QUOTE,xETyPXWhj9,HEJ 
[7709] SET_BUY_AMOUNT,xETyPXWhj9,KES,377.53 
[7752] SET_BUY_TRIGGER,xETyPXWhj9,SPP,274.67 
[7881] DISPLAY_SUMMARY,xETyPXWhj9 
[7913] DISPLAY_SUMMARY,xETyPXWhj9 
[8011] COMMIT_SELL,xETyPXWhj9 
[8171] DISPLAY_SUMMARY,xETyPXWhj9 
[8356] SELL,xETyPXWhj9,KES,437.21 
[8448] COMMIT_SELL,xETyPXWhj9 
[8557] COMMIT_BUY,xETyPXWhj9 
[8711] BUY,xETyPXWhj9,IAV,196.37 
[8786] SET_BUY_AMOUNT,xETyPXWhj9,KDA,530.21 
[8843] SET_BUY_TRIGGER,xETyPXWhj9,SCK,459.39 
[9024] CANCEL_SET_BUY,xETyPXWhj9,ZAN 
[9152] SET_BUY_TRIGGER,xETyPXWhj9,JMG,71.84 
[9272] SET_SELL_TRIGGER,xETyPXWhj9,IAV,20.47 
[9418] CANCEL_SET_BUY,xETyPXWhj9,BPP 
[9475] SET_BUY_AMOUNT,xETyPXWhj9,FQP,42.85 
[9562] SET_BUY_TRIGGER,xETyPXWhj9,YAZ,34.20 
[9730] SELL,xETyPXWhj9,KDA,247.54 
[9804] COMMIT_SELL,xETyPXWhj9 
[9884] ADD,xETyPXWhj9,55985.03 
[9945] QUOTE,xETyPXWhj9,VAT 
[9963] SET_BUY_TRIGGER,xETyPXWhj9,FQG,144.03 
[10282] SET_SELL_TRIGGER,xETyPXWhj9,PUN,44.89 
[10288] SET_BUY_AMOUNT,xETyPXWhj9,JVT,272.31 
[10340] SET_BUY_TRIGGER,xETyPXWhj9,GWF,138.60 
[10405] ADD,xETyPXWhj9,63585.68 
[10518] QUOTE,xETyPXWhj9,PLB 
[10557] SET_BUY_TRIGGER,xETyPXWhj9,GSW,11.46 
[10579] SELL,xETyPXWhj9,GYF,704.24 
[10891] COMMIT_SELL,xETyPXWhj9 
[11065] SET_BUY_TRIGGER,xETyPXWhj9,HSJ,159.66 
[11077] SET_SELL_AMOUNT,xETyPXWhj9,JVT,738.32 
[11190] SET_SELL_TRIGGER,xETyPXWhj9,JVT,662.74 
[11351] CANCEL_SELL,xETyPXWhj9 
[11498] QUOTE,xETyPXWhj9,RVU 
[11700] SET_BUY_AMOUNT,xETyPXWhj9,EBS,446.94 
[11820] SET_BUY_TRIGGER,xETyPXWhj9,EBS,131.71 
[11856] QUOTE,xETyPXWhj9,QEO 
[11889] SET_BUY_AMOUNT,xETyPXWhj9,JRJ,246.19 
[11930] QUOTE,xETyPXWhj9,URI 
[11942] ADD,xETyPXWhj9,95298.91 
[12207] QUOTE,xETyPXWhj9,DPG 
[12450] QUOTE,xETyPXWhj9,KVJ 
[12454] BUY,xETyPXWhj9,MXN,34.62 
[12481] CANCEL_BUY,xETyPXWhj9 
[12824] DISPLAY_SUMMARY,xETyPXWhj9 
[12836] SELL,xETyPXWhj9,KES,4.69 
[12918] COMMIT_SELL,xETyPXWhj9 
[13025] ADD,xETyPXWhj9,54479.44 
[13062] QUOTE,xETyPXWhj9,XXT 
[13140] QUOTE,xETyPXWhj9,EEG 
[13224] ADD,xETyPXWhj9,87568.16 
[13247] BUY,xETyPXWhj9,JNO,611.50 
[13307] COMMIT_BUY,xETyPXWhj9 
[13451] DISPLAY_SUMMARY,xETyPXWhj9 
[13521] SELL,xETyPXWhj9,KDA,20.77 
[13963] COMMIT_SELL,xETyPXWhj9 
[14053] SET_BUY_TRIGGER,xETyPXWhj9,HMR,158.52 
[14104] BUY,xETyPXWhj9,RLS,121.13 
[14170] SELL,xETyPXWhj9,JCQ,155.43 
[14214] COMMIT_SELL,xETyPXWhj9 
[14306] ADD,xETyPXWhj9,73908.67 
[14368] QUOTE,xETyPXWhj9,YVS 
[14404] QUOTE,xETyPXWhj9,KLE 
[14442] BUY,xETyPXWhj9,IWL,555.55 
[14595] COMMIT_BUY,xETyPXWhj9 
[14720] SET_BUY_AMOUNT,xETyPXWhj9,JCQ,490.39 
[14918] SET_BUY_TRIGGER,xETyPXWhj9,VTY,404.22 
[15236] DISPLAY_SUMMARY,xETyPXWhj9 
[15452] QUOTE,xETyPXWhj9,GTB 
[15528] COMMIT_SELL,xETyPXWhj9 
[15625] ADD,xETyPXWhj9,75268.87 
[15679] SELL,xETyPXWhj9,JCQ,210.50 
[15773] CANCEL_SET_SELL,xETyPXWhj9,LMB 
[15885] COMMIT_BUY,xETyPXWhj9 
[15962] SET_BUY_TRIGGER,xETyPXWhj9,LRS,94.32 
[15973] SET_SELL_AMOUNT,xETyPXWhj9,UTV,427.36 
[16116] SET_SELL_TRIGGER,xETyPXWhj9,UTV,294.44 
[16202] ADD,xETyPXWhj9,77637.72 
[16293] SET_SELL_AMOUNT,xETyPXWhj9,JCQ,322.23 
[16296] SET_SELL_TRIGGER,xETyPXWhj9,JCQ,227.56 
[16358] SET_SELL_AMOUNT,xETyPXWhj9,JQO,557.84 
[16572] DISPLAY_SUMMARY,xETyPXWhj9 
[16592] ADD,xETyPXWhj9,71469.93 
[16647] BUY,xETyPXWhj9,MMY,570.14 
[16764] COMMIT_BUY,xETyPXWhj9 
[16767] DISPLAY_SUMMARY,xETyPXWhj9 
[16772] SET_SELL_TRIGGER,xETyPXWhj9,JQO,197.41 
[16957] SELL,xETyPXWhj9,QJZ,136.02 
[17057] ADD,xETyPXWhj9,48158.35 
[17075] QUOTE,xETyPXWhj9,GWF 
[17151] BUY,xETyPXWhj9,GCW,173.14 
[17285] CANCEL_SET_SELL,xETyPXWhj9,URD 
[17297] BUY,xETyPXWhj9,JII,636.19 
[17399] COMMIT_BUY,xETyPXWhj9 
[17426] SET_BUY_AMOUNT,xETyPXWhj9,GYF,139.99 
[17633] SET_BUY_TRIGGER,xETyPXWhj9,JXW,100.48 
[17653] DISPLAY_SUMMARY,xETyPXWhj9 
[17655] QUOTE,xETyPXWhj9,QTH 
[17675] SET_BUY_TRIGGER,xETyPXWhj9,YBB,84.21 
[17845] SET_BUY_TRIGGER,xETyPXWhj9,OHG,99.30 
[17904] SET_BUY_TRIGGER,xETyPXWhj9,GGI,109.20 
[17946] CANCEL_BUY,xETyPXWhj9 
[18014] SET_SELL_AMOUNT,xETyPXWhj9,JCQ,253.59 
[18067] SET_SELL_TRIGGER,xETyPXWhj9,JCQ,71.23 
[18412] CANCEL_SELL,xETyPXWhj9 
[18422] SELL,xETyPXWhj9,EBS,564.15 
[18479] COMMIT_SELL,xETyPXWhj9 
[18495] SET_SELL_AMOUNT,xETyPXWhj9,JQO,325.50 
[18551] SET_SELL_TRIGGER,xETyPXWhj9,JQO,193.78 
