[9] ADD,xKgBJKhIlx,79140.22 
[191] SET_BUY_AMOUNT,xKgBJKhIlx,AOU,2.89 
[456] SET_BUY_TRIGGER,xKgBJKhIlx,AOU,1.38 
[469] BUY,xKgBJKhIlx,WQC,468.40 
[518] BUY,xKgBJKhIlx,PXF,100.09 
[519] COMMIT_BUY,xKgBJKhIlx 
[554] QUOTE,xKgBJKhIlx,AIN 
[586] BUY,xKgBJKhIlx,VOU,120.65 
[621] COMMIT_BUY,xKgBJKhIlx 
[698] DISPLAY_SUMMARY,xKgBJKhIlx 
[771] ADD,xKgBJKhIlx,61912.10 
[868] QUOTE,xKgBJKhIlx,IPH 
[888] BUY,xKgBJKhIlx,SKY,195.03 
[1004] COMMIT_BUY,xKgBJKhIlx 
[1226] QUOTE,xKgBJKhIlx,XBL 
[1363] QUOTE,xKgBJKhIlx,JKX 
[1476] ADD,xKgBJKhIlx,81249.67 
[1609] QUOTE,xKgBJKhIlx,JCQ 
[1670] QUOTE,xKgBJKhIlx,TFZ 
[1707] BUY,xKgBJKhIlx,ZQC,515.44 
[1808] COMMIT_BUY,xKgBJKhIlx 
[1896] SET_BUY_AMOUNT,xKgBJKhIlx,KDA,83.00 
[1934] SET_BUY_TRIGGER,xKgBJKhIlx,ZQS,18.22 
[1954] ADD,xKgBJKhIlx,56168.67 
[1990] QUOTE,xKgBJKhIlx,XII 
[2005] DISPLAY_SUMMARY,xKgBJKhIlx 
[2017] SET_SELL_TRIGGER,xKgBJKhIlx,NOP,83.75 
[2082] BUY,xKgBJKhIlx,SFR,552.58 
[2116] COMMIT_BUY,xKgBJKhIlx 
[2225] SET_BUY_AMOUNT,xKgBJKhIlx,KES,402.28 
[2257] SET_BUY_TRIGGER,xKgBJKhIlx,WUF,183.94 
[2269] DISPLAY_SUMMARY,xKgBJKhIlx 
[2413] BUY,xKgBJKhIlx,WNU,459.44 
[2601] CANCEL_BUY,xKgBJKhIlx 
[2633] ADD,xKgBJKhIlx,87430.38 
[2655] CANCEL_SELL,xKgBJKhIlx 
[2886] QUOTE,xKgBJKhIlx,KDA 
[2889] QUOTE,xKgBJKhIlx,GPW 
[3091] CANCEL_SET_BUY,xKgBJKhIlx,UMN 
[3122] SET_SELL_AMOUNT,xKgBJKhIlx,QJZ,89.67 
[3298] SET_SELL_TRIGGER,xKgBJKhIlx,QJZ,54.27 
[3335] SET_SELL_TRIGGER,xKgBJKhIlx,LVV,152.60 
[3336] SET_BUY_AMOUNT,xKgBJKhIlx,JVT,331.21 
[3576] SET_BUY_TRIGGER,xKgBJKhIlx,JDO,136.82 
[3966] ADD,xKgBJKhIlx,62939.86 
[4372] BUY,xKgBJKhIlx,TFZ,229.44 
[4380] BUY,xKgBJKhIlx,WRN,189.00 
[4419] CANCEL_SET_SELL,xKgBJKhIlx,TCP 
[4586] DISPLAY_SUMMARY,xKgBJKhIlx 
[4737] SET_SELL_AMOUNT,xKgBJKhIlx,QJZ,436.47 
[4743] SET_SELL_TRIGGER,xKgBJKhIlx,QJZ,395.29 
[4838] ADD,xKgBJKhIlx,59658.85 
[4859] QUOTE,xKgBJKhIlx,KCT 
[4886] SET_BUY_AMOUNT,xKgBJKhIlx,QJZ,90.81 
[4900] SET_BUY_TRIGGER,xKgBJKhIlx,YEH,48.42 
[4930] CANCEL_BUY,xKgBJKhIlx 
[5050] SET_BUY_AMOUNT,xKgBJKhIlx,KES,98.97 
