[104] ADD,xRR8b3q6bp,39668.61 
[164] COMMIT_BUY,xRR8b3q6bp 
[387] ADD,xRR8b3q6bp,45661.32 
[410] QUOTE,xRR8b3q6bp,JQJ 
[526] QUOTE,xRR8b3q6bp,KRX 
[598] SET_BUY_AMOUNT,xRR8b3q6bp,LEA,740.14 
[601] SET_BUY_TRIGGER,xRR8b3q6bp,LEA,41.52 
[636] ADD,xRR8b3q6bp,55862.13 
[713] COMMIT_BUY,xRR8b3q6bp 
[1250] SELL,xRR8b3q6bp,NRY,104.94 
[1327] SET_BUY_AMOUNT,xRR8b3q6bp,JUN,146.90 
[1396] DISPLAY_SUMMARY,xRR8b3q6bp 
[1398] COMMIT_SELL,xRR8b3q6bp 
[1478] SET_BUY_AMOUNT,xRR8b3q6bp,SNU,514.18 
[1709] SET_BUY_TRIGGER,xRR8b3q6bp,SNU,64.46 
[1780] CANCEL_SELL,xRR8b3q6bp 
[1849] ADD,xRR8b3q6bp,46173.93 
[1976] QUOTE,xRR8b3q6bp,ZJB 
[2143] SET_BUY_TRIGGER,xRR8b3q6bp,GPL,19.12 
[2229] ADD,xRR8b3q6bp,79545.50 
[2430] CANCEL_BUY,xRR8b3q6bp 
[2835] DISPLAY_SUMMARY,xRR8b3q6bp 
[2909] SET_SELL_AMOUNT,xRR8b3q6bp,WJB,348.14 
[3023] SET_SELL_TRIGGER,xRR8b3q6bp,WJB,268.34 
[3071] COMMIT_SELL,xRR8b3q6bp 
[3282] BUY,xRR8b3q6bp,FVZ,2.48 
[3283] COMMIT_BUY,xRR8b3q6bp 
[3496] ADD,xRR8b3q6bp,51925.51 
[3659] BUY,xRR8b3q6bp,JPD,610.32 
[3668] COMMIT_BUY,xRR8b3q6bp 
[4125] SELL,xRR8b3q6bp,QJZ,354.45 
[4286] CANCEL_SET_SELL,xRR8b3q6bp,ZUV 
[4317] SELL,xRR8b3q6bp,QJZ,460.40 
[4465] CANCEL_SELL,xRR8b3q6bp 
[4598] SET_BUY_AMOUNT,xRR8b3q6bp,QJZ,157.03 
[4643] QUOTE,xRR8b3q6bp,VOU 
[4656] QUOTE,xRR8b3q6bp,HZE 
[4908] DISPLAY_SUMMARY,xRR8b3q6bp 
[5052] SET_SELL_TRIGGER,xRR8b3q6bp,OFP,17.83 
[5124] ADD,xRR8b3q6bp,55488.87 
[5238] QUOTE,xRR8b3q6bp,KIP 
[5245] QUOTE,xRR8b3q6bp,LUT 
[5691] BUY,xRR8b3q6bp,ALG,282.84 
[5714] BUY,xRR8b3q6bp,PWK,568.79 
[5716] CANCEL_SELL,xRR8b3q6bp 
[5732] QUOTE,xRR8b3q6bp,HVE 
[5781] QUOTE,xRR8b3q6bp,QAX 
[5782] SELL,xRR8b3q6bp,FQP,457.87 
[5786] CANCEL_SELL,xRR8b3q6bp 
[5811] QUOTE,xRR8b3q6bp,YPL 
[5842] CANCEL_SET_BUY,xRR8b3q6bp,SHP 
[5861] CANCEL_SET_BUY,xRR8b3q6bp,DPG 
[5908] DISPLAY_SUMMARY,xRR8b3q6bp 
[5919] SELL,xRR8b3q6bp,QJZ,80.64 
[5946] SET_BUY_TRIGGER,xRR8b3q6bp,QTU,124.97 
[5980] SET_SELL_AMOUNT,xRR8b3q6bp,FQP,89.09 
[6170] SET_SELL_TRIGGER,xRR8b3q6bp,FQP,62.12 
[6431] SELL,xRR8b3q6bp,FQP,349.28 
[6512] CANCEL_SET_SELL,xRR8b3q6bp,YDD 
[6517] DISPLAY_SUMMARY,xRR8b3q6bp 
[6669] DISPLAY_SUMMARY,xRR8b3q6bp 
[6745] DISPLAY_SUMMARY,xRR8b3q6bp 
[6750] DISPLAY_SUMMARY,xRR8b3q6bp 
[6863] SET_BUY_TRIGGER,xRR8b3q6bp,PWK,30.62 
[6957] BUY,xRR8b3q6bp,IHA,213.96 
[7082] COMMIT_BUY,xRR8b3q6bp 
[7184] DISPLAY_SUMMARY,xRR8b3q6bp 
[7213] ADD,xRR8b3q6bp,71853.53 
[7258] BUY,xRR8b3q6bp,MZT,227.19 
[7525] COMMIT_BUY,xRR8b3q6bp 
[7548] SET_BUY_TRIGGER,xRR8b3q6bp,HSH,188.66 
[7819] BUY,xRR8b3q6bp,OZW,29.88 
[7989] CANCEL_SELL,xRR8b3q6bp 
[8027] QUOTE,xRR8b3q6bp,IVV 
[8164] QUOTE,xRR8b3q6bp,KIP 
[8173] SELL,xRR8b3q6bp,KES,522.80 
[8263] COMMIT_SELL,xRR8b3q6bp 
[8351] BUY,xRR8b3q6bp,VMT,248.44 
[8355] COMMIT_BUY,xRR8b3q6bp 
[8424] DISPLAY_SUMMARY,xRR8b3q6bp 
[8426] SELL,xRR8b3q6bp,KES,174.57 
[8588] COMMIT_SELL,xRR8b3q6bp 
[8747] SELL,xRR8b3q6bp,KDA,625.39 
[9018] SET_SELL_TRIGGER,xRR8b3q6bp,FCH,52.47 
[9086] ADD,xRR8b3q6bp,59102.42 
[9265] QUOTE,xRR8b3q6bp,WJP 
[9414] BUY,xRR8b3q6bp,ZJB,736.79 
[9487] COMMIT_BUY,xRR8b3q6bp 
[9610] QUOTE,xRR8b3q6bp,NKC 
[9667] SET_BUY_AMOUNT,xRR8b3q6bp,QJZ,397.90 
[9745] SET_BUY_TRIGGER,xRR8b3q6bp,BHQ,231.64 
[9748] BUY,xRR8b3q6bp,HNW,10.02 
[9796] CANCEL_BUY,xRR8b3q6bp 
[9934] QUOTE,xRR8b3q6bp,DJD 
[10077] BUY,xRR8b3q6bp,YAV,187.72 
[10155] COMMIT_SELL,xRR8b3q6bp 
[10529] QUOTE,xRR8b3q6bp,HEJ 
[10585] ADD,xRR8b3q6bp,56519.11 
[10596] SELL,xRR8b3q6bp,KDA,376.13 
[10621] CANCEL_SELL,xRR8b3q6bp 
[10680] ADD,xRR8b3q6bp,49579.22 
[10853] BUY,xRR8b3q6bp,OEM,509.94 
[10879] COMMIT_BUY,xRR8b3q6bp 
[10911] SET_SELL_TRIGGER,xRR8b3q6bp,RQT,125.34 
[11093] BUY,xRR8b3q6bp,PJW,742.38 
[11388] CANCEL_BUY,xRR8b3q6bp 
[11440] SET_BUY_AMOUNT,xRR8b3q6bp,KES,59.85 
[11560] SELL,xRR8b3q6bp,FQP,275.43 
[11575] COMMIT_SELL,xRR8b3q6bp 
[11693] SELL,xRR8b3q6bp,KDA,464.22 
[11713] CANCEL_BUY,xRR8b3q6bp 
[11974] BUY,xRR8b3q6bp,BBD,723.15 
[11988] COMMIT_BUY,xRR8b3q6bp 
[12058] SET_SELL_AMOUNT,xRR8b3q6bp,JVT,360.55 
[12236] CANCEL_SET_SELL,xRR8b3q6bp,JVT 
[12318] SET_SELL_AMOUNT,xRR8b3q6bp,KES,687.96 
[12324] SET_SELL_TRIGGER,xRR8b3q6bp,KES,347.35 
