[227] ADD,xgci4T0tkO,58853.42 
[257] BUY,xgci4T0tkO,YOQ,339.17 
[266] COMMIT_BUY,xgci4T0tkO 
[532] CANCEL_SELL,xgci4T0tkO 
[614] QUOTE,xgci4T0tkO,KAR 
[657] BUY,xgci4T0tkO,HHC,477.83 
[893] CANCEL_SET_BUY,xgci4T0tkO,NIR 
[1047] QUOTE,xgci4T0tkO,WZM 
[1142] QUOTE,xgci4T0tkO,GCL 
[1187] QUOTE,xgci4T0tkO,VQA 
[1260] QUOTE,xgci4T0tkO,QHF 
[1331] COMMIT_SELL,xgci4T0tkO 
[1356] DISPLAY_SUMMARY,xgci4T0tkO 
[1550] CANCEL_BUY,xgci4T0tkO 
[1602] QUOTE,xgci4T0tkO,RWM 
[1686] CANCEL_SET_SELL,xgci4T0tkO,YUL 
[1908] SET_BUY_TRIGGER,xgci4T0tkO,OXV,117.71 
[1916] SELL,xgci4T0tkO,QJZ,322.68 
[2002] SET_SELL_AMOUNT,xgci4T0tkO,QJZ,480.04 
[2188] SET_SELL_TRIGGER,xgci4T0tkO,QJZ,467.95 
[2408] BUY,xgci4T0tkO,JNO,243.18 
[2556] QUOTE,xgci4T0tkO,YWK 
[2624] BUY,xgci4T0tkO,FTJ,289.95 
[2668] COMMIT_BUY,xgci4T0tkO 
[2685] ADD,xgci4T0tkO,55662.16 
[3313] QUOTE,xgci4T0tkO,MQX 
[3484] DISPLAY_SUMMARY,xgci4T0tkO 
[3524] SET_SELL_AMOUNT,xgci4T0tkO,QJZ,95.29 
[3761] SET_SELL_TRIGGER,xgci4T0tkO,QJZ,34.12 
[3854] SET_BUY_AMOUNT,xgci4T0tkO,QJZ,299.37 
[3881] SET_BUY_TRIGGER,xgci4T0tkO,GRM,4.51 
[4051] ADD,xgci4T0tkO,73503.29 
[4186] BUY,xgci4T0tkO,ZNL,494.19 
[4241] COMMIT_BUY,xgci4T0tkO 
[4304] DISPLAY_SUMMARY,xgci4T0tkO 
[4339] SET_SELL_AMOUNT,xgci4T0tkO,FQP,212.09 
[4613] DISPLAY_SUMMARY,xgci4T0tkO 
[4614] ADD,xgci4T0tkO,101483.26 
[4650] COMMIT_SELL,xgci4T0tkO 
[4738] SET_SELL_TRIGGER,xgci4T0tkO,FQP,44.48 
[4890] DISPLAY_SUMMARY,xgci4T0tkO 
[4985] SET_BUY_AMOUNT,xgci4T0tkO,KDA,261.42 
[5196] BUY,xgci4T0tkO,NLP,66.26 
[5299] CANCEL_BUY,xgci4T0tkO 
[5376] SET_SELL_TRIGGER,xgci4T0tkO,NDO,117.98 
[5422] ADD,xgci4T0tkO,65285.58 
[5430] QUOTE,xgci4T0tkO,JXR 
[5449] BUY,xgci4T0tkO,NKC,740.02 
[5480] COMMIT_BUY,xgci4T0tkO 
[5483] DISPLAY_SUMMARY,xgci4T0tkO 
[5514] SET_SELL_AMOUNT,xgci4T0tkO,QJZ,65.90 
[5516] SET_SELL_TRIGGER,xgci4T0tkO,QJZ,37.24 
[5547] DISPLAY_SUMMARY,xgci4T0tkO 
[5592] QUOTE,xgci4T0tkO,FRB 
[5637] COMMIT_BUY,xgci4T0tkO 
[5828] SET_BUY_TRIGGER,xgci4T0tkO,YZC,141.20 
[5924] DISPLAY_SUMMARY,xgci4T0tkO 
[6000] DISPLAY_SUMMARY,xgci4T0tkO 
[6010] SET_SELL_TRIGGER,xgci4T0tkO,BTD,80.50 
[6040] SET_SELL_AMOUNT,xgci4T0tkO,KES,363.78 
[6110] SET_SELL_TRIGGER,xgci4T0tkO,KES,357.11 
[6148] DISPLAY_SUMMARY,xgci4T0tkO 
[6393] DISPLAY_SUMMARY,xgci4T0tkO 
[6395] SET_BUY_TRIGGER,xgci4T0tkO,TTV,108.25 
[6432] CANCEL_SET_BUY,xgci4T0tkO,YZH 
[6515] SET_BUY_TRIGGER,xgci4T0tkO,GKD,125.06 
[6603] QUOTE,xgci4T0tkO,LAW 
[6655] BUY,xgci4T0tkO,TSS,227.74 
[6786] CANCEL_SELL,xgci4T0tkO 
[6793] ADD,xgci4T0tkO,93028.03 
[6948] QUOTE,xgci4T0tkO,JNO 
[7131] BUY,xgci4T0tkO,ZRH,307.54 
[7209] COMMIT_BUY,xgci4T0tkO 
[7239] DISPLAY_SUMMARY,xgci4T0tkO 
[7424] QUOTE,xgci4T0tkO,GJR 
[7678] BUY,xgci4T0tkO,RYU,123.56 
[7741] CANCEL_SELL,xgci4T0tkO 
[7795] COMMIT_BUY,xgci4T0tkO 
[7802] DISPLAY_SUMMARY,xgci4T0tkO 
[7818] ADD,xgci4T0tkO,59628.78 
[7820] QUOTE,xgci4T0tkO,CVK 
[7833] SET_BUY_AMOUNT,xgci4T0tkO,KES,225.89 
[7835] SET_BUY_TRIGGER,xgci4T0tkO,KBN,216.42 
[7854] SET_BUY_TRIGGER,xgci4T0tkO,PXF,101.82 
[7857] DISPLAY_SUMMARY,xgci4T0tkO 
[7906] QUOTE,xgci4T0tkO,KDG 
[7918] SET_BUY_AMOUNT,xgci4T0tkO,JVT,121.58 
[7925] SET_BUY_TRIGGER,xgci4T0tkO,AJL,40.48 
[7985] SET_SELL_AMOUNT,xgci4T0tkO,KES,394.08 
[8137] SET_SELL_TRIGGER,xgci4T0tkO,KES,184.55 
[8277] DISPLAY_SUMMARY,xgci4T0tkO 
[8428] ADD,xgci4T0tkO,65522.42 
[8607] QUOTE,xgci4T0tkO,NDO 
[8681] ADD,xgci4T0tkO,54879.19 
[8713] CANCEL_SELL,xgci4T0tkO 
[8919] BUY,xgci4T0tkO,OOI,49.22 
[9074] COMMIT_BUY,xgci4T0tkO 
[9115] ADD,xgci4T0tkO,91356.68 
[9387] BUY,xgci4T0tkO,QLM,38.97 
[9477] COMMIT_BUY,xgci4T0tkO 
[9557] ADD,xgci4T0tkO,80818.93 
[9716] QUOTE,xgci4T0tkO,WSG 
[9754] SET_SELL_TRIGGER,xgci4T0tkO,IBT,148.34 
[9844] SET_BUY_AMOUNT,xgci4T0tkO,JCQ,702.97 
[9944] SET_BUY_TRIGGER,xgci4T0tkO,NSW,404.47 
[10439] DISPLAY_SUMMARY,xgci4T0tkO 
[10488] SET_BUY_AMOUNT,xgci4T0tkO,JVT,162.97 
[10527] SET_BUY_TRIGGER,xgci4T0tkO,WUL,101.44 
[10538] QUOTE,xgci4T0tkO,JHY 
[10741] BUY,xgci4T0tkO,DWC,324.05 
[10799] BUY,xgci4T0tkO,FMJ,493.20 
[10848] CANCEL_SET_SELL,xgci4T0tkO,GPW 
[10856] SET_BUY_AMOUNT,xgci4T0tkO,JCQ,276.10 
[10865] SET_BUY_TRIGGER,xgci4T0tkO,RQS,230.63 
[11019] ADD,xgci4T0tkO,98917.23 
[11142] QUOTE,xgci4T0tkO,MIQ 
[11148] ADD,xgci4T0tkO,51196.72 
[11222] CANCEL_BUY,xgci4T0tkO 
[11314] BUY,xgci4T0tkO,SYN,613.10 
[11348] QUOTE,xgci4T0tkO,NJI 
[11511] CANCEL_SET_BUY,xgci4T0tkO,NKC 
[11638] DISPLAY_SUMMARY,xgci4T0tkO 
[11680] QUOTE,xgci4T0tkO,LLD 
[11801] SET_BUY_TRIGGER,xgci4T0tkO,HHG,31.28 
[11869] DISPLAY_SUMMARY,xgci4T0tkO 
[11949] DISPLAY_SUMMARY,xgci4T0tkO 
[11982] SET_BUY_AMOUNT,xgci4T0tkO,OEY,262.57 
[12130] SET_BUY_TRIGGER,xgci4T0tkO,ULL,70.10 
[12218] SET_SELL_TRIGGER,xgci4T0tkO,ECI,93.49 
[12244] ADD,xgci4T0tkO,60156.49 
[12593] BUY,xgci4T0tkO,OHG,475.10 
[12707] COMMIT_BUY,xgci4T0tkO 
[12733] SET_SELL_AMOUNT,xgci4T0tkO,JVT,157.38 
[12882] SELL,xgci4T0tkO,JCQ,198.77 
[12901] COMMIT_SELL,xgci4T0tkO 
[12983] SET_SELL_AMOUNT,xgci4T0tkO,KES,156.94 
[13119] SELL,xgci4T0tkO,JCQ,49.63 
[13128] SET_BUY_AMOUNT,xgci4T0tkO,QJZ,313.30 
[13321] DISPLAY_SUMMARY,xgci4T0tkO 
[13383] SET_SELL_TRIGGER,xgci4T0tkO,KES,58.16 
[13418] DISPLAY_SUMMARY,xgci4T0tkO 
[13449] SET_BUY_AMOUNT,xgci4T0tkO,OEY,285.59 
[13599] SET_BUY_TRIGGER,xgci4T0tkO,MAX,60.99 
[13765] ADD,xgci4T0tkO,81107.52 
[14001] QUOTE,xgci4T0tkO,ATW 
[14043] QUOTE,xgci4T0tkO,DMS 
[14201] CANCEL_SELL,xgci4T0tkO 
[14441] SET_BUY_AMOUNT,xgci4T0tkO,QJZ,671.92 
[14731] SELL,xgci4T0tkO,FQP,322.89 
[14771] COMMIT_SELL,xgci4T0tkO 
[14824] SET_BUY_AMOUNT,xgci4T0tkO,GYF,439.44 
[14939] SET_BUY_TRIGGER,xgci4T0tkO,XQG,370.20 
[15051] ADD,xgci4T0tkO,81794.18 
[15059] QUOTE,xgci4T0tkO,YOQ 
[15067] ADD,xgci4T0tkO,78397.69 
[15151] QUOTE,xgci4T0tkO,KYX 
[15273] BUY,xgci4T0tkO,AOU,178.64 
[15465] SET_BUY_AMOUNT,xgci4T0tkO,KDA,702.25 
[15467] SET_BUY_TRIGGER,xgci4T0tkO,PVZ,219.25 
[15619] ADD,xgci4T0tkO,85844.35 
[15698] QUOTE,xgci4T0tkO,JPD 
[15808] BUY,xgci4T0tkO,QZN,544.38 
[15884] COMMIT_BUY,xgci4T0tkO 
[16151] QUOTE,xgci4T0tkO,FVZ 
[16254] BUY,xgci4T0tkO,NHB,108.46 
[16334] SET_SELL_TRIGGER,xgci4T0tkO,WNX,28.22 
[16420] DISPLAY_SUMMARY,xgci4T0tkO 
[16554] SET_SELL_AMOUNT,xgci4T0tkO,OEY,68.67 
[16661] DISPLAY_SUMMARY,xgci4T0tkO 
[16693] SET_BUY_AMOUNT,xgci4T0tkO,OEY,309.19 
[16884] SET_BUY_TRIGGER,xgci4T0tkO,SJH,127.50 
[17022] SET_BUY_TRIGGER,xgci4T0tkO,OIV,41.24 
[17205] DISPLAY_SUMMARY,xgci4T0tkO 
[17436] SET_SELL_AMOUNT,xgci4T0tkO,OEY,284.44 
[17478] QUOTE,xgci4T0tkO,HPN 
[17568] QUOTE,xgci4T0tkO,LJY 
[17637] QUOTE,xgci4T0tkO,SYM 
[17694] QUOTE,xgci4T0tkO,WJS 
[17740] ADD,xgci4T0tkO,93352.61 
[18216] BUY,xgci4T0tkO,EGB,91.60 
[18276] COMMIT_BUY,xgci4T0tkO 
[18291] DISPLAY_SUMMARY,xgci4T0tkO 
[18355] DISPLAY_SUMMARY,xgci4T0tkO 
[18450] SET_BUY_TRIGGER,xgci4T0tkO,CIP,121.73 
[18462] ADD,xgci4T0tkO,64487.51 
[18785] COMMIT_SELL,xgci4T0tkO 
[18916] SET_SELL_TRIGGER,xgci4T0tkO,OEY,35.08 
[19309] DISPLAY_SUMMARY,xgci4T0tkO 
[19401] SELL,xgci4T0tkO,KDA,586.88 
[19464] COMMIT_SELL,xgci4T0tkO 
[19527] DISPLAY_SUMMARY,xgci4T0tkO 
[19556] DISPLAY_SUMMARY,xgci4T0tkO 
[19707] DISPLAY_SUMMARY,xgci4T0tkO 
[19887] ADD,xgci4T0tkO,88077.61 
[19928] BUY,xgci4T0tkO,YOG,304.59 
[20114] COMMIT_BUY,xgci4T0tkO 
[20153] SET_SELL_TRIGGER,xgci4T0tkO,TKV,44.45 
[20154] SELL,xgci4T0tkO,FQP,730.32 
[20161] COMMIT_SELL,xgci4T0tkO 
[20250] COMMIT_SELL,xgci4T0tkO 
[20333] SET_BUY_TRIGGER,xgci4T0tkO,AHE,161.93 
[20691] ADD,xgci4T0tkO,85432.23 
[20787] BUY,xgci4T0tkO,IIX,104.47 
[21128] BUY,xgci4T0tkO,YUL,668.75 
[21198] SET_SELL_TRIGGER,xgci4T0tkO,OEM,112.62 
[21328] BUY,xgci4T0tkO,USW,742.34 
[21612] COMMIT_BUY,xgci4T0tkO 
[21630] ADD,xgci4T0tkO,58787.09 
[21656] BUY,xgci4T0tkO,KJD,660.16 
[21767] SET_BUY_AMOUNT,xgci4T0tkO,EBS,675.59 
[21772] SET_BUY_TRIGGER,xgci4T0tkO,RRE,574.50 
[21779] SET_BUY_AMOUNT,xgci4T0tkO,JVT,4.88 
[21910] SET_BUY_TRIGGER,xgci4T0tkO,WPG,4.55 
[21942] SET_SELL_AMOUNT,xgci4T0tkO,OEY,509.91 
[22650] DISPLAY_SUMMARY,xgci4T0tkO 
[22699] SET_BUY_TRIGGER,xgci4T0tkO,JJW,87.31 
[22769] SELL,xgci4T0tkO,QJZ,471.37 
[22882] COMMIT_SELL,xgci4T0tkO 
[23256] ADD,xgci4T0tkO,61460.72 
[23322] BUY,xgci4T0tkO,SYT,101.42 
[23362] COMMIT_BUY,xgci4T0tkO 
[23421] DISPLAY_SUMMARY,xgci4T0tkO 
[23428] DISPLAY_SUMMARY,xgci4T0tkO 
[23467] DISPLAY_SUMMARY,xgci4T0tkO 
[23657] SET_SELL_AMOUNT,xgci4T0tkO,QJZ,734.37 
[23895] SET_SELL_TRIGGER,xgci4T0tkO,QJZ,549.17 
[23906] DISPLAY_SUMMARY,xgci4T0tkO 
[23980] QUOTE,xgci4T0tkO,GJR 
[24048] BUY,xgci4T0tkO,DJD,45.72 
[24159] SELL,xgci4T0tkO,KDA,412.31 
[24219] CANCEL_SELL,xgci4T0tkO 
[24330] SET_BUY_TRIGGER,xgci4T0tkO,PYM,111.09 
[24373] SET_BUY_TRIGGER,xgci4T0tkO,YPW,162.50 
[24648] ADD,xgci4T0tkO,65472.07 
[24725] QUOTE,xgci4T0tkO,FKZ 
[24732] SET_BUY_TRIGGER,xgci4T0tkO,AVH,179.91 
[24753] SELL,xgci4T0tkO,JRJ,198.57 
