[160] ADD,xka9Jdr7ac,85039.82 
[180] CANCEL_SELL,xka9Jdr7ac 
[181] CANCEL_SET_SELL,xka9Jdr7ac,OEN 
[187] SET_SELL_AMOUNT,xka9Jdr7ac,FDI,322.31 
[244] DISPLAY_SUMMARY,xka9Jdr7ac 
[256] SET_BUY_AMOUNT,xka9Jdr7ac,UGG,610.93 
[301] BUY,xka9Jdr7ac,JXW,23.77 
[402] CANCEL_BUY,xka9Jdr7ac 
[450] BUY,xka9Jdr7ac,KXF,493.07 
[546] COMMIT_BUY,xka9Jdr7ac 
[552] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,433.38 
[643] SET_BUY_TRIGGER,xka9Jdr7ac,FFI,70.30 
[702] SELL,xka9Jdr7ac,QJZ,701.26 
[846] COMMIT_BUY,xka9Jdr7ac 
[849] SET_SELL_AMOUNT,xka9Jdr7ac,QJZ,389.96 
[871] SET_SELL_TRIGGER,xka9Jdr7ac,QJZ,187.00 
[1013] ADD,xka9Jdr7ac,78430.85 
[1070] QUOTE,xka9Jdr7ac,JHY 
[1167] SELL,xka9Jdr7ac,QJZ,467.86 
[1175] COMMIT_SELL,xka9Jdr7ac 
[1288] DISPLAY_SUMMARY,xka9Jdr7ac 
[1297] SET_BUY_TRIGGER,xka9Jdr7ac,IFQ,85.31 
[1311] SET_SELL_AMOUNT,xka9Jdr7ac,QJZ,455.29 
[1351] CANCEL_SET_SELL,xka9Jdr7ac,QJZ 
[1489] QUOTE,xka9Jdr7ac,QTU 
[1552] DISPLAY_SUMMARY,xka9Jdr7ac 
[1586] ADD,xka9Jdr7ac,91364.20 
[1694] BUY,xka9Jdr7ac,KYX,374.35 
[1772] CANCEL_SET_SELL,xka9Jdr7ac,SCW 
[1806] QUOTE,xka9Jdr7ac,OHG 
[1919] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,706.53 
[1937] DISPLAY_SUMMARY,xka9Jdr7ac 
[2020] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,38.97 
[2025] CANCEL_SET_BUY,xka9Jdr7ac,RRT 
[2084] DISPLAY_SUMMARY,xka9Jdr7ac 
[2112] SET_BUY_TRIGGER,xka9Jdr7ac,BVN,176.12 
[2358] SET_SELL_AMOUNT,xka9Jdr7ac,QJZ,282.09 
[2478] SET_SELL_TRIGGER,xka9Jdr7ac,QJZ,168.47 
[2489] ADD,xka9Jdr7ac,68683.42 
[2538] QUOTE,xka9Jdr7ac,YKB 
[2594] BUY,xka9Jdr7ac,VXY,261.08 
[2751] SET_BUY_TRIGGER,xka9Jdr7ac,MHR,110.81 
[2834] DISPLAY_SUMMARY,xka9Jdr7ac 
[2915] ADD,xka9Jdr7ac,54984.42 
[3084] BUY,xka9Jdr7ac,ZGN,717.53 
[3191] COMMIT_BUY,xka9Jdr7ac 
[3196] BUY,xka9Jdr7ac,WTL,431.94 
[3425] SET_SELL_AMOUNT,xka9Jdr7ac,FQP,91.53 
[4105] SET_SELL_TRIGGER,xka9Jdr7ac,FQP,53.04 
[4159] QUOTE,xka9Jdr7ac,DWF 
[4295] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,307.56 
[4308] SELL,xka9Jdr7ac,FQP,101.13 
[4537] COMMIT_SELL,xka9Jdr7ac 
[4570] QUOTE,xka9Jdr7ac,PMG 
[4806] BUY,xka9Jdr7ac,PVZ,130.06 
[4827] COMMIT_BUY,xka9Jdr7ac 
[4867] QUOTE,xka9Jdr7ac,ZTI 
[4913] ADD,xka9Jdr7ac,57985.49 
[4966] QUOTE,xka9Jdr7ac,OLH 
[5036] BUY,xka9Jdr7ac,KAO,203.03 
[5126] COMMIT_BUY,xka9Jdr7ac 
[5225] SELL,xka9Jdr7ac,FQP,738.65 
[5332] DISPLAY_SUMMARY,xka9Jdr7ac 
[5419] SET_BUY_AMOUNT,xka9Jdr7ac,QJZ,288.64 
[5448] CANCEL_SET_BUY,xka9Jdr7ac,FPV 
[5570] BUY,xka9Jdr7ac,SQO,210.28 
[5686] COMMIT_BUY,xka9Jdr7ac 
[5768] CANCEL_SET_BUY,xka9Jdr7ac,MIU 
[5939] ADD,xka9Jdr7ac,50914.35 
[6149] BUY,xka9Jdr7ac,SAJ,340.75 
[6386] COMMIT_BUY,xka9Jdr7ac 
[6456] SET_SELL_AMOUNT,xka9Jdr7ac,KDA,720.78 
[6482] SET_SELL_TRIGGER,xka9Jdr7ac,KDA,645.47 
[6575] DISPLAY_SUMMARY,xka9Jdr7ac 
[6678] ADD,xka9Jdr7ac,76738.46 
[6812] QUOTE,xka9Jdr7ac,CWA 
[6813] COMMIT_BUY,xka9Jdr7ac 
