[13] ADD,y5IWeezXEN,74831.27 
[102] QUOTE,y5IWeezXEN,BMQ 
[218] BUY,y5IWeezXEN,URY,221.08 
[415] SET_SELL_AMOUNT,y5IWeezXEN,HRJ,679.06 
[627] SELL,y5IWeezXEN,HTD,59.47 
[787] COMMIT_SELL,y5IWeezXEN 
[976] CANCEL_SET_SELL,y5IWeezXEN,HRJ 
[1063] QUOTE,y5IWeezXEN,UGT 
[1137] BUY,y5IWeezXEN,PFK,560.26 
[1195] COMMIT_BUY,y5IWeezXEN 
[1253] DISPLAY_SUMMARY,y5IWeezXEN 
[1289] SET_BUY_AMOUNT,y5IWeezXEN,QJZ,103.99 
[1344] CANCEL_SET_BUY,y5IWeezXEN,XVK 
[1451] ADD,y5IWeezXEN,73136.57 
[1461] SELL,y5IWeezXEN,QJZ,555.85 
[1523] COMMIT_SELL,y5IWeezXEN 
[1611] SET_SELL_TRIGGER,y5IWeezXEN,SCK,71.68 
[1764] SET_BUY_AMOUNT,y5IWeezXEN,QJZ,647.51 
[1882] DISPLAY_SUMMARY,y5IWeezXEN 
[1927] ADD,y5IWeezXEN,77503.10 
[2016] QUOTE,y5IWeezXEN,YVX 
[2306] ADD,y5IWeezXEN,92556.73 
[2553] QUOTE,y5IWeezXEN,LLD 
[2619] QUOTE,y5IWeezXEN,EHF 
[2661] CANCEL_SET_SELL,y5IWeezXEN,CLQ 
[2691] BUY,y5IWeezXEN,BLC,548.01 
[2754] COMMIT_BUY,y5IWeezXEN 
[2906] BUY,y5IWeezXEN,WKD,17.07 
[3044] COMMIT_BUY,y5IWeezXEN 
[3448] DISPLAY_SUMMARY,y5IWeezXEN 
[3481] DISPLAY_SUMMARY,y5IWeezXEN 
[3762] QUOTE,y5IWeezXEN,JEO 
[3820] QUOTE,y5IWeezXEN,WJB 
[3926] BUY,y5IWeezXEN,CEC,81.50 
[4023] SELL,y5IWeezXEN,QJZ,123.67 
[4133] COMMIT_SELL,y5IWeezXEN 
[4364] BUY,y5IWeezXEN,VIG,269.91 
[4468] COMMIT_BUY,y5IWeezXEN 
[4523] DISPLAY_SUMMARY,y5IWeezXEN 
[4593] SELL,y5IWeezXEN,KDA,700.69 
[4595] COMMIT_SELL,y5IWeezXEN 
[4713] ADD,y5IWeezXEN,81904.36 
[4788] QUOTE,y5IWeezXEN,MMY 
[4984] BUY,y5IWeezXEN,KTU,8.18 
[5088] SET_BUY_AMOUNT,y5IWeezXEN,FQP,72.60 
[5473] SET_BUY_TRIGGER,y5IWeezXEN,CBV,54.28 
[5495] SET_BUY_AMOUNT,y5IWeezXEN,QJZ,609.96 
[5596] SET_BUY_TRIGGER,y5IWeezXEN,XRK,377.49 
[5602] SELL,y5IWeezXEN,KDA,22.82 
[5604] QUOTE,y5IWeezXEN,XME 
[5812] BUY,y5IWeezXEN,CXN,366.86 
[5879] COMMIT_BUY,y5IWeezXEN 
[6064] DISPLAY_SUMMARY,y5IWeezXEN 
[6092] QUOTE,y5IWeezXEN,BYA 
[6312] SET_BUY_TRIGGER,y5IWeezXEN,SAJ,124.66 
[6359] DISPLAY_SUMMARY,y5IWeezXEN 
[6588] ADD,y5IWeezXEN,64256.04 
[6662] BUY,y5IWeezXEN,EED,663.33 
[6777] COMMIT_BUY,y5IWeezXEN 
[6832] ADD,y5IWeezXEN,104987.95 
[7196] QUOTE,y5IWeezXEN,DED 
[7257] COMMIT_SELL,y5IWeezXEN 
[7337] SET_SELL_AMOUNT,y5IWeezXEN,FQP,382.50 
[7385] SET_SELL_TRIGGER,y5IWeezXEN,FQP,26.43 
[7487] ADD,y5IWeezXEN,60869.19 
[7547] SET_BUY_TRIGGER,y5IWeezXEN,JNO,75.82 
[8040] SELL,y5IWeezXEN,JVT,533.75 
[8084] CANCEL_SET_SELL,y5IWeezXEN,OIV 
[8214] DISPLAY_SUMMARY,y5IWeezXEN 
[8224] DISPLAY_SUMMARY,y5IWeezXEN 
[8233] ADD,y5IWeezXEN,61048.73 
[8234] QUOTE,y5IWeezXEN,HQU 
[8297] QUOTE,y5IWeezXEN,VNO 
[8633] QUOTE,y5IWeezXEN,DTG 
[8717] SET_BUY_TRIGGER,y5IWeezXEN,VOU,129.89 
[8794] QUOTE,y5IWeezXEN,LJZ 
[8877] QUOTE,y5IWeezXEN,QVK 
[8933] BUY,y5IWeezXEN,CBV,432.66 
[9036] SET_BUY_TRIGGER,y5IWeezXEN,IIX,43.54 
[9038] BUY,y5IWeezXEN,VDP,190.51 
[9216] COMMIT_BUY,y5IWeezXEN 
[9313] SET_BUY_TRIGGER,y5IWeezXEN,FOW,15.82 
[9399] ADD,y5IWeezXEN,97981.22 
[9484] QUOTE,y5IWeezXEN,PUC 
[9535] ADD,y5IWeezXEN,74202.67 
[9564] CANCEL_SET_SELL,y5IWeezXEN,YKB 
[9646] SET_BUY_AMOUNT,y5IWeezXEN,KES,678.50 
[9860] SELL,y5IWeezXEN,GYF,520.62 
[9968] CANCEL_SET_BUY,y5IWeezXEN,JFJ 
[9999] DISPLAY_SUMMARY,y5IWeezXEN 
[10105] ADD,y5IWeezXEN,78568.14 
[10123] SET_SELL_AMOUNT,y5IWeezXEN,JVT,395.34 
[10161] SET_SELL_TRIGGER,y5IWeezXEN,JVT,218.01 
[10184] QUOTE,y5IWeezXEN,MWB 
[10226] DISPLAY_SUMMARY,y5IWeezXEN 
[10230] SET_SELL_TRIGGER,y5IWeezXEN,IGT,64.72 
[10661] SELL,y5IWeezXEN,KES,99.97 
[10698] CANCEL_SET_BUY,y5IWeezXEN,VVW 
[10701] SET_SELL_TRIGGER,y5IWeezXEN,ZYF,123.53 
[10809] DISPLAY_SUMMARY,y5IWeezXEN 
[10921] SELL,y5IWeezXEN,FQP,24.56 
[11010] SET_BUY_AMOUNT,y5IWeezXEN,OEY,526.98 
[11406] SET_BUY_TRIGGER,y5IWeezXEN,ZHB,438.93 
[11408] BUY,y5IWeezXEN,JII,163.35 
[11811] COMMIT_BUY,y5IWeezXEN 
[11871] SELL,y5IWeezXEN,QJZ,170.22 
[11917] BUY,y5IWeezXEN,XUH,563.14 
[11921] COMMIT_BUY,y5IWeezXEN 
[11963] ADD,y5IWeezXEN,80128.88 
[12044] QUOTE,y5IWeezXEN,DLX 
[12045] QUOTE,y5IWeezXEN,EWP 
[12099] QUOTE,y5IWeezXEN,ZAM 
[12203] QUOTE,y5IWeezXEN,MMF 
[12301] QUOTE,y5IWeezXEN,MVD 
[12397] QUOTE,y5IWeezXEN,YBP 
[12599] SET_BUY_TRIGGER,y5IWeezXEN,OAS,175.15 
[12621] DISPLAY_SUMMARY,y5IWeezXEN 
[12739] QUOTE,y5IWeezXEN,FQR 
[12878] SET_BUY_TRIGGER,y5IWeezXEN,AHE,64.11 
[12928] SELL,y5IWeezXEN,JVT,479.82 
[13080] ADD,y5IWeezXEN,83845.10 
[13143] BUY,y5IWeezXEN,YIQ,94.24 
[13273] SET_BUY_TRIGGER,y5IWeezXEN,MIQ,96.98 
[13322] QUOTE,y5IWeezXEN,WAO 
[13397] BUY,y5IWeezXEN,RRE,354.42 
[13702] SET_SELL_TRIGGER,y5IWeezXEN,HRJ,33.42 
[13785] DISPLAY_SUMMARY,y5IWeezXEN 
[13903] ADD,y5IWeezXEN,63945.93 
[13947] BUY,y5IWeezXEN,LEA,430.33 
[13970] QUOTE,y5IWeezXEN,DWK 
[14173] QUOTE,y5IWeezXEN,ZJB 
[14417] BUY,y5IWeezXEN,QOQ,748.99 
[14452] COMMIT_BUY,y5IWeezXEN 
[14467] SET_SELL_AMOUNT,y5IWeezXEN,FQP,339.71 
[14471] SET_SELL_TRIGGER,y5IWeezXEN,FQP,197.75 
[14648] SET_SELL_AMOUNT,y5IWeezXEN,QJZ,533.05 
[14661] CANCEL_SET_SELL,y5IWeezXEN,QJZ 
[14948] DISPLAY_SUMMARY,y5IWeezXEN 
[15076] DISPLAY_SUMMARY,y5IWeezXEN 
[15105] SET_SELL_TRIGGER,y5IWeezXEN,DXQ,112.41 
[15114] ADD,y5IWeezXEN,58993.82 
[15244] QUOTE,y5IWeezXEN,ZPD 
[15246] SELL,y5IWeezXEN,OEY,506.36 
[15266] COMMIT_SELL,y5IWeezXEN 
[15364] SELL,y5IWeezXEN,QJZ,84.09 
[15395] CANCEL_SET_BUY,y5IWeezXEN,RFC 
[15495] CANCEL_SET_SELL,y5IWeezXEN,BHQ 
[15512] COMMIT_SELL,y5IWeezXEN 
[15564] SET_SELL_TRIGGER,y5IWeezXEN,COE,101.95 
[15620] SET_BUY_AMOUNT,y5IWeezXEN,FQP,231.76 
[15650] SELL,y5IWeezXEN,GYF,458.74 
[15709] ADD,y5IWeezXEN,89172.33 
[15733] QUOTE,y5IWeezXEN,NJI 
[15827] QUOTE,y5IWeezXEN,RDK 
[15844] BUY,y5IWeezXEN,FVZ,183.37 
[15846] CANCEL_BUY,y5IWeezXEN 
[15867] SET_BUY_TRIGGER,y5IWeezXEN,FMJ,60.56 
[16074] COMMIT_BUY,y5IWeezXEN 
[16154] SET_SELL_TRIGGER,y5IWeezXEN,IRQ,76.42 
[16159] ADD,y5IWeezXEN,57988.33 
[16257] BUY,y5IWeezXEN,UGG,642.01 
[16990] CANCEL_BUY,y5IWeezXEN 
[17131] SET_BUY_AMOUNT,y5IWeezXEN,QJZ,630.86 
[17133] SELL,y5IWeezXEN,QAX,486.26 
[17154] CANCEL_SELL,y5IWeezXEN 
[17207] BUY,y5IWeezXEN,BPP,673.43 
[17512] SET_SELL_AMOUNT,y5IWeezXEN,OEY,128.65 
[17699] SET_SELL_TRIGGER,y5IWeezXEN,OEY,82.00 
[17936] ADD,y5IWeezXEN,63006.48 
[17984] COMMIT_SELL,y5IWeezXEN 
[18068] SELL,y5IWeezXEN,OEY,635.48 
[18347] SET_SELL_TRIGGER,y5IWeezXEN,QPE,70.96 
[18482] QUOTE,y5IWeezXEN,LLD 
[18546] SET_BUY_AMOUNT,y5IWeezXEN,EBS,117.02 
[18640] SET_BUY_TRIGGER,y5IWeezXEN,LKK,115.36 
[18775] BUY,y5IWeezXEN,UIE,410.26 
[18822] COMMIT_SELL,y5IWeezXEN 
[18889] DISPLAY_SUMMARY,y5IWeezXEN 
[19017] ADD,y5IWeezXEN,65947.74 
[19055] BUY,y5IWeezXEN,JUE,576.45 
[19062] COMMIT_BUY,y5IWeezXEN 
[19284] CANCEL_SET_BUY,y5IWeezXEN,RRZ 
[19430] ADD,y5IWeezXEN,62747.37 
[19449] BUY,y5IWeezXEN,JDO,323.52 
[19557] SET_BUY_AMOUNT,y5IWeezXEN,FQP,127.80 
[19580] QUOTE,y5IWeezXEN,EUM 
[19584] QUOTE,y5IWeezXEN,SCK 
[19767] SET_BUY_TRIGGER,y5IWeezXEN,LHC,65.42 
[19840] ADD,y5IWeezXEN,80662.10 
[19869] QUOTE,y5IWeezXEN,FKI 
[20084] BUY,y5IWeezXEN,HHG,56.82 
[20088] COMMIT_BUY,y5IWeezXEN 
